Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Sfu-ABai_005-Ex1-1A-lcwgs-1-1.clmp.fp2_repr.R1										0.7521874675366239	0.22153641618607678	0.933556721484189	0.4056215164302569	0.17590342288317015	0.0	0.0																																																																																																																																							
Sfu-ABai_005-Ex1-1A-lcwgs-1-1.clmp.fp2_repr.R2										0.7401498870824931	0.22570877940550782	0.8199567971749956	0.29075079486132727	0.06348197504165198	0.0	0.0																																																																																																																																							
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.clmp.fp2_repr.R1										0.3115963805033522	0.1289624118811035	0.4297141191676892	0.10157051644455445	0.016749929431983845	0.0	0.0																																																																																																																																							
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.clmp.fp2_repr.R2										0.3458592079534502	0.14420231872748449	0.39568146067805665	0.040407146265514414	0.01123092949034645	0.0	0.0																																																																																																																																							
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.clmp.fp2_repr.R1										0.41333088943613666	0.18706670130805894	0.5444295760146814	0.12802308667269013	0.020206476133010444	0.0	0.0																																																																																																																																							
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.clmp.fp2_repr.R2										0.4008866503446175	0.17789133519768324	0.442402788173279	0.07646589056715368	0.0149125200267348	0.0	0.0																																																																																																																																							
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.clmp.fp2_repr.R1										0.28405911847762494	0.12014431989449133	0.3783657877144961	0.06977334805498289	0.015511346508940396	0.0	0.0																																																																																																																																							
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.clmp.fp2_repr.R2										0.28763365540054464	0.127246819802642	0.3376551154290095	0.05771178521477892	0.011792903340635106	0.0	0.0																																																																																																																																							
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.clmp.fp2_repr.R1										0.32104522216938963	0.1384880052052045	0.45191590594046643	0.08034996365321152	0.008050251502926447	0.0	0.0																																																																																																																																							
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.clmp.fp2_repr.R2										0.3143074268949417	0.13312847442464984	0.38408652094106105	0.044220862344720925	0.0	0.0	0.0																																																																																																																																							
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.clmp.fp2_repr.R1										0.28746590586884235	0.12728651858159573	0.4443398549789322	0.054646316139850055	0.007333795515909651	0.0	0.0																																																																																																																																							
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.clmp.fp2_repr.R2										0.2915655649337126	0.16849336187895014	0.3383327804184225	0.04571331118083389	0.0	0.0	0.0																																																																																																																																							
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.clmp.fp2_repr.R1										0.8991867603044185	0.21272183651483614	0.6938723481237712	0.12274431167756378	0.0	0.0	0.0																																																																																																																																							
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.clmp.fp2_repr.R2										1.0187368100966778	0.28875252574144883	0.7431662434244105	0.08647529280169204	0.0	0.0	0.0																																																																																																																																							
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.clmp.fp2_repr.R1										0.3743541175540488	0.1489512798065219	0.4952884551742429	0.17425895381575243	0.02375743750181486	0.0	0.0																																																																																																																																							
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.clmp.fp2_repr.R2										0.3740373992797882	0.15925450508292716	0.49871624486506094	0.11673515556605392	0.013410235733664976	0.0	0.0																																																																																																																																							
