# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	97	468
+	100	495
+	115	392
+	80	531
+	140	246
+	98	477
+	44	112
+	67	417
+	58	212
+	75	465
+	114	391
+	96	482
+	85	554
+	131	315
+	135	272
+	123	335
+	124	313
+	112	386
+	74	498
+	156	170
+	104	442
+	81	540
+	102	455
+	70	420
+	137	245
+	65	359
+	139	270
+	89	482
+	91	495
+	189	70
+	132	292
+	72	431
+	84	485
+	101	465
+	125	329
+	82	534
+	92	514
+	133	280
+	116	384
+	88	486
+	109	426
+	63	277
+	236	17
+	128	330
+	122	359
+	71	443
+	66	354
+	90	504
+	83	545
+	185	84
+	73	472
+	103	459
+	99	476
+	143	230
+	245	8
+	159	140
+	93	498
+	76	423
+	94	508
+	146	199
+	87	541
+	68	411
+	163	133
+	59	230
+	111	420
+	51	176
+	64	353
+	165	142
+	62	288
+	55	173
+	52	168
+	78	508
+	154	174
+	119	351
+	151	197
+	130	288
+	37	65
+	79	493
+	142	219
+	141	267
+	45	154
+	178	90
+	204	38
+	175	106
+	47	138
+	138	248
+	127	313
+	110	418
+	193	59
+	107	469
+	117	347
+	150	182
+	149	201
+	95	470
+	118	379
+	46	160
+	134	269
+	53	162
+	158	184
+	244	9
+	108	406
+	56	169
+	57	196
+	129	294
+	105	425
+	120	336
+	188	64
+	86	476
+	33	41
+	203	51
+	169	101
+	54	155
+	184	77
+	170	113
+	200	54
+	121	333
+	164	130
+	35	36
+	49	142
+	196	53
+	38	62
+	161	152
+	166	129
+	69	404
+	152	179
+	60	233
+	106	408
+	145	214
+	113	384
+	195	59
+	209	45
+	217	38
+	192	65
+	177	113
+	157	150
+	197	49
+	126	337
+	215	29
+	160	168
+	77	499
+	180	100
+	211	25
+	32	32
+	182	84
+	136	272
+	210	36
+	214	31
+	155	170
+	201	48
+	172	109
+	205	38
+	183	84
+	220	30
+	171	95
+	61	271
+	148	192
+	144	224
+	168	115
+	39	90
+	40	89
+	167	114
+	191	53
+	30	26
+	43	107
+	232	14
+	174	104
+	208	41
+	50	136
+	27	12
+	34	35
+	243	13
+	153	169
+	253	12
+	251	6
+	147	194
+	36	56
+	206	37
+	219	28
+	42	101
+	229	20
+	199	45
+	181	81
+	48	144
+	176	107
+	31	26
+	41	90
+	173	93
+	218	28
+	162	161
+	207	34
+	250	10
+	194	59
+	221	27
+	179	88
+	224	16
+	223	24
+	187	70
+	248	14
+	247	13
+	202	49
+	216	31
+	25	5
+	237	9
+	198	50
+	231	13
+	252	5
+	186	55
+	228	27
+	256	6
+	212	25
+	190	64
+	257	7
+	222	22
+	225	22
+	213	29
+	239	13
+	227	17
+	28	12
+	230	17
+	235	13
+	240	13
+	242	8
+	238	18
+	233	10
+	226	20
+	234	12
+	249	5
+	259	7
+	254	6
+	246	10
+	255	7
+	26	3
+	29	8
+	258	3
+	241	5
-	109	435
-	62	287
-	75	482
-	121	351
-	71	438
-	164	122
-	129	307
-	105	416
-	76	499
-	134	245
-	81	510
-	89	483
-	187	66
-	45	116
-	101	434
-	143	214
-	160	160
-	96	519
-	60	256
-	78	538
-	115	412
-	66	352
-	175	84
-	65	400
-	104	453
-	232	19
-	170	125
-	122	349
-	54	169
-	213	33
-	181	93
-	126	330
-	171	118
-	57	206
-	123	347
-	112	403
-	56	225
-	100	468
-	173	84
-	135	288
-	106	448
-	198	54
-	110	384
-	130	316
-	139	283
-	111	407
-	154	165
-	70	441
-	125	324
-	90	495
-	79	503
-	94	539
-	80	457
-	146	187
-	74	483
-	99	477
-	41	104
-	119	383
-	82	476
-	158	158
-	204	40
-	155	156
-	145	214
-	67	393
-	147	220
-	144	221
-	97	534
-	38	66
-	86	481
-	95	486
-	37	72
-	151	184
-	166	126
-	120	362
-	113	400
-	84	490
-	73	470
-	68	410
-	50	147
-	142	238
-	88	507
-	254	7
-	159	172
-	186	70
-	103	450
-	93	518
-	64	295
-	98	507
-	92	472
-	87	490
-	167	139
-	91	491
