Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sob-APnd_017-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	10430.0	2282.0	276.0	178.0	142.0	16.0	22.0	9.0	0.0	0.0	9799.0	223680.0
Sob-APnd_017-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	10362.0	2176.0	270.0	181.0	134.0	28.0	26.0	9.0	3.0	0.0	9619.0	224026.0
Sob-APnd_018-Ex1-6B-lcwgs-1-T.clmp.fp2_r1_screen	60712.0	7184.0	358.0	249.0	116.0	31.0	34.0	19.0	1.0	0.0	32574.0	282496.0
Sob-APnd_018-Ex1-6B-lcwgs-1-T.clmp.fp2_r2_screen	60458.0	7342.0	402.0	230.0	128.0	44.0	31.0	30.0	6.0	0.0	31878.0	283225.0
Sob-APnd_019-Ex1-7B-lcwgs-1-T.clmp.fp2_r1_screen	12557.0	5157.0	726.0	469.0	342.0	56.0	63.0	18.0	0.0	0.0	21177.0	600270.0
Sob-APnd_019-Ex1-7B-lcwgs-1-T.clmp.fp2_r2_screen	12463.0	5329.0	726.0	469.0	296.0	68.0	58.0	20.0	2.0	0.0	20814.0	600590.0
Sob-APnd_020-Ex1-8B-lcwgs-1-T.clmp.fp2_r1_screen	70106.0	38095.0	5991.0	3297.0	2410.0	525.0	504.0	155.0	28.0	0.0	141766.0	4357100.0
Sob-APnd_020-Ex1-8B-lcwgs-1-T.clmp.fp2_r2_screen	70175.0	38178.0	5908.0	3470.0	2387.0	577.0	504.0	146.0	11.0	0.0	140597.0	4358024.0
Sob-APnd_021-Ex1-9B-lcwgs-1-T.clmp.fp2_r1_screen	48887.0	17738.0	2095.0	1404.0	1104.0	160.0	161.0	63.0	10.0	0.0	73821.0	1726407.0
Sob-APnd_021-Ex1-9B-lcwgs-1-T.clmp.fp2_r2_screen	48748.0	17872.0	2080.0	1426.0	1128.0	175.0	178.0	79.0	7.0	0.0	73189.0	1726968.0
Sob-APnd_022-Ex1-10B-lcwgs-1-T.clmp.fp2_r1_screen	3479.0	3288.0	431.0	277.0	256.0	47.0	40.0	22.0	3.0	0.0	14023.0	357742.0
Sob-APnd_022-Ex1-10B-lcwgs-1-T.clmp.fp2_r2_screen	3455.0	3378.0	454.0	279.0	221.0	49.0	46.0	25.0	9.0	0.0	13798.0	357894.0
Sob-APnd_023-Ex1-11B-lcwgs-1-T.clmp.fp2_r1_screen	3472.0	1155.0	102.0	75.0	43.0	15.0	12.0	6.0	0.0	0.0	3989.0	83707.0
Sob-APnd_023-Ex1-11B-lcwgs-1-T.clmp.fp2_r2_screen	3499.0	1124.0	114.0	65.0	49.0	11.0	9.0	8.0	1.0	0.0	3989.0	83707.0
Sob-APnd_024-Ex1-12B-lcwgs-1-T.clmp.fp2_r1_screen	97942.0	22720.0	2402.0	1262.0	766.0	174.0	145.0	75.0	1.0	0.0	114152.0	1287695.0
Sob-APnd_024-Ex1-12B-lcwgs-1-T.clmp.fp2_r2_screen	97501.0	22861.0	2359.0	1228.0	711.0	154.0	137.0	90.0	8.0	0.0	113063.0	1289222.0
Sob-APnd_025-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	74653.0	16638.0	2644.0	1547.0	1220.0	229.0	174.0	81.0	2.0	0.0	80947.0	2147376.0
Sob-APnd_025-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	74488.0	16643.0	2615.0	1567.0	1131.0	187.0	175.0	101.0	10.0	0.0	80287.0	2148307.0
Sob-APnd_026-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	4944.0	922.0	131.0	70.0	31.0	11.0	5.0	5.0	0.0	0.0	4190.0	76540.0
Sob-APnd_026-Ex1-2C-lcwgs-1-T.clmp.fp2_r2_screen	4959.0	947.0	121.0	71.0	45.0	9.0	7.0	7.0	6.0	0.0	4085.0	76592.0
Sob-APnd_027-Ex1-3C-lcwgs-1-T.clmp.fp2_r1_screen	75678.0	16581.0	2751.0	1591.0	936.0	237.0	192.0	70.0	4.0	0.0	88288.0	1504480.0
Sob-APnd_027-Ex1-3C-lcwgs-1-T.clmp.fp2_r2_screen	75621.0	16377.0	2693.0	1535.0	873.0	236.0	186.0	69.0	12.0	0.0	87711.0	1505495.0
Sob-APnd_028-Ex1-4C-lcwgs-1-T.clmp.fp2_r1_screen	17974.0	4449.0	721.0	427.0	225.0	67.0	63.0	18.0	0.0	0.0	18185.0	353816.0
Sob-APnd_028-Ex1-4C-lcwgs-1-T.clmp.fp2_r2_screen	17823.0	4530.0	628.0	409.0	228.0	59.0	71.0	21.0	2.0	0.0	18041.0	354133.0
Sob-APnd_029-Ex1-5C-lcwgs-1-T.clmp.fp2_r1_screen	5649.0	904.0	122.0	71.0	44.0	8.0	6.0	14.0	0.0	0.0	3851.0	76847.0
Sob-APnd_029-Ex1-5C-lcwgs-1-T.clmp.fp2_r2_screen	5571.0	932.0	103.0	67.0	49.0	6.0	12.0	8.0	3.0	0.0	3664.0	77101.0
Sob-APnd_030-Ex1-6C-lcwgs-1-T.clmp.fp2_r1_screen	40242.0	7025.0	736.0	391.0	330.0	66.0	40.0	28.0	2.0	0.0	33967.0	532072.0
Sob-APnd_030-Ex1-6C-lcwgs-1-T.clmp.fp2_r2_screen	40164.0	7068.0	703.0	388.0	313.0	55.0	43.0	35.0	7.0	0.0	33375.0	532748.0
Sob-APnd_031-Ex1-7C-lcwgs-1-T.clmp.fp2_r1_screen	9377.0	2354.0	285.0	205.0	136.0	31.0	26.0	9.0	0.0	0.0	11184.0	207602.0
Sob-APnd_031-Ex1-7C-lcwgs-1-T.clmp.fp2_r2_screen	9399.0	2430.0	295.0	201.0	111.0	22.0	20.0	18.0	8.0	0.0	11103.0	207602.0
Sob-APnd_032-Ex1-8C-lcwgs-1-T.clmp.fp2_r1_screen	22619.0	3435.0	269.0	116.0	61.0	12.0	15.0	6.0	0.0	0.0	13951.0	127778.0
Sob-APnd_032-Ex1-8C-lcwgs-1-T.clmp.fp2_r2_screen	22573.0	3425.0	268.0	107.0	72.0	14.0	19.0	7.0	2.0	0.0	13644.0	128131.0
Sob-APnd_033-Ex1-9C-lcwgs-1-T.clmp.fp2_r1_screen	802987.0	105909.0	15101.0	3842.0	905.0	282.0	245.0	235.0	4.0	0.0	416987.0	1977366.0
Sob-APnd_033-Ex1-9C-lcwgs-1-T.clmp.fp2_r2_screen	801267.0	107190.0	15021.0	3801.0	858.0	282.0	220.0	242.0	5.0	0.0	409967.0	1985010.0
Sob-APnd_034-Ex1-10C-lcwgs-1-T.clmp.fp2_r1_screen	4553.0	3791.0	515.0	294.0	208.0	46.0	47.0	13.0	3.0	0.0	13603.0	414744.0
Sob-APnd_034-Ex1-10C-lcwgs-1-T.clmp.fp2_r2_screen	4550.0	3855.0	506.0	342.0	201.0	45.0	45.0	14.0	9.0	0.0	13375.0	414875.0
Sob-APnd_035-Ex1-11C-lcwgs-1-T.clmp.fp2_r1_screen	629580.0	112159.0	6288.0	3986.0	2127.0	639.0	603.0	691.0	17.0	0.0	411727.0	3730742.0
Sob-APnd_035-Ex1-11C-lcwgs-1-T.clmp.fp2_r2_screen	628167.0	113348.0	6235.0	4015.0	2038.0	664.0	614.0	690.0	29.0	0.0	406629.0	3736130.0
Sob-APnd_036-Ex1-12C-lcwgs-1-T.clmp.fp2_r1_screen	85851.0	39724.0	5475.0	3332.0	1786.0	526.0	550.0	111.0	7.0	0.0	150383.0	2728445.0
Sob-APnd_036-Ex1-12C-lcwgs-1-T.clmp.fp2_r2_screen	85876.0	40100.0	5294.0	3162.0	1731.0	538.0	488.0	122.0	8.0	0.0	149220.0	2729651.0
Sob-APnd_037-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	55967.0	23724.0	4973.0	2379.0	1576.0	424.0	409.0	98.0	10.0	0.0	92633.0	2545237.0
Sob-APnd_037-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	55965.0	24004.0	5005.0	2466.0	1586.0	402.0	418.0	111.0	6.0	0.0	91412.0	2546055.0
Sob-APnd_038-Ex1-2D-lcwgs-1-T.clmp.fp2_r1_screen	1213.0	524.0	74.0	57.0	33.0	11.0	5.0	1.0	0.0	0.0	2451.0	52815.0
Sob-APnd_038-Ex1-2D-lcwgs-1-T.clmp.fp2_r2_screen	1188.0	572.0	82.0	38.0	22.0	5.0	4.0	2.0	0.0	0.0	2371.0	52900.0
Sob-APnd_039-Ex1-3D-lcwgs-1-T.clmp.fp2_r1_screen	5836.0	4754.0	753.0	486.0	299.0	85.0	72.0	18.0	0.0	0.0	16587.0	487002.0
Sob-APnd_039-Ex1-3D-lcwgs-1-T.clmp.fp2_r2_screen	5789.0	4758.0	697.0	487.0	294.0	84.0	63.0	25.0	4.0	0.0	16586.0	487105.0
Sob-APnd_040-Ex1-4D-lcwgs-1-T.clmp.fp2_r1_screen	57957.0	6494.0	645.0	412.0	214.0	73.0	62.0	22.0	0.0	0.0	31629.0	297899.0
Sob-APnd_040-Ex1-4D-lcwgs-1-T.clmp.fp2_r2_screen	58006.0	6542.0	626.0	397.0	204.0	73.0	57.0	16.0	0.0	0.0	31112.0	298374.0
Sob-APnd_041-Ex1-5D-lcwgs-1-T.clmp.fp2_r1_screen	2861.0	611.0	68.0	42.0	32.0	7.0	5.0	1.0	0.0	0.0	2299.0	53571.0
Sob-APnd_041-Ex1-5D-lcwgs-1-T.clmp.fp2_r2_screen	2850.0	581.0	74.0	45.0	23.0	7.0	12.0	1.0	1.0	0.0	2273.0	53630.0
Sob-APnd_042-Ex1-6D-lcwgs-1-T.clmp.fp2_r1_screen	24873.0	60393.0	8131.0	5888.0	3679.0	844.0	841.0	195.0	8.0	0.0	211138.0	6226237.0
Sob-APnd_042-Ex1-6D-lcwgs-1-T.clmp.fp2_r2_screen	24843.0	60756.0	8015.0	5812.0	3577.0	911.0	814.0	197.0	12.0	0.0	209745.0	6227545.0
Sob-APnd_043-Ex1-7D-lcwgs-1-T.clmp.fp2_r1_screen	1859.0	752.0	110.0	59.0	49.0	7.0	11.0	0.0	0.0	0.0	3093.0	72620.0
Sob-APnd_043-Ex1-7D-lcwgs-1-T.clmp.fp2_r2_screen	1834.0	712.0	90.0	65.0	40.0	12.0	9.0	2.0	0.0	0.0	3089.0	72707.0
Sob-APnd_044-Ex1-8D-lcwgs-1-T.clmp.fp2_r1_screen	267808.0	54130.0	10267.0	3420.0	1828.0	554.0	541.0	132.0	12.0	0.0	211869.0	2858482.0
