Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Sob-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	884841	35658.0	4.02	4.0	0.0	0.0	0.0	94.0	0.01	4385.0	0.49	26748.0	3.0199999999999996	47361.0	5.35	20252.0	2.29	34717.0	3.9299999999999997	23144.0	2.61	27893.0	3.1500000000000004	24624.0	2.78	828299	93.61
Sob-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	884841	35258.0	3.9800000000000004	6.0	0.0	0.0	0.0	107.0	0.01	4215.0	0.47000000000000003	26347.0	2.98	47035.0	5.32	19931.0	2.24	34580.0	3.91	22767.0	2.57	27616.0	3.12	24401.0	2.75	828653	93.65
Sob-APnd_002-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	210297	9327.0	4.44	13.0	0.01	0.0	0.0	8.0	0.0	1247.0	0.59	12732.0	6.0600000000000005	13085.0	6.22	6035.0	2.8600000000000003	9040.0	4.29	6236.0	2.9600000000000004	7420.0	3.54	6742.0	3.2	191054	90.85
Sob-APnd_002-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	210297	9231.0	4.39	16.0	0.01	0.0	0.0	23.0	0.01	1273.0	0.6	12636.0	6.0	12874.0	6.119999999999999	5948.0	2.82	9029.0	4.29	6179.0	2.93	7354.0	3.5	6728.0	3.2	191223	90.93
Sob-APnd_003-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	531816	12010.0	2.27	129.0	0.02	0.0	0.0	9.0	0.0	1702.0	0.32	14236.0	2.67	17726.0	3.3200000000000003	6879.0	1.29	11096.0	2.09	6724.0	1.26	8725.0	1.6400000000000001	7438.0	1.4	505969	95.14
Sob-APnd_003-Ex1-3A-lcwgs-1-T.clmp.fp2_r2_screen	531816	11664.0	2.19	130.0	0.02	0.0	0.0	68.0	0.01	1773.0	0.33	14183.0	2.67	17700.0	3.33	6907.0	1.2999999999999998	11077.0	2.08	6489.0	1.22	8503.0	1.61	7310.0	1.3699999999999999	506076	95.16
Sob-APnd_004-Ex1-4A-lcwgs-1-T.clmp.fp2_r1_screen	557555	20245.0	3.64	19.0	0.0	0.0	0.0	21.0	0.0	2331.0	0.42000000000000004	25064.0	4.5	29461.0	5.29	11433.0	2.0500000000000003	19528.0	3.4899999999999998	13274.0	2.38	15999.0	2.87	13738.0	2.46	515403	92.44
Sob-APnd_004-Ex1-4A-lcwgs-1-T.clmp.fp2_r2_screen	557555	19912.0	3.5700000000000003	16.0	0.0	0.0	0.0	30.0	0.01	2311.0	0.42000000000000004	24845.0	4.46	29160.0	5.23	11229.0	2.0	19312.0	3.4699999999999998	13029.0	2.33	15689.0	2.82	13507.0	2.42	515905	92.53
Sob-APnd_005-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	124316	3912.0	3.15	9.0	0.01	0.0	0.0	6.0	0.0	454.0	0.37	13721.0	11.04	8285.0	6.67	2274.0	1.8299999999999998	3894.0	3.12	2493.0	2.0	3044.0	2.4499999999999997	2665.0	2.15	106973	86.05
Sob-APnd_005-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	124316	3887.0	3.11	10.0	0.0	0.0	0.0	16.0	0.01	474.0	0.38	13569.0	10.92	8195.0	6.59	2267.0	1.8199999999999998	3801.0	3.06	2400.0	1.93	2992.0	2.41	2599.0	2.08	107048	86.11
