#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4057779	3919804	96.60	3846	0.09	892	0.02	9539	0.24	123698	3.05
Ecoli	4057779	4057777	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	4057779	4057779	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4057779	4057779	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	4057779	4005165	98.70	10	0.00	0	0.00	624	0.02	51980	1.28
Bacteria_24k	4057779	3960972	97.62	854	0.02	1237	0.03	5878	0.14	88838	2.19
Protists_1k	4057779	3875256	95.51	10236	0.25	21994	0.54	4015	0.10	146278	3.60
Viruses	4057779	3965583	97.73	155	0.00	67	0.00	5319	0.13	86655	2.14
Fungi_RefSeq_release	4057779	3918142	96.56	2481	0.06	1057	0.03	10709	0.26	125390	3.09
Coral	4057779	3966470	97.75	327	0.01	164	0.00	6980	0.17	83838	2.07
Bird	4057779	3946840	97.27	2570	0.06	475	0.01	11015	0.27	96879	2.39
Plant	4057779	3957699	97.54	412	0.01	87	0.00	6927	0.17	92654	2.28

%Hit_no_genomes: 95.02
