Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Abu-APnd_001-Ex1-4E-lcwgs-1-T.clmp.fp2_r1_screen	269.0	280.0	72.0	37.0	13.0	4.0	1.0	2.0	0.0	0.0	0.0	1412.0	31883.0
Abu-APnd_001-Ex1-4E-lcwgs-1-T.clmp.fp2_r2_screen	255.0	282.0	79.0	36.0	18.0	3.0	4.0	2.0	1.0	0.0	0.0	1434.0	31859.0
Abu-APnd_002-Ex1-4F-lcwgs-1-T.clmp.fp2_r1_screen	2888.0	3635.0	469.0	222.0	195.0	30.0	37.0	42.0	0.0	0.0	0.0	19013.0	469369.0
Abu-APnd_002-Ex1-4F-lcwgs-1-T.clmp.fp2_r2_screen	2810.0	3763.0	456.0	265.0	202.0	50.0	33.0	37.0	1.0	0.0	0.0	19113.0	469170.0
Abu-APnd_003-Ex1-4G-lcwgs-1-T.clmp.fp2_r1_screen	55522.0	128368.0	24669.0	7267.0	2015.0	789.0	686.0	336.0	24.0	0.0	0.0	301914.0	4850079.0
Abu-APnd_003-Ex1-4G-lcwgs-1-T.clmp.fp2_r2_screen	55290.0	127580.0	24522.0	7168.0	1886.0	795.0	647.0	361.0	29.0	0.0	0.0	307072.0	4846319.0
Abu-APnd_004-Ex1-4H-lcwgs-1-T.clmp.fp2_r1_screen	436.0	217.0	74.0	26.0	20.0	3.0	4.0	4.0	1.0	0.0	0.0	1996.0	45992.0
Abu-APnd_004-Ex1-4H-lcwgs-1-T.clmp.fp2_r2_screen	413.0	224.0	69.0	35.0	23.0	4.0	4.0	4.0	0.0	0.0	0.0	2029.0	45968.0
Abu-APnd_005-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	2930.0	7231.0	399.0	249.0	173.0	43.0	25.0	37.0	1.0	0.0	0.0	17795.0	377340.0
Abu-APnd_005-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	2879.0	7302.0	400.0	262.0	177.0	40.0	26.0	31.0	0.0	0.0	0.0	17888.0	377218.0
Abu-APnd_006-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	2562.0	3838.0	364.0	206.0	184.0	35.0	22.0	69.0	1.0	0.0	0.0	15151.0	339361.0
Abu-APnd_006-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	2505.0	3846.0	402.0	201.0	165.0	25.0	24.0	79.0	1.0	0.0	0.0	15473.0	339072.0
Abu-APnd_007-Ex1-5C-lcwgs-1-T.clmp.fp2_r1_screen	25.0	16.0	3.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	168.0	3144.0
Abu-APnd_007-Ex1-5C-lcwgs-1-T.clmp.fp2_r2_screen	34.0	23.0	1.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	179.0	3116.0
Abu-APnd_008-Ex1-5D-lcwgs-1-T.clmp.fp2_r1_screen	125.0	103.0	11.0	4.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	886.0	11479.0
Abu-APnd_008-Ex1-5D-lcwgs-1-T.clmp.fp2_r2_screen	128.0	110.0	12.0	9.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	884.0	11465.0
Abu-APnd_009-Ex1-5E-lcwgs-1-T.clmp.fp2_r1_screen	11572.0	23525.0	1771.0	1206.0	722.0	211.0	141.0	56.0	4.0	0.0	0.0	76293.0	1188121.0
Abu-APnd_009-Ex1-5E-lcwgs-1-T.clmp.fp2_r2_screen	11595.0	23383.0	1764.0	1252.0	687.0	202.0	155.0	53.0	3.0	0.0	0.0	77711.0	1186817.0
Abu-APnd_010-Ex1-5F-lcwgs-1-T.clmp.fp2_r1_screen	1235.0	9619.0	73.0	43.0	15.0	5.0	3.0	13.0	0.0	0.0	0.0	5570.0	84308.0
Abu-APnd_010-Ex1-5F-lcwgs-1-T.clmp.fp2_r2_screen	1268.0	9643.0	70.0	59.0	10.0	6.0	5.0	12.0	0.0	0.0	0.0	5563.0	84248.0
Abu-APnd_011-Ex1-5G-lcwgs-1-T.clmp.fp2_r1_screen	1921.0	962.0	251.0	169.0	87.0	26.0	16.0	5.0	1.0	0.0	0.0	9506.0	239370.0
Abu-APnd_011-Ex1-5G-lcwgs-1-T.clmp.fp2_r2_screen	1978.0	962.0	257.0	156.0	104.0	23.0	19.0	12.0	0.0	0.0	0.0	9686.0	239117.0
Abu-APnd_012-Ex1-5H-lcwgs-1-T.clmp.fp2_r1_screen	161.0	171.0	20.0	15.0	6.0	2.0	2.0	3.0	0.0	0.0	0.0	971.0	22674.0
Abu-APnd_012-Ex1-5H-lcwgs-1-T.clmp.fp2_r2_screen	152.0	171.0	27.0	17.0	10.0	1.0	1.0	3.0	0.0	0.0	0.0	1022.0	22621.0
Abu-APnd_013-Ex1-6A-lcwgs-1-T.clmp.fp2_r1_screen	6583.0	5270.0	740.0	608.0	310.0	72.0	64.0	25.0	2.0	0.0	0.0	40987.0	657061.0
Abu-APnd_013-Ex1-6A-lcwgs-1-T.clmp.fp2_r2_screen	6511.0	5405.0	784.0	597.0	276.0	95.0	61.0	45.0	2.0	0.0	0.0	41312.0	656634.0
Abu-APnd_014-Ex1-6B-lcwgs-1-T.clmp.fp2_r1_screen	33191.0	14413.0	7282.0	2895.0	1766.0	355.0	304.0	143.0	5.0	0.0	0.0	177716.0	3358139.0
Abu-APnd_014-Ex1-6B-lcwgs-1-T.clmp.fp2_r2_screen	33223.0	14412.0	7465.0	2904.0	1761.0	403.0	297.0	139.0	7.0	0.0	0.0	178897.0	3356701.0
Abu-APnd_015-Ex1-6C-lcwgs-1-T.clmp.fp2_r1_screen	2173.0	2176.0	290.0	221.0	114.0	25.0	15.0	9.0	1.0	0.0	0.0	11541.0	207585.0
Abu-APnd_015-Ex1-6C-lcwgs-1-T.clmp.fp2_r2_screen	2097.0	2158.0	303.0	218.0	103.0	29.0	18.0	14.0	0.0	0.0	0.0	12029.0	207181.0
Abu-APnd_016-Ex1-6D-lcwgs-1-T.clmp.fp2_r1_screen	1835.0	1261.0	214.0	141.0	112.0	21.0	13.0	9.0	0.0	0.0	0.0	11439.0	203627.0
Abu-APnd_016-Ex1-6D-lcwgs-1-T.clmp.fp2_r2_screen	1785.0	1292.0	224.0	176.0	118.0	24.0	16.0	14.0	0.0	0.0	0.0	11505.0	203518.0
Abu-APnd_017-Ex1-6E-lcwgs-1-T.clmp.fp2_r1_screen	139570.0	59150.0	16273.0	13263.0	6694.0	2004.0	1827.0	575.0	25.0	0.0	0.0	696207.0	14631589.0
Abu-APnd_017-Ex1-6E-lcwgs-1-T.clmp.fp2_r2_screen	139517.0	59292.0	16340.0	13437.0	6512.0	2155.0	1738.0	655.0	25.0	0.0	0.0	702144.0	14625362.0
Abu-APnd_018-Ex1-6F-lcwgs-1-T.clmp.fp2_r1_screen	14805.0	6279.0	1767.0	1487.0	672.0	214.0	187.0	74.0	2.0	0.0	0.0	72904.0	1455964.0
Abu-APnd_018-Ex1-6F-lcwgs-1-T.clmp.fp2_r2_screen	14865.0	6340.0	1741.0	1398.0	721.0	220.0	167.0	63.0	6.0	0.0	0.0	73492.0	1455342.0
Abu-APnd_019-Ex1-6G-lcwgs-1-T.clmp.fp2_r1_screen	6505.0	7844.0	854.0	570.0	277.0	75.0	67.0	41.0	1.0	0.0	0.0	37028.0	838890.0
