# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	91	549
+	111	439
+	135	259
+	102	512
+	128	300
+	74	575
+	86	607
+	103	522
+	71	546
+	62	320
+	105	451
+	131	277
+	117	424
+	79	600
+	80	587
+	60	253
+	125	333
+	149	181
+	104	505
+	89	565
+	169	96
+	97	540
+	90	585
+	51	135
+	124	362
+	84	615
+	187	50
+	66	420
+	167	97
+	153	172
+	138	238
+	59	227
+	112	480
+	67	452
+	95	553
+	37	46
+	77	571
+	68	463
+	181	70
+	88	575
+	73	594
+	123	356
+	116	431
+	221	20
+	175	85
+	99	521
+	118	391
+	63	331
+	206	28
+	76	558
+	98	529
+	100	535
+	126	338
+	108	458
+	45	113
+	114	413
+	115	416
+	41	69
+	136	262
+	122	354
+	132	314
+	75	572
+	121	338
+	87	593
+	113	422
+	52	140
+	164	106
+	137	254
+	142	200
+	133	275
+	94	591
+	147	160
+	110	410
+	107	482
+	85	590
+	92	612
+	93	577
+	64	400
+	190	38
+	127	332
+	82	632
+	109	473
+	70	513
+	151	143
+	61	284
+	83	599
+	72	540
+	81	607
+	119	382
+	199	36
+	96	546
+	141	219
+	163	128
+	53	166
+	173	93
+	152	146
+	65	400
+	78	593
+	69	476
+	54	160
+	166	109
+	219	17
+	42	87
+	140	196
+	207	26
+	39	63
+	144	220
+	146	186
+	120	366
+	170	101
+	183	71
+	192	50
+	129	292
+	143	219
+	58	215
+	130	318
+	228	16
+	159	148
+	40	63
+	44	108
+	106	489
+	38	46
+	134	269
+	204	32
+	50	104
+	160	128
+	145	208
+	101	497
+	49	128
+	205	22
+	200	40
+	56	160
+	214	27
+	155	151
+	31	20
+	161	130
+	33	16
+	237	8
+	28	12
+	150	164
+	47	99
+	197	34
+	208	27
+	154	124
+	156	119
+	162	112
+	168	90
+	184	62
+	174	92
+	177	77
+	43	86
+	176	81
+	157	149
+	194	44
+	203	32
+	179	58
+	178	78
+	172	83
+	165	110
+	186	50
+	148	172
+	57	192
+	180	66
+	48	102
+	36	43
+	188	55
+	55	155
+	236	7
+	171	95
+	201	24
+	210	20
+	139	239
+	196	37
+	158	154
+	195	41
+	231	8
+	182	65
+	220	18
+	46	102
+	259	1
+	212	26
+	189	56
+	225	18
+	35	25
+	217	15
+	222	24
+	216	19
+	213	23
+	30	14
+	241	5
+	193	41
+	233	10
+	239	6
+	234	14
+	191	43
+	211	24
+	25	5
+	185	61
+	255	8
+	218	21
+	244	10
+	198	27
+	34	31
+	27	11
+	249	4
+	202	27
+	252	3
+	246	8
+	242	6
+	224	7
+	254	4
+	227	13
+	223	13
+	256	7
+	247	6
+	240	7
+	215	16
+	209	17
+	226	6
+	29	5
+	32	11
+	26	2
+	253	3
+	232	10
+	235	9
+	238	7
+	230	7
+	245	5
+	229	8
+	251	11
+	257	3
+	250	4
+	243	6
+	248	2
+	258	2
-	117	390
-	70	508
-	139	216
-	86	626
-	68	485
-	103	522
-	71	545
-	84	594
-	154	170
-	148	190
-	109	451
-	141	216
-	110	435
-	102	509
-	80	611
-	150	151
-	128	299
-	89	615
-	96	555
-	116	368
-	168	98
-	77	594
-	106	499
-	49	130
-	90	623
-	105	518
-	85	606
-	127	317
-	130	286
-	112	444
-	100	546
-	57	168
-	82	567
-	93	601
-	124	362
-	147	161
-	176	81
-	125	319
-	64	314
-	201	32
-	211	19
-	76	607
-	92	553
-	83	619
-	155	156
-	81	626
-	209	22
-	113	425
-	53	144
-	137	237
-	114	439
-	79	649
-	111	427
-	104	504
-	131	273
-	46	100
-	99	511
-	73	590
-	63	308
-	88	620
-	72	572
-	136	264
-	66	431
-	204	30
-	67	452
-	119	368
-	140	244
-	56	161
-	69	478
-	177	83
-	50	124
-	195	32
-	169	113
-	123	345
-	129	328
-	133	287
-	74	548
-	97	530
-	52	146
-	107	484
-	138	238
-	121	389
-	87	598
-	132	314
-	34	34
-	48	129
-	227	17
-	55	175
-	159	129
-	78	599
-	200	41
-	228	13
-	234	11
-	152	174
-	225	11
-	94	542
-	149	194
-	163	105
-	108	460
-	91	595
-	122	366
-	143	194
-	135	241
-	43	86
-	98	525
-	95	539
-	166	106
-	65	371
-	156	158
-	36	47
-	208	39
-	75	605
-	45	94
-	151	191
-	167	106
-	120	373
-	171	89
-	126	305
-	172	94
-	58	194
-	101	539
-	134	291
-	144	174
-	60	239
-	61	259
-	146	186
-	214	22
