Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	13884.0	1994.0	1103.0	744.0	290.0	244.0	341.0	83.0	3.0	0.0	75882.0	823566.0
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	14034.0	2089.0	1049.0	778.0	279.0	271.0	311.0	69.0	2.0	0.0	76237.0	823015.0
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	62505.0	9286.0	4929.0	3611.0	1346.0	1120.0	893.0	319.0	5.0	0.0	338558.0	3704102.0
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	63012.0	9342.0	4729.0	3461.0	1330.0	1126.0	789.0	330.0	7.0	0.0	341335.0	3701213.0
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	129668.0	19574.0	10165.0	7628.0	2773.0	1907.0	1606.0	830.0	11.0	0.0	702574.0	7821032.0
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	130412.0	19430.0	9944.0	7580.0	2812.0	1809.0	1557.0	837.0	11.0	0.0	706692.0	7816684.0
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	76059.0	11511.0	5792.0	4226.0	1553.0	1723.0	1118.0	475.0	8.0	0.0	404550.0	4483283.0
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	76473.0	11482.0	5673.0	4206.0	1590.0	1755.0	1130.0	442.0	12.0	0.0	406248.0	4481287.0
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	47447.0	7251.0	3710.0	2751.0	1035.0	839.0	1013.0	235.0	7.0	0.0	252717.0	2901310.0
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	48031.0	7173.0	3687.0	2744.0	989.0	768.0	996.0	249.0	3.0	0.0	252043.0	2901632.0
GotPopAL16_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	100957.0	15298.0	7826.0	6061.0	2221.0	1425.0	1401.0	716.0	11.0	0.0	557991.0	6115772.0
GotPopAL16_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	102719.0	15190.0	7767.0	5975.0	2277.0	1480.0	1463.0	651.0	16.0	0.0	561136.0	6111005.0
GotPopAL17_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	131079.0	19499.0	10102.0	7415.0	2891.0	1850.0	1473.0	764.0	17.0	0.0	710278.0	7924257.0
GotPopAL17_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	133050.0	19423.0	9960.0	7300.0	2909.0	1887.0	1436.0	738.0	24.0	0.0	712165.0	7920733.0
GotPopAL18_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	37887.0	5737.0	2955.0	2176.0	827.0	749.0	563.0	285.0	7.0	0.0	209974.0	2314374.0
GotPopAL18_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	38223.0	5690.0	2963.0	2261.0	799.0	730.0	572.0	272.0	6.0	0.0	210159.0	2313859.0
GotPopAL19_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	1206476.0	183371.0	92679.0	69011.0	27510.0	19049.0	12050.0	6505.0	160.0	0.0	6760310.0	73590794.0
GotPopAL19_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	1222001.0	180246.0	91426.0	67853.0	26873.0	18902.0	11964.0	6449.0	154.0	0.0	6792237.0	73549810.0
GotPopAL1_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	85587.0	12584.0	6702.0	5042.0	1912.0	1213.0	1118.0	535.0	14.0	0.0	459862.0	5069527.0
GotPopAL1_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	86553.0	12564.0	6488.0	4830.0	1759.0	1176.0	1004.0	507.0	8.0	0.0	459680.0	5069527.0
GotPopAL20_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	63639.0	9646.0	4786.0	3607.0	1380.0	1648.0	747.0	385.0	5.0	0.0	331546.0	3833008.0
GotPopAL20_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	63806.0	9401.0	4849.0	3367.0	1269.0	1599.0	762.0	362.0	3.0	0.0	333672.0	3831307.0
