Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sfa-ABas_001_Ex1_L3_clmp.fp2_r1_screen	739086.0	681484.0	168398.0	53254.0	12076.0	2935.0	3038.0	1223.0	69.0	0.0	0.0	1040600.0	19107059.0
Sfa-ABas_001_Ex1_L3_clmp.fp2_r2_screen	738455.0	680831.0	169876.0	53063.0	11729.0	2843.0	2943.0	1242.0	44.0	0.0	0.0	1041137.0	19107059.0
Sfa-ABas_002_Ex1_L3_clmp.fp2_r1_screen	110274.0	172953.0	162282.0	28961.0	13137.0	2862.0	2731.0	1307.0	55.0	0.0	0.0	811525.0	19327185.0
Sfa-ABas_002_Ex1_L3_clmp.fp2_r2_screen	110227.0	172679.0	163320.0	28856.0	12912.0	2871.0	2652.0	1229.0	50.0	0.0	0.0	813354.0	19325122.0
Sfa-ABas_003_Ex1_L3_clmp.fp2_r1_screen	156492.0	237543.0	159666.0	35310.0	12308.0	2989.0	2929.0	1156.0	49.0	0.0	0.0	704684.0	18643181.0
Sfa-ABas_003_Ex1_L3_clmp.fp2_r2_screen	156274.0	237002.0	159939.0	34940.0	12247.0	2980.0	2800.0	1108.0	38.0	0.0	0.0	707793.0	18641186.0
Sfa-ABas_004_Ex1_L3_clmp.fp2_r1_screen	36631.0	33119.0	150457.0	18382.0	11905.0	3274.0	3018.0	791.0	108.0	0.0	0.0	595024.0	17806122.0
Sfa-ABas_004_Ex1_L3_clmp.fp2_r2_screen	36531.0	33270.0	151207.0	17695.0	11748.0	2974.0	2978.0	772.0	42.0	0.0	0.0	599224.0	17802390.0
Sfa-ABas_005_Ex1_L3_clmp.fp2_r1_screen	47465.0	37382.0	176073.0	20785.0	13494.0	3344.0	3252.0	877.0	133.0	0.0	0.0	708100.0	20406573.0
Sfa-ABas_005_Ex1_L3_clmp.fp2_r2_screen	47342.0	37232.0	176854.0	20587.0	13283.0	3109.0	3114.0	889.0	59.0	0.0	0.0	712720.0	20402289.0
Sfa-ABas_006_Ex1_L3_clmp.fp2_r1_screen	90678.0	50424.0	130888.0	20089.0	10252.0	2529.0	2380.0	634.0	79.0	0.0	0.0	570972.0	16056040.0
Sfa-ABas_006_Ex1_L3_clmp.fp2_r2_screen	90069.0	50439.0	131829.0	20221.0	10165.0	2472.0	2300.0	643.0	51.0	0.0	0.0	574123.0	16052653.0
Sfa-ABas_007_Ex1_L3_clmp.fp2_r1_screen	66454.0	180526.0	136191.0	21903.0	10707.0	2254.0	2501.0	917.0	93.0	0.0	0.0	626639.0	15537010.0
Sfa-ABas_007_Ex1_L3_clmp.fp2_r2_screen	66116.0	180573.0	136380.0	21371.0	10627.0	2241.0	2298.0	890.0	31.0	0.0	0.0	632633.0	15532035.0
Sfa-ABas_008_Ex1_L3_clmp.fp2_r1_screen	53850.0	273641.0	156061.0	24823.0	10774.0	2575.0	2455.0	1318.0	97.0	0.0	0.0	826375.0	17042166.0
Sfa-ABas_008_Ex1_L3_clmp.fp2_r2_screen	53623.0	271761.0	156700.0	24528.0	10880.0	2405.0	2299.0	1313.0	50.0	0.0	0.0	828410.0	17042166.0
Sfa-ABas_009_Ex1_L3_clmp.fp2_r1_screen	133167.0	188436.0	160035.0	31010.0	12903.0	2584.0	2614.0	1490.0	80.0	0.0	0.0	933501.0	17923331.0
Sfa-ABas_009_Ex1_L3_clmp.fp2_r2_screen	132660.0	187188.0	161626.0	30899.0	12715.0	2603.0	2519.0	1457.0	53.0	0.0	0.0	937978.0	17919453.0
Sfa-ABas_010_Ex1_L3_clmp.fp2_r1_screen	73862.0	340497.0	161771.0	31280.0	11100.0	2965.0	2889.0	1216.0	58.0	0.0	0.0	690067.0	17669935.0
Sfa-ABas_013_Ex1_L3_clmp.fp2_r1_screen	132937.0	360787.0	145880.0	34895.0	11935.0	2647.0	2640.0	1231.0	59.0	0.0	0.0	720999.0	18642861.0
Sfa-ABas_013_Ex1_L3_clmp.fp2_r2_screen	132618.0	360190.0	147180.0	34885.0	11740.0	2636.0	2628.0	1226.0	51.0	0.0	0.0	724867.0	18638850.0
Sfa-ABas_014_Ex1_L3_clmp.fp2_r1_screen	230851.0	473200.0	112370.0	57133.0	8455.0	1693.0	1771.0	1496.0	40.0	0.0	0.0	684449.0	12249629.0
Sfa-ABas_014_Ex1_L3_clmp.fp2_r2_screen	231028.0	472159.0	113429.0	56911.0	8429.0	1699.0	1725.0	1457.0	27.0	0.0	0.0	683212.0	12251011.0
Sfa-ABas_016_Ex1_L3_clmp.fp2_r1_screen	182141.0	276946.0	142759.0	28926.0	11442.0	2498.0	2594.0	1305.0	78.0	2.0	0.0	768295.0	16429183.0
Sfa-ABas_016_Ex1_L3_clmp.fp2_r2_screen	181966.0	275485.0	143869.0	28347.0	11277.0	2401.0	2370.0	1345.0	44.0	0.0	0.0	771667.0	16427398.0
Sfa-ABas_017_Ex1_L3_clmp.fp2_r1_screen	67336.0	158509.0	139657.0	23290.0	10655.0	2454.0	2517.0	1104.0	70.0	0.0	1.0	634447.0	16410285.0
Sfa-ABas_017_Ex1_L3_clmp.fp2_r2_screen	67640.0	158064.0	141048.0	23255.0	10597.0	2338.0	2288.0	1107.0	41.0	0.0	0.0	637152.0	16406795.0
Sfa-ABas_018_Ex1_L3_clmp.fp2_r1_screen	65940.0	139697.0	138952.0	22921.0	11755.0	2792.0	2634.0	940.0	95.0	0.0	0.0	667606.0	17014101.0
Sfa-ABas_018_Ex1_L3_clmp.fp2_r2_screen	65904.0	139346.0	141019.0	22774.0	11536.0	2713.0	2503.0	980.0	57.0	0.0	0.0	671920.0	17008681.0
Sfa-ABas_019_Ex1_L3_clmp.fp2_r1_screen	66625.0	174052.0	140050.0	22614.0	11151.0	2570.0	2568.0	934.0	93.0	0.0	0.0	660693.0	17092596.0
Sfa-ABas_019_Ex1_L3_clmp.fp2_r2_screen	66136.0	174022.0	141449.0	22472.0	11135.0	2399.0	2550.0	965.0	54.0	0.0	0.0	665620.0	17087144.0
Sfa-ABas_020_Ex1_L3_clmp.fp2_r1_screen	76482.0	603500.0	121565.0	37230.0	5758.0	1437.0	1314.0	1256.0	66.0	0.0	0.0	630279.0	11325327.0
Sfa-ABas_020_Ex1_L3_clmp.fp2_r2_screen	76364.0	602146.0	121896.0	36691.0	5717.0	1382.0	1355.0	1277.0	37.0	0.0	0.0	630742.0	11326607.0
Sfa-ABas_021_Ex1_L3_clmp.fp2_r1_screen	31891.0	99252.0	58331.0	10855.0	4317.0	1136.0	1071.0	544.0	22.0	0.0	0.0	266149.0	6845875.0
Sfa-ABas_021_Ex1_L3_clmp.fp2_r2_screen	31780.0	98883.0	58658.0	11008.0	4217.0	1005.0	1018.0	507.0	11.0	0.0	0.0	268677.0	6843679.0
Sfa-ABas_022_Ex1_L3_clmp.fp2_r1_screen	79899.0	210508.0	148797.0	24602.0	10903.0	2822.0	2750.0	1047.0	64.0	0.0	0.0	658857.0	17280574.0
Sfa-ABas_022_Ex1_L3_clmp.fp2_r2_screen	79628.0	210260.0	150413.0	24283.0	10877.0	2770.0	2684.0	1029.0	40.0	0.0	0.0	663792.0	17275047.0
Sfa-ABas_023_Ex1_L3_clmp.fp2_r1_screen	42705.0	254780.0	122490.0	19485.0	8831.0	2243.0	2060.0	814.0	46.0	0.0	0.0	629569.0	14388722.0
Sfa-ABas_023_Ex1_L3_clmp.fp2_r2_screen	42633.0	253508.0	123700.0	19335.0	8614.0	2264.0	1947.0	770.0	43.0	0.0	0.0	633303.0	14385628.0
Sfa-ABas_024_Ex1_L3_clmp.fp2_r1_screen	70294.0	265668.0	128017.0	26119.0	8934.0	1952.0	2092.0	1125.0	40.0	0.0	0.0	623957.0	13298886.0
Sfa-ABas_024_Ex1_L3_clmp.fp2_r2_screen	70312.0	265419.0	128722.0	26147.0	8952.0	1893.0	1930.0	1029.0	46.0	0.0	0.0	628077.0	13294557.0
Sfa-ABas_025_Ex1_L3_clmp.fp2_r1_screen	36311.0	40216.0	140501.0	16018.0	10960.0	2404.0	2313.0	718.0	42.0	0.0	0.0	625320.0	16379683.0
Sfa-ABas_025_Ex1_L3_clmp.fp2_r2_screen	36229.0	40220.0	141114.0	15861.0	10985.0	2343.0	2260.0	738.0	44.0	0.0	0.0	626734.0	16377958.0
Sfa-ABas_026_Ex1_L3_clmp.fp2_r1_screen	428408.0	601850.0	171397.0	40828.0	13060.0	3193.0	3347.0	1515.0	63.0	1.0	0.0	910626.0	19205132.0
