# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	112	636
+	97	473
+	95	402
+	174	208
+	246	23
+	100	558
+	150	380
+	136	482
+	116	651
+	124	585
+	182	152
+	103	583
+	153	343
+	131	521
+	105	631
+	156	305
+	91	287
+	155	323
+	81	138
+	94	373
+	157	302
+	53	76
+	144	417
+	88	253
+	101	543
+	80	153
+	85	189
+	147	367
+	54	74
+	109	613
+	104	612
+	69	111
+	133	500
+	106	609
+	65	109
+	167	242
+	148	370
+	113	615
+	141	427
+	190	123
+	110	677
+	114	624
+	193	112
+	135	496
+	132	512
+	118	625
+	82	174
+	111	662
+	50	59
+	163	252
+	99	564
+	211	78
+	146	394
+	185	163
+	86	190
+	171	249
+	127	577
+	194	101
+	143	394
+	152	364
+	83	150
+	178	196
+	108	684
+	126	587
+	96	490
+	160	293
+	166	255
+	179	163
+	90	285
+	151	360
+	217	65
+	122	568
+	191	114
+	120	615
+	197	97
+	134	527
+	145	437
+	107	623
+	125	572
+	212	69
+	208	56
+	129	463
+	140	421
+	121	608
+	84	179
+	98	491
+	165	257
+	230	35
+	243	21
+	123	575
+	78	143
+	47	43
+	115	624
+	87	228
+	64	112
+	63	83
+	67	108
+	228	34
+	154	316
+	187	124
+	75	135
+	169	229
+	186	143
+	137	464
+	164	225
+	192	132
+	128	528
+	173	206
+	138	462
+	102	595
+	119	586
+	62	106
+	258	14
+	130	522
+	70	114
+	149	350
+	229	39
+	77	156
+	55	62
+	139	403
+	159	297
+	162	275
+	215	59
+	92	317
+	117	630
+	180	197
+	256	14
+	170	225
+	183	165
+	79	139
+	93	376
+	176	191
+	231	30
+	189	123
+	188	150
+	281	9
+	204	93
+	172	198
+	181	149
+	177	179
+	233	24
+	249	22
+	89	241
+	60	87
+	56	63
+	142	423
+	240	26
+	224	48
+	161	268
+	226	36
+	37	18
+	207	61
+	209	58
+	236	30
+	72	134
+	219	51
+	158	262
+	76	129
+	200	82
+	73	102
+	45	48
+	71	120
+	168	247
+	74	126
+	51	62
+	239	25
+	49	40
+	218	51
+	223	42
+	43	37
+	175	213
+	205	71
+	237	22
+	196	93
+	225	45
+	58	80
+	213	64
+	255	25
+	216	55
+	242	18
+	46	38
+	184	141
+	59	90
+	42	29
+	201	80
+	214	56
+	41	28
+	275	9
+	248	19
+	199	86
+	202	92
+	57	70
+	198	100
+	203	90
+	254	17
+	227	33
+	31	5
+	285	5
+	66	104
+	61	80
+	195	92
+	220	43
+	261	7
+	257	15
+	44	36
+	52	45
+	273	13
+	206	83
+	267	12
+	40	22
+	68	104
+	244	14
+	48	37
+	38	20
+	247	20
+	282	5
+	251	10
+	36	10
+	210	76
+	238	25
+	35	16
+	39	24
+	259	18
+	270	9
+	232	33
+	276	9
+	241	25
+	34	10
+	245	24
+	279	5
+	222	37
+	284	6
+	221	45
+	28	3
+	250	15
+	262	11
+	253	20
+	235	27
+	32	3
+	234	24
+	264	8
+	286	5
+	263	8
+	288	13
+	260	12
+	252	22
+	266	11
+	269	7
+	30	5
+	265	9
+	271	4
+	274	7
+	272	9
+	287	9
+	283	5
+	268	4
+	280	4
+	33	4
+	277	5
+	278	4
+	27	2
+	289	4
+	29	3
+	25	1
-	99	570
-	91	299
-	157	317
-	87	215
-	144	397
-	196	90
-	111	604
-	164	271
-	106	632
-	139	444
-	179	196
-	101	566
-	118	605
-	142	406
-	77	124
-	112	643
-	143	442
-	115	669
-	181	169
-	116	580
-	135	512
-	154	359
-	140	427
-	176	179
-	63	98
-	138	477
-	110	664
-	130	539
-	67	122
-	133	513
-	97	504
-	167	242
-	108	657
-	131	546
-	141	424
-	98	509
-	166	236
-	153	360
-	163	287
-	40	18
-	147	383
-	148	338
-	214	55
-	128	550
-	156	309
-	109	661
-	222	60
-	178	171
-	136	471
-	119	606
-	71	115
-	100	555
-	96	463
-	104	615
-	65	102
-	113	621
-	125	590
-	89	230
-	169	217
-	85	173
-	127	578
-	209	82
-	200	100
-	124	579
-	193	85
-	74	115
-	162	230
-	129	533
-	105	580
-	126	549
-	175	194
-	122	578
-	145	394
-	95	424
-	180	155
-	103	617
-	90	282
-	227	36
-	197	96
-	81	134
-	204	93
-	210	63
-	234	22
-	159	312
-	182	161
-	84	164
-	79	135
-	132	490
-	117	606
-	223	49
-	192	110
-	151	336
-	121	567
-	72	120
-	83	162
-	168	232
-	216	62
-	114	609
-	203	63
-	191	107
-	237	12
-	199	92
-	64	84
-	270	10
-	107	628
-	195	97
-	93	407
-	149	378
-	54	67
-	155	313
-	66	87
-	173	234
-	82	171
-	170	226
-	226	49
-	161	289
-	186	129
-	69	103
-	37	17
-	242	22
-	160	282
-	102	553
-	211	61
-	177	208
-	45	36
-	152	358
-	146	371
-	172	202
-	184	165
-	183	145
-	78	109
-	120	606
-	47	42
-	88	190
-	236	29
-	94	401
-	158	307
-	75	129
-	231	34
-	60	98
-	86	182
-	150	379
-	58	79
-	123	557
-	68	106
-	171	220
-	221	42
-	190	123
-	137	484
-	188	138
-	76	134
-	189	107
-	174	193
-	80	127
-	269	4
-	217	63
-	205	81
-	271	12
-	53	57
-	92	359
-	218	55
-	50	63
-	228	47
-	238	30
-	207	70
-	201	99
-	73	114
-	187	152
-	134	455
-	245	20
-	165	267
-	70	103
-	206	70
-	229	38
-	57	87
-	185	127
-	62	88
-	220	47
-	55	63
-	219	44
-	31	5
-	56	92
-	232	25
-	52	71
-	259	16
-	49	68
-	59	92
-	239	20
-	248	20
-	202	87
-	255	19
-	44	34
-	208	71
-	215	55
-	36	10
-	198	90
-	243	15
-	280	5
-	48	59
-	247	24
-	241	32
-	274	14
-	43	50
-	38	24
-	51	51
-	233	28
-	194	87
-	46	46
-	279	8
-	61	83
-	224	36
-	264	8
-	212	57
-	256	13
-	267	19
-	275	6
-	273	6
-	41	36
-	244	13
-	257	16
-	230	28
-	35	10
-	213	51
-	225	28
-	254	20
-	235	31
-	250	15
-	42	28
-	246	25
-	286	3
-	240	21
-	260	20
-	34	11
-	288	6
-	253	26
-	258	15
-	33	6
-	266	10
-	261	7
-	277	6
-	39	20
-	263	9
-	265	10
-	25	1
-	276	10
-	252	17
-	251	9
-	268	14
-	32	8
-	287	10
-	262	9
-	281	11
-	284	4
-	278	7
-	249	19
-	285	4
-	282	5
-	283	3
-	272	7
-	30	4
-	290	1
-	29	3
-	27	1
-	289	4
-	28	1
