#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4431697	4286078	96.71	4073	0.09	957	0.02	10514	0.24	130075	2.94
Ecoli	4431697	4431692	100.00	0	0.00	0	0.00	1	0.00	4	0.00
PhiX	4431697	4431697	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4431697	4431697	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	4431697	4386628	98.98	5	0.00	1	0.00	819	0.02	44244	1.00
Bacteria_24k	4431697	4339056	97.90	714	0.02	1252	0.03	6627	0.15	84048	1.90
Protists_1k	4431697	4243117	95.75	11238	0.25	21383	0.48	4753	0.11	151206	3.41
Viruses	4431697	4339298	97.92	184	0.00	51	0.00	7290	0.16	84874	1.92
Fungi_RefSeq_release	4431697	4292316	96.86	2646	0.06	939	0.02	11984	0.27	123812	2.79
Coral	4431697	4344838	98.04	363	0.01	131	0.00	7946	0.18	78419	1.77
Bird	4431697	4320560	97.49	2387	0.05	389	0.01	17635	0.40	90726	2.05
Plant	4431697	4334552	97.81	389	0.01	81	0.00	8064	0.18	88611	2.00

%Hit_no_genomes: 95.29
