#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	686398	662153	96.47	383	0.06	102	0.01	1583	0.23	22177	3.23
Ecoli	686398	686397	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	686398	686398	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	686398	686373	100.00	0	0.00	0	0.00	3	0.00	22	0.00
Vectors	686398	682448	99.42	0	0.00	1	0.00	44	0.01	3905	0.57
Bacteria_24k	686398	671083	97.76	250	0.04	341	0.05	1020	0.15	13704	2.00
Protists_1k	686398	653955	95.27	1611	0.23	4088	0.60	520	0.08	26224	3.82
Viruses	686398	672377	97.96	19	0.00	7	0.00	1232	0.18	12763	1.86
Fungi_RefSeq_release	686398	662006	96.45	239	0.03	110	0.02	1742	0.25	22301	3.25
Coral	686398	670657	97.71	27	0.00	10	0.00	1342	0.20	14362	2.09
Bird	686398	666928	97.15	177	0.03	38	0.01	2056	0.30	17199	2.51
Plant	686398	670340	97.66	59	0.01	16	0.00	1439	0.21	14544	2.12

%Hit_no_genomes: 94.95
