#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1
1	0.99525	0.00279	0.00000	0.00000	0.00000	0.00195
2	0.99567	0.00251	0.00000	0.00000	0.00000	0.00181
3	0.99525	0.00293	0.00000	0.00000	0.00000	0.00181
4	0.99553	0.00251	0.00000	0.00000	0.00014	0.00181
5	0.99553	0.00265	0.00000	0.00000	0.00000	0.00181
6	0.99721	0.00126	0.00000	0.00000	0.00000	0.00154
7	0.99665	0.00195	0.00000	0.00000	0.00000	0.00140
8	0.99721	0.00126	0.00000	0.00014	0.00000	0.00140
9	0.99721	0.00140	0.00014	0.00000	0.00000	0.00140
10	0.99539	0.00307	0.00000	0.00014	0.00000	0.00140
11	0.99553	0.00307	0.00014	0.00000	0.00000	0.00140
12	0.99581	0.00279	0.00000	0.00014	0.00000	0.00126
13	0.99651	0.00237	0.00000	0.00000	0.00000	0.00112
14	0.99539	0.00335	0.00028	0.00014	0.00000	0.00112
15	0.99651	0.00195	0.00000	0.00042	0.00000	0.00112
16	0.99567	0.00321	0.00000	0.00000	0.00000	0.00112
17	0.99637	0.00251	0.00028	0.00000	0.00000	0.00112
18	0.99623	0.00265	0.00000	0.00000	0.00000	0.00112
19	0.99595	0.00265	0.00000	0.00028	0.00000	0.00112
20	0.99693	0.00181	0.00014	0.00014	0.00000	0.00112
21	0.99721	0.00154	0.00000	0.00014	0.00000	0.00112
22	0.99567	0.00321	0.00014	0.00000	0.00000	0.00112
23	0.99749	0.00126	0.00000	0.00014	0.00000	0.00112
24	0.99665	0.00223	0.00000	0.00000	0.00000	0.00112
25	0.99665	0.00209	0.00000	0.00014	0.00000	0.00112
26	0.99749	0.00126	0.00000	0.00014	0.00000	0.00112
27	0.99651	0.00237	0.00000	0.00000	0.00000	0.00112
28	0.99651	0.00209	0.00000	0.00028	0.00000	0.00112
29	0.99721	0.00154	0.00000	0.00014	0.00000	0.00112
30	0.99665	0.00223	0.00000	0.00000	0.00000	0.00112
31	0.99679	0.00195	0.00014	0.00014	0.00000	0.00112
32	0.99637	0.00251	0.00000	0.00000	0.00000	0.00112
33	0.99763	0.00140	0.00028	0.00000	0.00000	0.00098
34	0.99581	0.00293	0.00000	0.00028	0.00000	0.00098
35	0.99749	0.00154	0.00000	0.00000	0.00000	0.00098
36	0.99763	0.00140	0.00000	0.00000	0.00000	0.00098
37	0.99777	0.00126	0.00000	0.00000	0.00000	0.00098
38	0.99749	0.00182	0.00000	0.00000	0.00000	0.00070
39	0.99804	0.00140	0.00014	0.00000	0.00000	0.00056
40	0.99707	0.00251	0.00000	0.00000	0.00000	0.00042
41	0.99860	0.00098	0.00000	0.00000	0.00000	0.00042
42	0.99832	0.00112	0.00014	0.00014	0.00000	0.00042
43	0.99818	0.00140	0.00000	0.00000	0.00000	0.00042
44	0.99874	0.00084	0.00000	0.00000	0.00000	0.00042
45	0.99804	0.00154	0.00000	0.00000	0.00000	0.00042
46	0.99860	0.00098	0.00000	0.00000	0.00000	0.00042
47	0.99846	0.00098	0.00000	0.00014	0.00000	0.00042
48	0.99804	0.00168	0.00000	0.00000	0.00000	0.00028
49	0.99748	0.00224	0.00000	0.00000	0.00000	0.00028
50	0.99832	0.00140	0.00000	0.00000	0.00000	0.00028
51	0.99818	0.00154	0.00000	0.00000	0.00000	0.00028
52	0.99692	0.00266	0.00014	0.00014	0.00000	0.00028
53	0.99734	0.00252	0.00000	0.00000	0.00000	0.00014
54	0.99790	0.00168	0.00000	0.00028	0.00000	0.00014
55	0.99874	0.00112	0.00000	0.00000	0.00000	0.00014
56	0.99804	0.00182	0.00000	0.00000	0.00000	0.00014
57	0.99818	0.00168	0.00000	0.00000	0.00000	0.00014
58	0.99776	0.00210	0.00000	0.00000	0.00000	0.00014
59	0.99846	0.00140	0.00000	0.00000	0.00000	0.00014
60	0.99846	0.00140	0.00000	0.00000	0.00000	0.00014
61	0.99818	0.00182	0.00014	0.00000	0.00000	0.00000
62	0.99874	0.00126	0.00000	0.00000	0.00000	0.00000
63	0.99734	0.00252	0.00000	0.00014	0.00000	0.00000
64	0.99818	0.00168	0.00000	0.00014	0.00000	0.00000
