1:>NC_044495.1 Chanos chanos chromosome 1, fChaCha1.1, whole genome shotgun sequence
789026:>NC_044496.1 Chanos chanos chromosome 2, fChaCha1.1, whole genome shotgun sequence
1535734:>NC_044497.1 Chanos chanos chromosome 3, fChaCha1.1, whole genome shotgun sequence
2268884:>NC_044498.1 Chanos chanos chromosome 4, fChaCha1.1, whole genome shotgun sequence
2942753:>NC_044499.1 Chanos chanos chromosome 5, fChaCha1.1, whole genome shotgun sequence
3613892:>NC_044500.1 Chanos chanos chromosome 6, fChaCha1.1, whole genome shotgun sequence
4242646:>NC_044501.1 Chanos chanos chromosome 7, fChaCha1.1, whole genome shotgun sequence
4857492:>NC_044502.1 Chanos chanos chromosome 8, fChaCha1.1, whole genome shotgun sequence
5461789:>NC_044503.1 Chanos chanos chromosome 9, fChaCha1.1, whole genome shotgun sequence
6009171:>NC_044504.1 Chanos chanos chromosome 10, fChaCha1.1, whole genome shotgun sequence
6513513:>NC_044505.1 Chanos chanos chromosome 11, fChaCha1.1, whole genome shotgun sequence
6832559:>NC_044506.1 Chanos chanos chromosome 12, fChaCha1.1, whole genome shotgun sequence
7141293:>NC_044507.1 Chanos chanos chromosome 13, fChaCha1.1, whole genome shotgun sequence
7439263:>NC_044508.1 Chanos chanos chromosome 14, fChaCha1.1, whole genome shotgun sequence
7713538:>NC_044509.1 Chanos chanos chromosome 15, fChaCha1.1, whole genome shotgun sequence
7969298:>NC_044510.1 Chanos chanos chromosome 16, fChaCha1.1, whole genome shotgun sequence
8201217:>NW_022111401.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8202821:>NW_022111402.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8204303:>NW_022111403.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8205515:>NW_022111404.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8206622:>NW_022111405.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8207588:>NW_022111406.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8208255:>NW_022111407.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8208755:>NW_022111408.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8209250:>NW_022111409.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8209744:>NW_022111410.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8210167:>NW_022111411.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8210521:>NW_022111412.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8210872:>NW_022111413.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8211185:>NW_022111414.1 Chanos chanos unplaced genomic scaffold, fChaCha1.1, whole genome shotgun sequence
8211456:>NC_004693.1 Chanos chanos mitochondrion, complete genome
