pos	5pC>T
1	0.00921378590986136
2	0.00861618798955614
3	0.0094356183621522
4	0.00940070505287897
5	0.00870712401055409
6	0.00806242993877727
7	0.00778445703412187
8	0.00705580500320718
9	0.00684508037449214
10	0.00735102218355807
11	0.00741943981034331
12	0.00731148696264975
13	0.00761354686269362
14	0.00795628415300547
15	0.00688243237356798
16	0.00751128864188954
17	0.00675501247741158
18	0.00787641427328111
19	0.0070993031358885
20	0.00784518828451883
21	0.00788608981380066
22	0.00768062486439575
23	0.00779514871750207
24	0.0075407549472583
25	0.00727573737637782
