Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Psq-AGal_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	368088	4556.0	1.25	3.0	0.0	0.0	0.0	7.0	0.0	813.0	0.22	8150.0	2.21	8207.0	2.23	1928.0	0.52	3663.0	0.99	2152.0	0.59	2661.0	0.73	2233.0	0.61	353658	96.08
Psq-AGal_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	368088	4642.0	1.26	5.0	0.0	0.0	0.0	4.0	0.0	856.0	0.23	8193.0	2.23	8269.0	2.24	2037.0	0.55	3712.0	1.0	2219.0	0.6	2764.0	0.76	2318.0	0.63	353622	96.07
Psq-AGal_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	327160	3935.0	1.2	7.0	0.0	0.0	0.0	4.0	0.0	960.0	0.29	11467.0	3.51	10354.0	3.17	2473.0	0.75	3727.0	1.13	2471.0	0.75	2854.0	0.87	2618.0	0.79	309460	94.59
Psq-AGal_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	327160	3920.0	1.2	12.0	0.0	0.0	0.0	6.0	0.0	988.0	0.3	11271.0	3.44	10477.0	3.2	2384.0	0.7200000000000001	3761.0	1.14	2486.0	0.76	2854.0	0.86	2639.0	0.81	309329	94.55
Psq-AGal_005-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	98185	1458.0	1.4900000000000002	5.0	0.01	0.0	0.0	6.0	0.01	172.0	0.17	5451.0	5.55	3545.0	3.6100000000000003	555.0	0.56	1005.0	1.03	565.0	0.5800000000000001	674.0	0.6799999999999999	622.0	0.6399999999999999	90428	92.1
Psq-AGal_005-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	98185	1483.0	1.51	3.0	0.0	0.0	0.0	6.0	0.01	182.0	0.19	5455.0	5.55	3612.0	3.6799999999999997	550.0	0.56	1029.0	1.04	584.0	0.5900000000000001	690.0	0.7	623.0	0.63	90379	92.05
Psq-AGal_008-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	599221	8867.0	1.48	11.0	0.0	0.0	0.0	17.0	0.0	1442.0	0.24	14222.0	2.38	16763.0	2.8000000000000003	3841.0	0.64	6473.0	1.08	4196.0	0.7	4850.0	0.8099999999999999	4384.0	0.73	571716	95.41
Psq-AGal_008-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	599221	8934.0	1.49	11.0	0.0	0.0	0.0	10.0	0.0	1460.0	0.25	14123.0	2.3600000000000003	17117.0	2.85	3780.0	0.63	6507.0	1.09	4199.0	0.7	4862.0	0.8099999999999999	4394.0	0.72	571477	95.37
Psq-AGal_009-Ex1-9A-lcwgs-1-1.clmp.fp2_r1_screen	804270	8734.0	1.08	24.0	0.0	0.0	0.0	14.0	0.0	1800.0	0.23	25936.0	3.2299999999999995	22379.0	2.79	4702.0	0.5800000000000001	8245.0	1.03	5084.0	0.64	6141.0	0.76	5413.0	0.6699999999999999	764297	95.03
Psq-AGal_009-Ex1-9A-lcwgs-1-1.clmp.fp2_r2_screen	804270	8751.0	1.08	26.0	0.0	0.0	0.0	8.0	0.0	1758.0	0.22	25633.0	3.1899999999999995	22509.0	2.8	4637.0	0.5700000000000001	8298.0	1.04	5015.0	0.63	6058.0	0.76	5333.0	0.6599999999999999	764297	95.03
