pos	5pC>T
1	0.00208365096305331
2	0.00594978958061239
3	0.00480913736098587
4	0.00459148644009612
5	0.00473304728623878
6	0.00354287355771533
7	0.00518960258569673
8	0.00411679823444529
9	0.00498662126003406
10	0.00488099665303087
11	0.00300764103397821
12	0.00331271203352624
13	0.00436627260369897
14	0.00428949913789478
15	0.00350423428309207
16	0.00406297613001524
17	0.00389039949801297
18	0.00398052085538852
19	0.00419586287920111
20	0.00395972871645815
21	0.00360108456193865
22	0.00407358175035376
23	0.00426992632283992
24	0.00358841331603978
25	0.00438764643237487
