samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
JvS008_08_L2 BHJ5YVCCXY.L2.08 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_08_L2.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_08_L2.extr.R2.fastq.gz
JvS008_08_L6 BHJ5YVCCXY.L6.08 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_08_L6.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_08_L6.extr.R2.fastq.gz
JvS008_10_L2 BHJ5YVCCXY.L2.10 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_10_L2.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_10_L2.extr.R2.fastq.gz
JvS008_10_L6 BHJ5YVCCXY.L6.10 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_10_L6.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_10_L6.extr.R2.fastq.gz
JvS008_11_L2 BHJ5YVCCXY.L2.11 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_11_L2.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_11_L2.extr.R2.fastq.gz
JvS008_11_L6 BHJ5YVCCXY.L6.11 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_11_L6.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS008_11_L6.extr.R2.fastq.gz
JvS009_09_L3 BHJ5YVCCXY.L3.09 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_09_L3.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_09_L3.extr.R2.fastq.gz
JvS009_09_L7 BHJ5YVCCXY.L7.09 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_09_L7.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_09_L7.extr.R2.fastq.gz
JvS009_15_L3 BHJ5YVCCXY.L3.15 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_15_L3.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_15_L3.extr.R2.fastq.gz
JvS009_15_L7 BHJ5YVCCXY.L7.15 illumina /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_15_L7.extr.R1.fastq.gz /home/breid/GenErode_testrun_whiterhino_onedir/historical/JvS009_15_L7.extr.R2.fastq.gz
