Sequence_Name	Extraction_ID
GoA0100101A	Goy-APnd_001-Ex1-1A-lcwgs-1-T
GoA0100201B	Goy-APnd_002-Ex1-1B-lcwgs-1-T
GoA0100301C	Goy-APnd_003-Ex1-1C-lcwgs-1-T
GoA0100401D	Goy-APnd_004-Ex1-1D-lcwgs-1-T
GoA0100501E	Goy-APnd_005-Ex1-1E-lcwgs-1-T
GoA0100601F	Goy-APnd_006-Ex1-1F-lcwgs-1-T
GoA0100701G	Goy-APnd_007-Ex1-1G-lcwgs-1-T
GoA0100801H	Goy-APnd_008-Ex1-1H-lcwgs-1-T
GoA0100902A	Goy-APnd_009-Ex1-2A-lcwgs-1-T
GoA0101002B	Goy-APnd_010-Ex1-2B-lcwgs-1-T
GoA0101102C	Goy-APnd_011-Ex1-2C-lcwgs-1-T
GoA0101202D	Goy-APnd_012-Ex1-2D-lcwgs-1-T
GoA0101302E	Goy-APnd_013-Ex1-2E-lcwgs-1-T
GoA0101402F	Goy-APnd_014-Ex1-2F-lcwgs-1-T
GoA0101502G	Goy-APnd_015-Ex1-2G-lcwgs-1-T
GoA0101602H	Goy-APnd_016-Ex1-2H-lcwgs-1-T
GoA0101703A	Goy-APnd_017-Ex1-3A-lcwgs-1-T
GoA0101803B	Goy-APnd_018-Ex1-3B-lcwgs-1-T
GoA0101903C	Goy-APnd_019-Ex1-3C-lcwgs-1-T
GoA0102003D	Goy-APnd_020-Ex1-3D-lcwgs-1-T
GoA0102103E	Goy-APnd_021-Ex1-3E-lcwgs-1-T
GoA0102203F	Goy-APnd_022-Ex1-3F-lcwgs-1-T
GoA0102303G	Goy-APnd_023-Ex1-3G-lcwgs-1-T
GoA0102403H	Goy-APnd_024-Ex1-3H-lcwgs-1-T
GoA0102504A	Goy-APnd_025-Ex1-4A-lcwgs-1-T
GoA0102604B	Goy-APnd_026-Ex1-4B-lcwgs-1-T
GoA0102704C	Goy-APnd_027-Ex1-4C-lcwgs-1-T
GoA0102804D	Goy-APnd_028-Ex1-4D-lcwgs-1-T
GoA0102904E	Goy-APnd_029-Ex1-4E-lcwgs-1-T
GoA0103004F	Goy-APnd_030-Ex1-4F-lcwgs-1-T
GoA0103104G	Goy-APnd_031-Ex1-4G-lcwgs-1-T
GoA0103204H	Goy-APnd_032-Ex1-4H-lcwgs-1-T
GoA0103305A	Goy-APnd_033-Ex1-5A-lcwgs-1-T
GoA0103405B	Goy-APnd_034-Ex1-5B-lcwgs-1-T
GoA0103505C	Goy-APnd_035-Ex1-5C-lcwgs-1-T
GoA0103605D	Goy-APnd_036-Ex1-5D-lcwgs-1-T
