pos	3pG>A
1	0.024214471029115
2	0.0257234726688103
3	0.014344262295082
4	0.0167468376982006
5	0.0128440366972477
6	0.0175908221797323
7	0.0189442707375391
8	0.0142648134601317
9	0.0153391240066531
10	0.0168970814132104
11	0.0169186465082793
12	0.0138248847926267
13	0.0150862068965517
14	0.0143778801843318
15	0.0136838314728124
16	0.0114670549690572
17	0.00995475113122172
18	0.0136455836252996
19	0.0145810262089332
20	0.0120746432491767
21	0.0117409649605577
22	0.0156791248860529
23	0.0123639047794796
24	0.013003663003663
25	0.0110844263809348
