Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
Dar-AJol_001-Ex1-1A-lcwgs-1-1	13284738.0	498586.0	2176.0	69520.0	287346.0	0.0
Dar-AJol_002-Ex1-1B-lcwgs-1-1	9078508.0	145430.0	1782.0	4784.0	274480.0	0.0
Dar-AJol_003-Ex1-1C-lcwgs-1-1	7449672.0	120380.0	1156.0	2552.0	368718.0	0.0
Dar-AJol_004-Ex1-1D-lcwgs-1-1	15678124.0	279618.0	2502.0	14464.0	398420.0	0.0
Dar-AJol_005-Ex1-1E-lcwgs-1-1	2256218.0	37762.0	440.0	482.0	420564.0	0.0
Dar-AJol_006-Ex1-1F-lcwgs-1-1	4257120.0	56606.0	628.0	2586.0	206684.0	0.0
Dar-AJol_007-Ex1-1G-lcwgs-1-1	6412480.0	116998.0	1022.0	3234.0	760544.0	0.0
Dar-AJol_008-Ex1-1H-lcwgs-1-1	9981474.0	228622.0	1944.0	5994.0	540296.0	0.0
Dar-AJol_009-Ex1-2A-lcwgs-1-1	21499438.0	424766.0	3978.0	11622.0	262356.0	0.0
Dar-AJol_010-Ex1-2B-lcwgs-1-1	6397468.0	49824.0	988.0	1358.0	144786.0	0.0
Dar-AJol_011-Ex1-2C-lcwgs-1-1	3241270.0	29662.0	528.0	308.0	141360.0	0.0
Dar-AJol_012-Ex1-2D-lcwgs-1-1	13136598.0	205630.0	2452.0	5378.0	403672.0	0.0
Dar-AJol_013-Ex1-2E-lcwgs-1-1	8346208.0	104294.0	1258.0	4006.0	169102.0	0.0
Dar-AJol_014-Ex1-2F-lcwgs-1-1	4942634.0	30416.0	670.0	988.0	141178.0	0.0
Dar-AJol_015-Ex1-2G-lcwgs-1-1	2039116.0	16562.0	372.0	382.0	53766.0	0.0
Dar-AJol_016-Ex1-2H-lcwgs-1-1	11496634.0	264680.0	2058.0	11032.0	495498.0	0.0
Dar-AJol_017-Ex1-3A-lcwgs-1-1	6107942.0	110910.0	1026.0	5778.0	119646.0	0.0
Dar-AJol_018-Ex1-3B-lcwgs-1-1	3318648.0	34586.0	546.0	850.0	139258.0	0.0
Dar-AJol_019-Ex1-3C-lcwgs-1-1	21060592.0	512586.0	4146.0	27410.0	241838.0	0.0
Dar-AJol_020-Ex1-3D-lcwgs-1-1	10764300.0	101616.0	1348.0	3068.0	693550.0	0.0
Dar-AJol_021-Ex1-3E-lcwgs-1-1	3666050.0	23068.0	558.0	452.0	124498.0	0.0
Dar-CJol_009-Ex1-3B-lcwgs-1-1	5369782.0	88282.0	1040.0	2220.0	90908.0	0.0
Dar-CJol_012-Ex1-3D-lcwgs-1-1	4452562.0	98324.0	892.0	3410.0	186572.0	0.0
Dar-CJol_019-Ex1-1G-lcwgs-1-1	5325896.0	86960.0	1110.0	1314.0	20690.0	0.0
Dar-CJol_020-Ex1-4F-lcwgs-1-1	9236208.0	136226.0	1862.0	3466.0	185848.0	0.0
Dar-CJol_021-Ex1-6F-lcwgs-1-1	10187400.0	138022.0	1884.0	3120.0	192676.0	0.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1	2456734.0	29838.0	408.0	998.0	62512.0	0.0
Dar-CJol_023-Ex1-8B-lcwgs-1-1	1955668.0	22516.0	294.0	570.0	34282.0	0.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1	68.0	8.0	0.0	0.0	6.0	0.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1	4672006.0	66580.0	808.0	1052.0	26512.0	0.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1	2295126.0	24362.0	324.0	856.0	35640.0	0.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1	10531432.0	147552.0	1988.0	2606.0	470836.0	0.0
Dar-CJol_029-Ex1-5B-lcwgs-1-1	5642582.0	71982.0	1060.0	1738.0	62610.0	0.0
Dar-CJol_030-Ex1-8D-lcwgs-1-1	3550298.0	50382.0	650.0	1724.0	160260.0	0.0
