Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
GotPopAL11_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	12164.0	1566.0	874.0	554.0	239.0	190.0	284.0	59.0	5.0	0.0	75411.0	490475.0
GotPopAL11_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r2_screen	11977.0	1501.0	831.0	502.0	230.0	157.0	266.0	61.0	3.0	0.0	73782.0	492511.0
GotPopAL12_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	19929.0	2481.0	1354.0	825.0	404.0	299.0	196.0	94.0	5.0	0.0	120825.0	820002.0
GotPopAL12_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r2_screen	19855.0	2450.0	1361.0	848.0	358.0	283.0	188.0	67.0	4.0	0.0	118679.0	822321.0
GotPopAL13_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	40839.0	5309.0	2893.0	1787.0	843.0	493.0	386.0	203.0	8.0	0.0	249339.0	1634436.0
GotPopAL13_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r2_screen	40601.0	4983.0	2725.0	1670.0	745.0	478.0	396.0	170.0	6.0	0.0	245097.0	1639665.0
GotPopAL14_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	17674.0	2353.0	1258.0	740.0	374.0	311.0	194.0	105.0	3.0	0.0	109516.0	705725.0
GotPopAL14_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r2_screen	17771.0	2322.0	1185.0	771.0	340.0	293.0	186.0	88.0	3.0	0.0	107222.0	708072.0
GotPopAL15_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	24372.0	3075.0	1645.0	947.0	487.0	290.0	429.0	96.0	1.0	0.0	155735.0	910790.0
GotPopAL15_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r2_screen	24232.0	2916.0	1642.0	952.0	488.0	319.0	438.0	77.0	3.0	0.0	152936.0	913864.0
GotPopAL16_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	18793.0	2489.0	1347.0	848.0	381.0	225.0	221.0	98.0	3.0	0.0	115024.0	810357.0
GotPopAL16_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r2_screen	18380.0	2446.0	1332.0	800.0	371.0	237.0	191.0	97.0	5.0	0.0	112531.0	813396.0
GotPopAL17_CKDL230010745-1A_HJJCCCCX2_L2_clmp.fp2_r1_screen	33236.0	4137.0	2423.0	1453.0	678.0	420.0	265.0	173.0	5.0	0.0	196892.0	1403098.0
