Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	1865098.0	0.0	0.0	8454.0	0.0
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	8229040.0	0.0	0.0	31504.0	0.0
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	17510340.0	0.0	0.0	76946.0	0.0
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	10031610.0	0.0	0.0	42974.0	0.0
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	6454724.0	0.0	0.0	25488.0	0.0
GotPopAL16_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	13669504.0	0.0	0.0	57214.0	0.0
GotPopAL17_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	17846702.0	0.0	0.0	81274.0	0.0
GotPopAL18_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5156136.0	0.0	0.0	21944.0	0.0
GotPopAL19_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	163988218.0	0.0	0.0	778422.0	0.0
GotPopAL1_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	11407174.0	0.0	0.0	50416.0	0.0
GotPopAL20_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	8560226.0	0.0	0.0	38478.0	0.0
GotPopAL21_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	11447560.0	0.0	0.0	49390.0	0.0
GotPopAL22_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	12265640.0	0.0	0.0	52954.0	0.0
GotPopAL23_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	10630822.0	0.0	0.0	48668.0	0.0
GotPopAL24_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9907786.0	0.0	0.0	41906.0	0.0
GotPopAL25_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	1388004.0	0.0	0.0	5934.0	0.0
GotPopAL27_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	6802952.0	0.0	0.0	28516.0	0.0
GotPopAL28_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	17594074.0	0.0	0.0	71132.0	0.0
GotPopAL29_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	607540.0	0.0	0.0	2832.0	0.0
GotPopAL30_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	3175706.0	0.0	0.0	12684.0	0.0
GotPopAL31_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	7666090.0	0.0	0.0	30982.0	0.0
GotPopAL34_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	15837254.0	0.0	0.0	68132.0	0.0
GotPopAL36_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9123902.0	0.0	0.0	40732.0	0.0
GotPopAL38_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9564426.0	0.0	0.0	39698.0	0.0
GotPopAL39_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	18398512.0	0.0	0.0	77830.0	0.0
GotPopAL3_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	161282.0	0.0	0.0	1074.0	0.0
GotPopAL40_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	19501392.0	0.0	0.0	85128.0	0.0
GotPopAL41_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	13783618.0	0.0	0.0	57900.0	0.0
GotPopAL42_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	7906562.0	0.0	0.0	33774.0	0.0
GotPopAL43_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	8351572.0	0.0	0.0	33364.0	0.0
GotPopAL44_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	3356364.0	0.0	0.0	13192.0	0.0
GotPopAL45_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	17009976.0	0.0	0.0	74330.0	0.0
GotPopAL46_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	3242434.0	0.0	0.0	14372.0	0.0
GotPopAL49_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	3441684.0	0.0	0.0	13640.0	0.0
GotPopAL4_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	20510196.0	0.0	0.0	88510.0	0.0
GotPopAL50_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	2394496.0	0.0	0.0	11490.0	0.0
GotPopAL5_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9576348.0	0.0	0.0	41692.0	0.0
GotPopAL6_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	10210950.0	0.0	0.0	49902.0	0.0
GotPopAL8_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	115318.0	0.0	0.0	898.0	0.0
GotPopAL9_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	54795486.0	0.0	0.0	249444.0	0.0
GotPopAS10_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	7195970.0	0.0	0.0	29990.0	0.0
GotPopAS11_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5024400.0	0.0	0.0	21816.0	0.0
GotPopAS12_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5294838.0	0.0	0.0	24838.0	0.0
GotPopAS13_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	80825270.0	0.0	0.0	412560.0	0.0
GotPopAS14_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	7840776.0	0.0	0.0	37078.0	0.0
GotPopAS15_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	2177758.0	0.0	0.0	10478.0	0.0
GotPopAS16_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	37838634.0	0.0	0.0	164858.0	0.0
GotPopAS17_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	19639598.0	0.0	0.0	82060.0	0.0
GotPopAS18_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	2826146.0	0.0	0.0	11924.0	0.0
GotPopAS19_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	6442894.0	0.0	0.0	28202.0	0.0
GotPopAS1_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	1460078.0	0.0	0.0	7284.0	0.0
GotPopAS21_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9271426.0	0.0	0.0	43028.0	0.0
GotPopAS22_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	12184780.0	0.0	0.0	53364.0	0.0
GotPopAS23_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	115142.0	0.0	0.0	752.0	0.0
GotPopAS24_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	12650316.0	0.0	0.0	51904.0	0.0
GotPopAS25_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	12338184.0	0.0	0.0	55928.0	0.0
GotPopAS26_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	13041362.0	0.0	0.0	58884.0	0.0
GotPopAS27_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	6066472.0	0.0	0.0	26142.0	0.0
GotPopAS29_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9342556.0	0.0	0.0	42804.0	0.0
GotPopAS2_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	11962380.0	0.0	0.0	51100.0	0.0
GotPopAS30_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	15508750.0	0.0	0.0	64384.0	0.0
GotPopAS31_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	7975578.0	0.0	0.0	36176.0	0.0
GotPopAS32_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	10630012.0	0.0	0.0	43774.0	0.0
GotPopAS33_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	6456156.0	0.0	0.0	30184.0	0.0
GotPopAS34_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	18600064.0	0.0	0.0	84994.0	0.0
GotPopAS35_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	2577886.0	0.0	0.0	11962.0	0.0
GotPopAS37_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	10179562.0	0.0	0.0	46474.0	0.0
GotPopAS38_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5141120.0	0.0	0.0	22078.0	0.0
GotPopAS39_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9390636.0	0.0	0.0	40422.0	0.0
GotPopAS41_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	1359392.0	0.0	0.0	6558.0	0.0
GotPopAS42_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	80118068.0	0.0	0.0	358106.0	0.0
GotPopAS43_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	2255516.0	0.0	0.0	11142.0	0.0
GotPopAS44_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	2874222.0	0.0	0.0	12558.0	0.0
GotPopAS45_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	22608414.0	0.0	0.0	90918.0	0.0
GotPopAS46_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	9331772.0	0.0	0.0	40166.0	0.0
GotPopAS47_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	15378218.0	0.0	0.0	69682.0	0.0
GotPopAS48_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5409320.0	0.0	0.0	23824.0	0.0
GotPopAS49_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	99058.0	0.0	0.0	582.0	0.0
GotPopAS4_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5719080.0	0.0	0.0	23958.0	0.0
GotPopAS50_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	4223294.0	0.0	0.0	19326.0	0.0
GotPopAS5_CKDL230018273-1A_H5YMHDSX7_L2_clmp.r1r2_fastp	5954158.0	0.0	0.0	26582.0	0.0
