Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Pli-AMvi_004-Ex1-1A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_004-Ex1-1A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_004-Ex1-1A-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_004-Ex1-1A-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_005-Ex1-2A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_005-Ex1-2A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_005-Ex1-2A-lcwgs-2-1.clmp.fp2_repr.R1	0.5964214711729622	99.40357852882727
Pli-AMvi_005-Ex1-2A-lcwgs-2-1.clmp.fp2_repr.R2	0.3976143141153081	99.60238568588493
Pli-AMvi_006-Ex1-3A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_006-Ex1-3A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_006-Ex1-3A-lcwgs-2-1.clmp.fp2_repr.R1	0.5434782608695652	99.45652173913007
Pli-AMvi_006-Ex1-3A-lcwgs-2-1.clmp.fp2_repr.R2	0.5434782608695652	99.45652173913007
Pli-AMvi_007-Ex1-4A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_007-Ex1-4A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_007-Ex1-4A-lcwgs-2-1.clmp.fp2_repr.R1	0.273972602739726	99.72602739726098
Pli-AMvi_007-Ex1-4A-lcwgs-2-1.clmp.fp2_repr.R2	0.273972602739726	99.72602739726098
Pli-AMvi_008-Ex1-1B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_008-Ex1-1B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_008-Ex1-1B-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_008-Ex1-1B-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_009-Ex1-2B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_009-Ex1-2B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_009-Ex1-2B-lcwgs-2-1.clmp.fp2_repr.R1	0.5050505050505051	99.4949494949485
Pli-AMvi_009-Ex1-2B-lcwgs-2-1.clmp.fp2_repr.R2	0.5050505050505051	99.4949494949485
Pli-AMvi_010-Ex1-7A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_010-Ex1-7A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_010-Ex1-7A-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_010-Ex1-7A-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_011-Ex1-8A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_011-Ex1-8A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_011-Ex1-8A-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_011-Ex1-8A-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_012-Ex1-9A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_012-Ex1-9A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_012-Ex1-9A-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_012-Ex1-9A-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_013-Ex1-10A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_013-Ex1-10A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_013-Ex1-10A-lcwgs-2-1.clmp.fp2_repr.R1	1.8867924528301887	98.11320754716984
Pli-AMvi_013-Ex1-10A-lcwgs-2-1.clmp.fp2_repr.R2	1.8867924528301887	98.11320754716984
Pli-AMvi_014-Ex1-11A-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_014-Ex1-11A-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_014-Ex1-11A-lcwgs-2-1.clmp.fp2_repr.R1	0.5376344086021506	99.46236559139719
Pli-AMvi_014-Ex1-11A-lcwgs-2-1.clmp.fp2_repr.R2	0.5376344086021506	99.46236559139719
Pli-AMvi_015-Ex1-12A-lcwgs-1-1.clmp.fp2_repr.R1	0.7326007326007326	99.26739926739899
Pli-AMvi_015-Ex1-12A-lcwgs-1-1.clmp.fp2_repr.R2	0.7326007326007326	99.26739926739899
Pli-AMvi_015-Ex1-12A-lcwgs-2-1.clmp.fp2_repr.R1	0.398406374501992	99.6015936254979
Pli-AMvi_015-Ex1-12A-lcwgs-2-1.clmp.fp2_repr.R2	0.398406374501992	99.6015936254979
Pli-AMvi_016-Ex1-3B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_016-Ex1-3B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_016-Ex1-3B-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_016-Ex1-3B-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_017-Ex1-4B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_017-Ex1-4B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_017-Ex1-4B-lcwgs-2-1.clmp.fp2_repr.R1	0.8658008658008658	99.13419913419955
Pli-AMvi_017-Ex1-4B-lcwgs-2-1.clmp.fp2_repr.R2	0.4329004329004329	99.56709956709997
Pli-AMvi_018-Ex1-1C-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_018-Ex1-1C-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_018-Ex1-1C-lcwgs-2-1.clmp.fp2_repr.R1	0.13175230566534915	99.86824769433372
Pli-AMvi_018-Ex1-1C-lcwgs-2-1.clmp.fp2_repr.R2	0.13175230566534915	99.86824769433372
Pli-AMvi_019-Ex1-2C-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_019-Ex1-2C-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_019-Ex1-2C-lcwgs-2-1.clmp.fp2_repr.R1	0.20920502092050208	99.79079497908006
Pli-AMvi_019-Ex1-2C-lcwgs-2-1.clmp.fp2_repr.R2	0.41841004184100417	99.58158995815957
Pli-AMvi_020-Ex1-3C-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_020-Ex1-3C-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_020-Ex1-3C-lcwgs-2-1.clmp.fp2_repr.R1	0.49019607843137253	99.5098039215683
Pli-AMvi_020-Ex1-3C-lcwgs-2-1.clmp.fp2_repr.R2	0.49019607843137253	99.5098039215683
Pli-AMvi_021-Ex1-4C-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_021-Ex1-4C-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_021-Ex1-4C-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_021-Ex1-4C-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_022-Ex1-7B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_022-Ex1-7B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_022-Ex1-7B-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_022-Ex1-7B-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_023-Ex1-8B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_023-Ex1-8B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_023-Ex1-8B-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_023-Ex1-8B-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_024-Ex1-9B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_024-Ex1-9B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_024-Ex1-9B-lcwgs-2-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_024-Ex1-9B-lcwgs-2-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_025-Ex1-10B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_025-Ex1-10B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_025-Ex1-10B-lcwgs-2-1.clmp.fp2_repr.R1	2.7777777777777777	97.22222222222216
Pli-AMvi_025-Ex1-10B-lcwgs-2-1.clmp.fp2_repr.R2	2.7777777777777777	97.22222222222216
Pli-AMvi_026-Ex1-11B-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_026-Ex1-11B-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
Pli-AMvi_026-Ex1-11B-lcwgs-2-1.clmp.fp2_repr.R1	0.1352265043948614	0.2704530087897228
Pli-AMvi_026-Ex1-11B-lcwgs-2-1.clmp.fp2_repr.R2	0.1352265043948614	0.0
Pli-AMvi_027-Ex1-12B-lcwgs-1-1.clmp.fp2_repr.R1	0.45871559633027525	99.54128440366982
Pli-AMvi_027-Ex1-12B-lcwgs-1-1.clmp.fp2_repr.R2	0.45871559633027525	99.54128440366982
Pli-AMvi_027-Ex1-12B-lcwgs-2-1.clmp.fp2_repr.R1	0.273224043715847	99.72677595628501
Pli-AMvi_027-Ex1-12B-lcwgs-2-1.clmp.fp2_repr.R2	0.273224043715847	99.72677595628501
Pli-AMvi_028-Ex1-1D-lcwgs-1-1.clmp.fp2_repr.R1	0.0	0.0
Pli-AMvi_028-Ex1-1D-lcwgs-1-1.clmp.fp2_repr.R2	0.0	0.0
