Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Goy-APnd_037-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	505894.0	254374.0	283854.0	42322.0	28275.0	8946.0	7978.0	2209.0	81.0	1.0	0.0	3132961.0	49136039.0
Goy-APnd_038-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	64888.0	19088.0	11899.0	6286.0	4629.0	1170.0	1101.0	302.0	8.0	0.0	0.0	328697.0	8688343.0
Goy-APnd_038-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	65159.0	18980.0	11726.0	6079.0	4385.0	1034.0	1072.0	264.0	11.0	0.0	0.0	326620.0	8691081.0
Goy-APnd_040-Ex1-5H-lcwgs-1-2.clmp.fp2_r1_screen	113861.0	21092.0	20445.0	11445.0	7439.0	2012.0	1813.0	425.0	11.0	0.0	0.0	453070.0	14736087.0
Goy-APnd_040-Ex1-5H-lcwgs-1-2.clmp.fp2_r2_screen	114909.0	20931.0	20205.0	11237.0	7250.0	1973.0	1812.0	428.0	17.0	0.0	0.0	451314.0	14737624.0
Goy-APnd_041-Ex1-6A-lcwgs-1-2.clmp.fp2_r1_screen	208736.0	80479.0	37863.0	20988.0	13350.0	3798.0	3536.0	898.0	44.0	1.0	0.0	992381.0	27373651.0
Goy-APnd_041-Ex1-6A-lcwgs-1-2.clmp.fp2_r2_screen	209859.0	80436.0	37286.0	20259.0	13002.0	3775.0	3527.0	853.0	37.0	0.0	0.0	987293.0	27379398.0
Goy-APnd_043-Ex1-6C-lcwgs-1-2.clmp.fp2_r1_screen	109822.0	29328.0	19420.0	10715.0	8105.0	2085.0	1950.0	515.0	20.0	0.0	0.0	506974.0	17112955.0
Goy-APnd_043-Ex1-6C-lcwgs-1-2.clmp.fp2_r2_screen	110736.0	29354.0	19334.0	10717.0	7910.0	2099.0	1938.0	451.0	18.0	0.0	0.0	504596.0	17114736.0
Goy-APnd_044-Ex1-6D-lcwgs-1-2.clmp.fp2_r1_screen	86788.0	13772.0	15792.0	8699.0	6948.0	1645.0	1528.0	368.0	12.0	0.0	0.0	304435.0	15217890.0
Goy-APnd_044-Ex1-6D-lcwgs-1-2.clmp.fp2_r2_screen	87483.0	13879.0	15622.0	8606.0	6795.0	1586.0	1454.0	347.0	18.0	0.0	0.0	302631.0	15219456.0
Goy-APnd_045-Ex1-6E-lcwgs-1-2.clmp.fp2_r1_screen	162771.0	26995.0	28506.0	15981.0	11196.0	3127.0	2737.0	578.0	25.0	0.0	0.0	563135.0	25476916.0
Goy-APnd_045-Ex1-6E-lcwgs-1-2.clmp.fp2_r2_screen	163430.0	26965.0	28046.0	16123.0	11084.0	3028.0	2718.0	560.0	28.0	0.0	0.0	565699.0	25474286.0
Goy-APnd_046-Ex1-6F-lcwgs-1-2.clmp.fp2_r1_screen	66320.0	21835.0	11825.0	6390.0	4869.0	1212.0	1134.0	300.0	5.0	0.0	0.0	278004.0	10709893.0
Goy-APnd_046-Ex1-6F-lcwgs-1-2.clmp.fp2_r2_screen	66577.0	21756.0	11734.0	6375.0	4678.0	1204.0	1137.0	308.0	13.0	0.0	0.0	278112.0	10709893.0
Goy-APnd_048-Ex1-6H-lcwgs-1-2.clmp.fp2_r1_screen	277693.0	45649.0	46590.0	28851.0	20362.0	5427.0	4807.0	1162.0	51.0	0.0	0.0	942762.0	42503757.0
Goy-APnd_048-Ex1-6H-lcwgs-1-2.clmp.fp2_r2_screen	280000.0	45494.0	46218.0	28671.0	20319.0	5278.0	4776.0	1152.0	46.0	0.0	0.0	941400.0	42503757.0
Goy-APnd_049-Ex1-7A-lcwgs-1-2.clmp.fp2_r1_screen	429669.0	407475.0	119978.0	35607.0	21967.0	8095.0	7596.0	2092.0	228.0	2.0	0.0	3281391.0	39395116.0
Goy-APnd_049-Ex1-7A-lcwgs-1-2.clmp.fp2_r2_screen	430979.0	405650.0	119072.0	35146.0	21429.0	7928.0	7405.0	2095.0	109.0	0.0	0.0	3262433.0	39416970.0
Goy-APnd_050-Ex1-7B-lcwgs-1-2.clmp.fp2_r1_screen	15088.0	2584.0	2685.0	1559.0	1067.0	316.0	276.0	65.0	4.0	0.0	0.0	48360.0	2843116.0
Goy-APnd_050-Ex1-7B-lcwgs-1-2.clmp.fp2_r2_screen	15005.0	2599.0	2748.0	1555.0	1162.0	304.0	264.0	58.0	4.0	0.0	0.0	48305.0	2843116.0
Goy-APnd_051-Ex1-7C-lcwgs-1-2.clmp.fp2_r1_screen	57759.0	11393.0	9603.0	5721.0	3986.0	1071.0	914.0	213.0	16.0	0.0	0.0	222416.0	9060911.0
Goy-APnd_051-Ex1-7C-lcwgs-1-2.clmp.fp2_r2_screen	58325.0	11407.0	9512.0	5613.0	3920.0	1078.0	922.0	214.0	10.0	0.0	0.0	221154.0	9061848.0
Goy-APnd_052-Ex1-7D-lcwgs-1-2.clmp.fp2_r1_screen	89947.0	13508.0	14608.0	8894.0	5972.0	1650.0	1469.0	318.0	30.0	0.0	0.0	289569.0	13586031.0
Goy-APnd_052-Ex1-7D-lcwgs-1-2.clmp.fp2_r2_screen	89503.0	13507.0	14564.0	8816.0	5972.0	1592.0	1470.0	304.0	10.0	0.0	0.0	291628.0	13584630.0
Goy-APnd_053-Ex1-7E-lcwgs-1-2.clmp.fp2_r1_screen	14423.0	5371.0	3944.0	1284.0	901.0	244.0	263.0	75.0	4.0	0.0	0.0	73228.0	2022318.0
Goy-APnd_053-Ex1-7E-lcwgs-1-2.clmp.fp2_r2_screen	14463.0	5382.0	3908.0	1236.0	842.0	236.0	249.0	58.0	3.0	0.0	0.0	72511.0	2023167.0
Goy-APnd_054-Ex1-7F-lcwgs-1-2.clmp.fp2_r1_screen	9903.0	3381.0	1771.0	881.0	681.0	177.0	168.0	40.0	6.0	0.0	0.0	43576.0	1477074.0
Goy-APnd_054-Ex1-7F-lcwgs-1-2.clmp.fp2_r2_screen	9830.0	3353.0	1785.0	918.0	645.0	152.0	161.0	39.0	2.0	0.0	0.0	43238.0	1477535.0
Goy-APnd_055-Ex1-7G-lcwgs-1-2.clmp.fp2_r1_screen	104378.0	17393.0	17769.0	9670.0	8105.0	1973.0	1583.0	444.0	36.0	0.0	0.0	399986.0	18338889.0
Goy-APnd_055-Ex1-7G-lcwgs-1-2.clmp.fp2_r2_screen	104677.0	17266.0	17879.0	9588.0	7997.0	1939.0	1485.0	432.0	14.0	0.0	0.0	398170.0	18340779.0
