Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sde-ABol_013-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	7714.0	3539.0	718.0	496.0	300.0	193.0	87.0	26.0	2.0	0.0	89138.0	681027.0
Sde-ABol_013-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	7753.0	3547.0	668.0	488.0	276.0	198.0	77.0	34.0	3.0	0.0	88699.0	681497.0
Sde-ABol_014-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	56.0	233.0	6.0	7.0	1.0	2.0	1.0	1.0	0.0	0.0	816.0	2880.0
Sde-ABol_014-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	46.0	234.0	3.0	4.0	2.0	2.0	3.0	0.0	0.0	0.0	819.0	2890.0
Sde-ABol_015-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	2965.0	4031.0	262.0	188.0	156.0	85.0	22.0	13.0	0.0	0.0	77242.0	155454.0
Sde-ABol_015-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	3045.0	4005.0	254.0	163.0	147.0	78.0	31.0	14.0	0.0	0.0	76843.0	155838.0
Sde-ABol_016-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	4394.0	5128.0	470.0	311.0	237.0	150.0	57.0	26.0	0.0	0.0	79064.0	261775.0
Sde-ABol_016-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	4556.0	5121.0	438.0	279.0	247.0	127.0	39.0	16.0	1.0	0.0	81334.0	259454.0
Sde-ABol_017-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	3948.0	3617.0	489.0	205.0	237.0	113.0	29.0	14.0	1.0	0.0	65483.0	251162.0
Sde-ABol_017-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	4207.0	3692.0	428.0	221.0	228.0	104.0	36.0	10.0	1.0	0.0	67031.0	249340.0
Sde-ABol_018-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	613.0	1475.0	103.0	51.0	36.0	16.0	4.0	2.0	0.0	0.0	17808.0	32106.0
Sde-ABol_018-Ex1-6B-lcwgs-1-1.clmp.fp2_r2_screen	622.0	1392.0	115.0	43.0	33.0	16.0	4.0	1.0	0.0	0.0	17658.0	32330.0
Sde-ABol_019-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	294.0	120.0	36.0	23.0	21.0	11.0	2.0	0.0	0.0	0.0	2753.0	25081.0
Sde-ABol_019-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	312.0	130.0	29.0	21.0	17.0	8.0	4.0	1.0	0.0	0.0	2724.0	25095.0
Sde-ABol_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	22006.0	6295.0	2283.0	1362.0	1030.0	527.0	190.0	95.0	6.0	0.0	247253.0	1621772.0
Sde-ABol_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	22253.0	6278.0	2249.0	1287.0	968.0	526.0	185.0	88.0	2.0	0.0	245308.0	1623675.0
Sde-ABol_021-Ex1-9B-lcwgs-1-1.clmp.fp2_r1_screen	16.0	11.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	450.0	1309.0
Sde-ABol_021-Ex1-9B-lcwgs-1-1.clmp.fp2_r2_screen	17.0	11.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	441.0	1316.0
Sde-ABol_022-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	347.0	188.0	45.0	25.0	13.0	7.0	1.0	1.0	0.0	0.0	5758.0	21753.0
Sde-ABol_022-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	378.0	192.0	49.0	20.0	12.0	9.0	1.0	1.0	0.0	0.0	5686.0	21790.0
