Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Cch-CAL_001-5H-lcwgs-1-2.clmp.fp2_r1_screen	173220.0	25567.0	13680.0	9994.0	3777.0	2416.0	2240.0	1085.0	26.0	0.0	928842.0	10175548.0
Cch-CAL_001-5H-lcwgs-1-2.clmp.fp2_r2_screen	174140.0	25432.0	13258.0	9753.0	3663.0	2337.0	2132.0	1013.0	22.0	0.0	932498.0	10172147.0
Cch-CAL_003-3G-lcwgs-1-2.clmp.fp2_r1_screen	2292.0	365.0	169.0	114.0	52.0	45.0	35.0	13.0	1.0	0.0	12368.0	142393.0
Cch-CAL_003-3G-lcwgs-1-2.clmp.fp2_r2_screen	2294.0	339.0	140.0	135.0	46.0	31.0	57.0	12.0	1.0	0.0	12367.0	142425.0
Cch-CAL_004-7E-lcwgs-1-2.clmp.fp2_r1_screen	315516.0	47254.0	23918.0	17237.0	6830.0	6904.0	5008.0	1638.0	47.0	0.0	1722856.0	18282926.0
Cch-CAL_004-7E-lcwgs-1-2.clmp.fp2_r2_screen	317253.0	46426.0	23262.0	16911.0	6891.0	6835.0	5055.0	1649.0	46.0	0.0	1720837.0	18284969.0
Cch-CAL_005-10E-lcwgs-1-2.clmp.fp2_r1_screen	141462.0	21647.0	11267.0	7931.0	3209.0	2161.0	2566.0	753.0	16.0	0.0	780621.0	8582276.0
Cch-CAL_005-10E-lcwgs-1-2.clmp.fp2_r2_screen	143113.0	21661.0	11147.0	8044.0	3153.0	2094.0	2588.0	823.0	18.0	0.0	786635.0	8574633.0
Cch-CAL_006-10A-lcwgs-1-2.clmp.fp2_r1_screen	152628.0	22804.0	11825.0	8724.0	3332.0	2381.0	1893.0	815.0	16.0	0.0	811915.0	9157170.0
Cch-CAL_006-10A-lcwgs-1-2.clmp.fp2_r2_screen	154933.0	22550.0	11511.0	8485.0	3246.0	2254.0	1827.0	822.0	23.0	0.0	820856.0	9146996.0
Cch-CAL_008-3B-lcwgs-1-2.clmp.fp2_r1_screen	1615.0	233.0	130.0	97.0	36.0	24.0	29.0	8.0	1.0	0.0	8714.0	100884.0
Cch-CAL_008-3B-lcwgs-1-2.clmp.fp2_r2_screen	1662.0	206.0	126.0	85.0	28.0	24.0	27.0	11.0	1.0	0.0	8683.0	100918.0
Cch-CAL_009-3A-lcwgs-1-2.clmp.fp2_r1_screen	818181.0	124232.0	61902.0	45551.0	18044.0	13476.0	11266.0	4699.0	118.0	0.0	4446583.0	48916180.0
Cch-CAL_009-3A-lcwgs-1-2.clmp.fp2_r2_screen	825074.0	122756.0	61956.0	45538.0	17941.0	13315.0	11030.0	4553.0	113.0	0.0	4479898.0	48878058.0
Cch-CAL_011-4D-lcwgs-1-2.clmp.fp2_r1_screen	28133.0	4156.0	2216.0	1581.0	584.0	493.0	634.0	166.0	2.0	0.0	154090.0	1658183.0
Cch-CAL_011-4D-lcwgs-1-2.clmp.fp2_r2_screen	28225.0	4187.0	2156.0	1620.0	569.0	539.0	610.0	158.0	8.0	0.0	154723.0	1657443.0
Cch-CAL_012-1F-lcwgs-1-2.clmp.fp2_r1_screen	125205.0	18671.0	9711.0	7195.0	2725.0	2349.0	1763.0	683.0	20.0	0.0	680334.0	7382728.0
Cch-CAL_012-1F-lcwgs-1-2.clmp.fp2_r2_screen	126270.0	18575.0	9507.0	6992.0	2733.0	2334.0	1623.0	716.0	18.0	0.0	684004.0	7378612.0
Cch-CAL_013-5C-lcwgs-1-2.clmp.fp2_r1_screen	261102.0	39589.0	20349.0	15276.0	5621.0	3819.0	3309.0	1656.0	30.0	0.0	1417112.0	15666679.0
Cch-CAL_013-5C-lcwgs-1-2.clmp.fp2_r2_screen	262973.0	39168.0	19972.0	15102.0	5596.0	3720.0	3183.0	1779.0	31.0	0.0	1426800.0	15656218.0
Cch-CAL_014-12A-lcwgs-1-2.clmp.fp2_r1_screen	152528.0	23175.0	11659.0	8592.0	3256.0	3489.0	2266.0	918.0	12.0	0.0	816868.0	8974919.0
Cch-CAL_014-12A-lcwgs-1-2.clmp.fp2_r2_screen	153728.0	22721.0	11501.0	8449.0	3242.0	3587.0	2213.0	934.0	24.0	0.0	821363.0	8969920.0
Cch-CAL_015-2D-lcwgs-1-2.clmp.fp2_r1_screen	95436.0	14551.0	7462.0	5426.0	2112.0	1642.0	2027.0	484.0	19.0	0.0	508365.0	5802112.0
Cch-CAL_015-2D-lcwgs-1-2.clmp.fp2_r2_screen	96063.0	14334.0	7395.0	5310.0	2023.0	1503.0	1997.0	502.0	4.0	0.0	508393.0	5802112.0
Cch-CAL_016-12C-lcwgs-1-2.clmp.fp2_r1_screen	202957.0	30770.0	15848.0	12195.0	4391.0	2929.0	2879.0	1458.0	32.0	0.0	1123641.0	12233142.0
Cch-CAL_016-12C-lcwgs-1-2.clmp.fp2_r2_screen	205294.0	30610.0	15776.0	12042.0	4529.0	2886.0	2946.0	1444.0	25.0	0.0	1132452.0	12222238.0
Cch-CAL_017-4B-lcwgs-1-2.clmp.fp2_r1_screen	264650.0	39425.0	20244.0	15040.0	5835.0	3799.0	2905.0	1545.0	40.0	0.0	1437110.0	15920510.0
Cch-CAL_017-4B-lcwgs-1-2.clmp.fp2_r2_screen	267922.0	39155.0	20035.0	14957.0	5898.0	3766.0	2805.0	1401.0	40.0	0.0	1445241.0	15909883.0
Cch-CAL_018-11G-lcwgs-1-2.clmp.fp2_r1_screen	75701.0	11596.0	5786.0	4449.0	1611.0	1434.0	1143.0	549.0	10.0	0.0	422153.0	4627150.0
Cch-CAL_018-11G-lcwgs-1-2.clmp.fp2_r2_screen	76687.0	11423.0	5864.0	4555.0	1643.0	1385.0	1145.0	565.0	11.0	0.0	424760.0	4623544.0
Cch-CAL_019-2A-lcwgs-1-2.clmp.fp2_r1_screen	2374328.0	360591.0	183438.0	135165.0	53583.0	37411.0	23901.0	12835.0	317.0	0.0	13448366.0	142966362.0
Cch-CAL_019-2A-lcwgs-1-2.clmp.fp2_r2_screen	2402484.0	355641.0	180931.0	132874.0	53610.0	36558.0	23200.0	12619.0	345.0	0.0	13527430.0	142870605.0
Cch-CAL_021-1E-lcwgs-1-2.clmp.fp2_r1_screen	127403.0	19446.0	9836.0	7263.0	2726.0	3194.0	1475.0	760.0	23.0	0.0	670130.0	7682597.0
Cch-CAL_021-1E-lcwgs-1-2.clmp.fp2_r2_screen	128459.0	19112.0	9657.0	6961.0	2636.0	3185.0	1514.0	741.0	13.0	0.0	674240.0	7678335.0
Cch-CAL_022-2H-lcwgs-1-2.clmp.fp2_r1_screen	170722.0	25670.0	13318.0	9901.0	3673.0	3227.0	2408.0	1101.0	20.0	0.0	930578.0	10240335.0
Cch-CAL_022-2H-lcwgs-1-2.clmp.fp2_r2_screen	171941.0	25398.0	13197.0	9685.0	3643.0	3168.0	2303.0	1078.0	25.0	0.0	933600.0	10236915.0
Cch-CAL_023-9B-lcwgs-1-2.clmp.fp2_r1_screen	180557.0	27546.0	14100.0	10217.0	3875.0	2804.0	3085.0	902.0	32.0	0.0	972742.0	11003831.0
Cch-CAL_023-9B-lcwgs-1-2.clmp.fp2_r2_screen	182723.0	27185.0	13821.0	10231.0	3846.0	2732.0	2992.0	878.0	21.0	0.0	976319.0	10998943.0
Cch-CAL_024-8A-lcwgs-1-2.clmp.fp2_r1_screen	153339.0	23763.0	12175.0	9064.0	3374.0	2218.0	2555.0	867.0	28.0	0.0	823333.0	9486792.0
Cch-CAL_024-8A-lcwgs-1-2.clmp.fp2_r2_screen	155362.0	23148.0	11843.0	8811.0	3288.0	2201.0	2575.0	842.0	13.0	0.0	826840.0	9482585.0
Cch-CAL_025-9F-lcwgs-1-2.clmp.fp2_r1_screen	146339.0	22099.0	11100.0	8310.0	3228.0	2542.0	1836.0	801.0	31.0	0.0	773700.0	8897622.0
Cch-CAL_025-9F-lcwgs-1-2.clmp.fp2_r2_screen	147279.0	22001.0	10893.0	8161.0	3087.0	2507.0	1786.0	755.0	27.0	0.0	778424.0	8892688.0
Cch-CAL_026-2C-lcwgs-1-2.clmp.fp2_r1_screen	20777.0	3069.0	1524.0	1175.0	433.0	390.0	259.0	121.0	5.0	0.0	108731.0	1246326.0
Cch-CAL_026-2C-lcwgs-1-2.clmp.fp2_r2_screen	20674.0	3025.0	1553.0	1230.0	407.0	436.0	257.0	114.0	1.0	0.0	109893.0	1245220.0
Cch-CAL_027-2E-lcwgs-1-2.clmp.fp2_r1_screen	100674.0	15178.0	8017.0	5844.0	2142.0	1717.0	2076.0	550.0	15.0	0.0	541618.0	6107261.0
Cch-CAL_027-2E-lcwgs-1-2.clmp.fp2_r2_screen	101569.0	14939.0	7778.0	5569.0	2150.0	1696.0	2013.0	570.0	17.0	0.0	541530.0	6107261.0
Cch-CAL_028-1H-lcwgs-1-2.clmp.fp2_r1_screen	268403.0	40022.0	20695.0	15062.0	5968.0	3779.0	3713.0	1602.0	29.0	0.0	1487869.0	15727947.0
Cch-CAL_028-1H-lcwgs-1-2.clmp.fp2_r2_screen	270010.0	40201.0	20525.0	14743.0	5797.0	3797.0	3656.0	1432.0	34.0	0.0	1492220.0	15722674.0
Cch-CAL_029-3B-lcwgs-1-2.clmp.fp2_r1_screen	9155.0	1347.0	691.0	501.0	191.0	113.0	150.0	66.0	1.0	0.0	51277.0	541187.0
Cch-CAL_029-3B-lcwgs-1-2.clmp.fp2_r2_screen	9270.0	1365.0	614.0	495.0	191.0	117.0	130.0	59.0	1.0	0.0	51129.0	541308.0
Cch-CAL_030-9D-lcwgs-1-2.clmp.fp2_r1_screen	45702.0	7042.0	3531.0	2899.0	963.0	750.0	887.0	318.0	13.0	0.0	247455.0	2865413.0
Cch-CAL_030-9D-lcwgs-1-2.clmp.fp2_r2_screen	46435.0	6974.0	3652.0	2896.0	964.0	782.0	870.0	351.0	4.0	0.0	250442.0	2861603.0
Cch-CAL_031-12F-lcwgs-1-2.clmp.fp2_r1_screen	114521.0	17435.0	8926.0	6361.0	2616.0	1681.0	1333.0	572.0	14.0	0.0	598814.0	6885010.0
Cch-CAL_031-12F-lcwgs-1-2.clmp.fp2_r2_screen	115532.0	17171.0	8867.0	6297.0	2589.0	1568.0	1259.0	546.0	14.0	0.0	605303.0	6878137.0
Cch-CAL_034-11A-lcwgs-1-2.clmp.fp2_r1_screen	235420.0	35247.0	17842.0	13040.0	5084.0	4526.0	3706.0	1155.0	31.0	0.0	1264920.0	14150080.0
Cch-CAL_034-11A-lcwgs-1-2.clmp.fp2_r2_screen	238851.0	35466.0	17948.0	12875.0	5190.0	4535.0	3731.0	1165.0	34.0	0.0	1281626.0	14129630.0
Cch-CAL_036-3D-lcwgs-1-2.clmp.fp2_r1_screen	139550.0	20720.0	10782.0	7856.0	2981.0	2281.0	1521.0	746.0	19.0	0.0	750195.0	8174734.0
Cch-CAL_036-3D-lcwgs-1-2.clmp.fp2_r2_screen	140052.0	20405.0	10364.0	7647.0	3038.0	2156.0	1441.0	724.0	20.0	0.0	752626.0	8172912.0
Cch-CAL_038-11A-lcwgs-1-2.clmp.fp2_r1_screen	144943.0	21875.0	11180.0	8109.0	3111.0	2865.0	1662.0	790.0	29.0	0.0	772672.0	8590423.0
Cch-CAL_038-11A-lcwgs-1-2.clmp.fp2_r2_screen	146546.0	21540.0	10942.0	8084.0	3016.0	2806.0	1652.0	727.0	19.0	0.0	780505.0	8581822.0
Cch-CAL_039-12A-lcwgs-1-2.clmp.fp2_r1_screen	273201.0	41458.0	21135.0	15984.0	5903.0	4793.0	3976.0	1788.0	46.0	0.0	1485760.0	16466546.0
Cch-CAL_039-12A-lcwgs-1-2.clmp.fp2_r2_screen	276055.0	40598.0	21130.0	16078.0	5875.0	4618.0	3891.0	1781.0	38.0	0.0	1496805.0	16453721.0
Cch-CAL_040-6D-lcwgs-1-2.clmp.fp2_r1_screen	289775.0	44028.0	22832.0	16524.0	6349.0	5552.0	5087.0	1708.0	39.0	0.0	1567118.0	17456362.0
Cch-CAL_040-6D-lcwgs-1-2.clmp.fp2_r2_screen	294758.0	43570.0	22787.0	16338.0	6312.0	5650.0	4967.0	1564.0	45.0	0.0	1590202.0	17429181.0
Cch-CAL_041-12H-lcwgs-1-2.clmp.fp2_r1_screen	205985.0	31106.0	16017.0	11701.0	4657.0	3492.0	2816.0	1329.0	25.0	0.0	1116397.0	12335777.0
Cch-CAL_041-12H-lcwgs-1-2.clmp.fp2_r2_screen	206550.0	30949.0	15480.0	11698.0	4432.0	3441.0	2881.0	1243.0	31.0	0.0	1118193.0	12334404.0
Cch-CAL_042-9C-lcwgs-1-2.clmp.fp2_r1_screen	114856.0	17753.0	9199.0	6598.0	2528.0	1932.0	1940.0	667.0	20.0	0.0	619880.0	7104427.0
Cch-CAL_042-9C-lcwgs-1-2.clmp.fp2_r2_screen	116430.0	17508.0	9003.0	6639.0	2499.0	1844.0	1907.0	648.0	23.0	0.0	623600.0	7099699.0
Cch-CAL_043-2F-lcwgs-1-2.clmp.fp2_r1_screen	122250.0	18444.0	9302.0	6782.0	2678.0	2114.0	1419.0	650.0	16.0	0.0	652905.0	7507189.0
Cch-CAL_043-2F-lcwgs-1-2.clmp.fp2_r2_screen	122925.0	18501.0	9291.0	6693.0	2651.0	2124.0	1337.0	659.0	17.0	0.0	657357.0	7502194.0
Cch-CAL_044-1E-lcwgs-1-2.clmp.fp2_r1_screen	49258.0	7451.0	3830.0	2807.0	1070.0	742.0	781.0	277.0	6.0	0.0	264956.0	3024213.0
Cch-CAL_044-1E-lcwgs-1-2.clmp.fp2_r2_screen	50157.0	7473.0	3940.0	2794.0	1022.0	655.0	780.0	286.0	5.0	0.0	267757.0	3020522.0
Cch-CAL_045-11D-lcwgs-1-2.clmp.fp2_r1_screen	251934.0	37747.0	19465.0	14465.0	5643.0	3584.0	2701.0	1438.0	45.0	0.0	1354071.0	15287751.0
Cch-CAL_045-11D-lcwgs-1-2.clmp.fp2_r2_screen	254502.0	37405.0	19097.0	14434.0	5371.0	3587.0	2722.0	1507.0	37.0	0.0	1362619.0	15277563.0
Cch-CAL_046-8C-lcwgs-1-2.clmp.fp2_r1_screen	47356.0	7271.0	3744.0	2583.0	971.0	880.0	1008.0	301.0	13.0	0.0	258001.0	2905603.0
Cch-CAL_046-8C-lcwgs-1-2.clmp.fp2_r2_screen	48093.0	7182.0	3695.0	2619.0	992.0	868.0	972.0	281.0	4.0	0.0	258713.0	2904312.0
Cch-CAL_049-4F-lcwgs-1-2.clmp.fp2_r1_screen	51225.0	7743.0	3918.0	2889.0	1166.0	840.0	860.0	318.0	7.0	0.0	277573.0	3087940.0
Cch-CAL_049-4F-lcwgs-1-2.clmp.fp2_r2_screen	52310.0	7674.0	3892.0	2879.0	1124.0	845.0	828.0	292.0	8.0	0.0	279435.0	3085192.0
Cch-CAL_050-11B-lcwgs-1-2.clmp.fp2_r1_screen	34394.0	5354.0	2663.0	1911.0	756.0	790.0	447.0	218.0	4.0	0.0	183860.0	2149730.0
Cch-CAL_050-11B-lcwgs-1-2.clmp.fp2_r2_screen	34908.0	5249.0	2521.0	1922.0	716.0	808.0	466.0	188.0	1.0	0.0	185998.0	2147350.0
Cch-CAS_001-10B-lcwgs-1-2.clmp.fp2_r1_screen	20773.0	3177.0	1499.0	1175.0	502.0	351.0	300.0	109.0	3.0	0.0	109594.0	1308176.0
Cch-CAS_001-10B-lcwgs-1-2.clmp.fp2_r2_screen	21121.0	3148.0	1576.0	1132.0	436.0	329.0	279.0	123.0	2.0	0.0	110638.0	1306875.0
Cch-CAS_002-7D-lcwgs-1-2.clmp.fp2_r1_screen	176920.0	26691.0	13673.0	10142.0	3891.0	3019.0	2166.0	990.0	29.0	0.0	954195.0	10737365.0
Cch-CAS_002-7D-lcwgs-1-2.clmp.fp2_r2_screen	177728.0	26272.0	13507.0	10096.0	3892.0	3010.0	2074.0	954.0	31.0	0.0	952959.0	10738558.0
Cch-CAS_004-12H-lcwgs-1-2.clmp.fp2_r1_screen	85854.0	12792.0	6696.0	4781.0	1919.0	1607.0	1483.0	495.0	16.0	0.0	452048.0	5126294.0
Cch-CAS_004-12H-lcwgs-1-2.clmp.fp2_r2_screen	86082.0	12678.0	6600.0	4576.0	1829.0	1501.0	1532.0	438.0	8.0	0.0	458141.0	5120600.0
Cch-CAS_005-8H-lcwgs-1-2.clmp.fp2_r1_screen	87039.0	13071.0	6690.0	5175.0	1836.0	1795.0	1055.0	508.0	14.0	0.0	453608.0	5356419.0
Cch-CAS_005-8H-lcwgs-1-2.clmp.fp2_r2_screen	87122.0	13136.0	6483.0	4966.0	1818.0	1772.0	1029.0	502.0	10.0	0.0	454546.0	5355826.0
Cch-CAS_006-5A-lcwgs-1-2.clmp.fp2_r1_screen	2579549.0	374577.0	191826.0	135467.0	57574.0	39348.0	25470.0	13633.0	351.0	0.0	15482393.0	145879125.0
Cch-CAS_006-5A-lcwgs-1-2.clmp.fp2_r2_screen	2622079.0	374169.0	191229.0	134282.0	57641.0	39415.0	25116.0	13437.0	348.0	0.0	15640207.0	145681390.0
Cch-CAS_007-7G-lcwgs-1-2.clmp.fp2_r1_screen	116735.0	17351.0	8836.0	6565.0	2500.0	2244.0	1561.0	767.0	14.0	0.0	636605.0	6782543.0
Cch-CAS_007-7G-lcwgs-1-2.clmp.fp2_r2_screen	117444.0	17506.0	8883.0	6337.0	2505.0	2276.0	1603.0	681.0	11.0	0.0	638963.0	6779512.0
Cch-CAS_008-6E-lcwgs-1-2.clmp.fp2_r1_screen	1093409.0	165559.0	82693.0	61166.0	23712.0	21384.0	11511.0	5622.0	159.0	0.0	5758994.0	66417058.0
Cch-CAS_008-6E-lcwgs-1-2.clmp.fp2_r2_screen	1105784.0	164145.0	82719.0	60625.0	23692.0	21546.0	11501.0	5652.0	124.0	0.0	5844154.0	66321325.0
Cch-CAS_009-5C-lcwgs-1-2.clmp.fp2_r1_screen	41701.0	6330.0	3297.0	2494.0	966.0	714.0	659.0	213.0	6.0	0.0	225566.0	2580442.0
Cch-CAS_009-5C-lcwgs-1-2.clmp.fp2_r2_screen	42546.0	6301.0	3255.0	2324.0	913.0	705.0	617.0	232.0	1.0	0.0	226769.0	2578725.0
Cch-CAS_010-7B-lcwgs-1-2.clmp.fp2_r1_screen	106395.0	16125.0	8380.0	6101.0	2300.0	1950.0	1824.0	671.0	17.0	0.0	576687.0	6448204.0
Cch-CAS_010-7B-lcwgs-1-2.clmp.fp2_r2_screen	107280.0	15909.0	8314.0	5999.0	2305.0	1809.0	1773.0	608.0	11.0	0.0	577159.0	6447487.0
Cch-CAS_011-8D-lcwgs-1-2.clmp.fp2_r1_screen	73014.0	11021.0	5686.0	4116.0	1673.0	1213.0	1251.0	422.0	15.0	0.0	390007.0	4515858.0
Cch-CAS_011-8D-lcwgs-1-2.clmp.fp2_r2_screen	73517.0	10833.0	5599.0	4034.0	1659.0	1233.0	1265.0	400.0	10.0	0.0	391870.0	4513856.0
Cch-CAS_012-10H-lcwgs-1-2.clmp.fp2_r1_screen	77205.0	11707.0	6001.0	4452.0	1661.0	1271.0	1101.0	495.0	7.0	0.0	408901.0	4741306.0
