# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	228	38
+	219	50
+	96	446
+	111	592
+	90	313
+	145	426
+	171	211
+	121	570
+	49	119
+	133	447
+	119	536
+	106	543
+	146	388
+	75	213
+	200	83
+	135	445
+	116	539
+	95	435
+	89	288
+	115	548
+	195	103
+	127	506
+	202	72
+	131	478
+	199	87
+	210	67
+	186	117
+	74	210
+	51	113
+	144	407
+	181	145
+	163	235
+	173	168
+	156	298
+	100	518
+	98	492
+	177	166
+	157	313
+	140	409
+	155	283
+	138	470
+	84	235
+	104	564
+	110	576
+	132	499
+	174	199
+	103	535
+	212	42
+	128	512
+	109	602
+	149	316
+	130	469
+	203	81
+	107	567
+	169	218
+	58	138
+	105	570
+	125	541
+	69	193
+	184	137
+	141	396
+	118	510
+	129	469
+	178	174
+	88	283
+	126	506
+	83	247
+	64	178
+	161	290
+	48	89
+	170	201
+	139	421
+	147	353
+	158	291
+	165	245
+	192	112
+	91	342
+	71	192
+	188	137
+	101	540
+	54	126
+	151	307
+	112	588
+	166	229
+	176	178
+	172	198
+	102	535
+	85	266
+	136	465
+	94	401
+	225	36
+	86	268
+	93	379
+	87	262
+	124	535
+	92	297
+	241	21
+	47	101
+	198	87
+	134	466
+	97	465
+	215	59
+	113	564
+	55	119
+	50	121
+	99	449
+	148	383
+	224	38
+	122	528
+	205	67
+	160	273
+	204	76
+	208	48
+	180	141
+	34	18
+	117	527
+	108	529
+	193	107
+	137	441
+	175	192
+	220	45
+	159	280
+	143	396
+	152	342
+	72	199
+	81	238
+	185	127
+	56	142
+	187	154
+	77	216
+	60	152
+	59	153
+	78	230
+	61	171
+	211	70
+	167	211
+	114	590
+	52	121
+	82	221
+	73	217
+	168	203
+	154	320
+	67	199
+	39	37
+	142	416
+	189	139
+	123	519
+	120	518
+	231	24
+	153	323
+	79	216
+	80	213
+	162	273
+	45	81
+	235	16
+	201	76
+	183	121
+	197	87
+	277	1
+	53	129
+	62	166
+	65	140
+	206	80
+	150	329
+	76	204
+	194	103
+	249	13
+	237	22
+	244	19
+	46	88
+	43	72
+	227	29
+	164	254
+	68	187
+	221	48
+	190	110
+	209	54
+	182	148
+	222	44
+	57	152
+	218	39
+	66	196
+	40	50
+	63	132
+	230	22
+	214	60
+	70	185
+	44	49
+	191	89
+	213	59
+	253	11
+	246	15
+	196	82
+	27	4
+	248	12
+	223	37
+	217	38
+	243	11
+	239	16
+	207	67
+	264	11
+	274	5
+	238	23
+	179	164
+	42	48
+	286	3
+	36	27
+	32	16
+	251	18
+	252	10
+	247	15
+	263	11
+	232	33
+	275	6
+	282	10
+	276	6
+	37	27
+	226	26
+	41	60
+	236	23
+	216	50
+	261	11
+	255	15
+	242	14
+	38	22
+	233	19
+	229	27
+	269	8
+	35	29
+	254	13
+	259	20
+	266	6
+	29	5
+	250	13
+	268	11
+	33	22
+	234	26
+	278	5
+	265	10
+	288	1
+	31	10
+	273	4
+	284	7
+	270	1
+	245	19
+	267	7
+	262	7
+	240	17
+	260	5
+	256	13
+	279	5
+	257	6
+	271	5
+	281	2
+	30	4
+	272	3
+	28	5
+	258	8
+	289	1
+	280	3
+	287	1
+	26	1
-	198	100
-	117	589
-	118	549
-	100	482
-	141	410
-	123	504
-	204	62
-	130	526
-	116	603
-	176	163
-	95	420
-	244	18
-	58	160
-	83	258
-	67	209
-	155	307
-	89	322
-	133	463
-	127	510
-	114	557
-	143	381
-	87	285
-	69	182
-	137	461
-	168	236
-	157	299
-	65	192
-	72	199
-	160	264
-	140	415
-	128	518
-	131	489
-	132	456
-	74	199
-	110	560
-	109	586
-	124	545
-	111	540
-	38	41
-	126	525
-	146	366
-	147	374
-	171	227
-	139	446
-	112	524
-	97	479
-	103	555
-	213	58
-	81	232
-	56	136
-	187	134
-	102	499
-	166	213
-	159	292
-	163	236
-	151	361
-	135	493
-	68	205
-	211	62
-	191	110
-	237	31
-	149	370
-	122	542
-	148	333
-	47	90
-	43	62
-	138	442
-	99	480
-	66	209
-	91	363
-	152	329
-	86	270
-	175	187
-	78	216
-	76	238
-	98	496
-	129	528
-	104	585
-	205	68
-	55	141
-	94	426
-	121	552
-	45	84
-	174	185
-	221	39
-	194	102
-	180	162
-	188	137
-	258	11
-	107	648
-	219	43
-	35	23
-	134	438
-	93	371
-	62	168
-	101	510
-	41	47
-	105	569
-	197	99
-	199	91
-	73	187
-	88	279
-	57	148
-	77	216
-	162	232
-	169	234
-	200	86
-	233	24
-	142	370
-	203	78
-	267	11
-	82	226
-	177	158
-	158	285
-	164	244
-	286	4
-	120	546
-	172	229
-	210	68
-	79	204
-	136	424
-	125	548
-	179	171
-	61	163
-	156	307
-	80	250
-	150	360
-	190	111
-	106	594
-	46	99
-	63	174
-	184	133
-	71	224
-	75	202
-	64	192
-	201	65
-	92	379
-	115	558
-	153	294
-	113	543
-	206	68
-	220	31
-	178	169
-	193	108
-	167	226
-	108	577
-	53	114
-	96	462
-	186	143
-	144	386
-	189	115
-	90	307
-	170	176
-	40	47
-	209	65
-	85	256
-	165	223
-	145	374
-	161	237
-	183	141
-	243	17
-	257	15
-	225	37
-	154	314
-	202	72
-	119	526
-	229	34
-	59	158
-	54	146
-	182	142
-	224	33
-	51	121
-	173	185
-	217	52
-	214	59
-	263	6
-	227	27
-	70	205
-	44	68
-	228	24
-	60	157
-	234	25
-	34	25
-	212	72
-	48	99
-	207	61
-	49	100
-	226	39
-	84	252
-	240	23
-	265	6
-	255	10
-	208	56
-	241	18
-	195	110
-	230	24
-	218	43
-	185	140
-	223	35
-	181	168
-	196	91
-	272	7
-	192	106
-	268	12
-	50	116
-	232	22
-	215	45
-	42	54
-	248	17
-	52	106
-	25	1
-	27	6
-	277	7
-	271	6
-	222	36
-	36	32
-	238	22
-	236	35
-	39	48
-	235	22
-	239	18
-	245	16
-	231	29
-	216	39
-	37	23
-	273	5
-	259	10
-	254	10
-	261	8
-	247	22
-	246	10
-	242	15
-	32	13
-	250	16
-	252	14
-	26	1
-	262	10
-	287	3
-	31	9
-	266	10
-	264	6
-	260	9
-	33	11
-	28	2
-	269	8
-	275	7
-	276	5
-	279	5
-	256	11
-	288	3
-	274	2
-	278	5
-	253	7
-	283	1
-	249	7
-	270	1
-	30	4
-	280	4
-	282	3
-	29	2
-	251	6
-	281	3
-	284	2
-	285	1
