Sequence_Name	Extraction_ID
SnA0500109A	Sne-ABir_001-Ex1-9A-lcwgs-1-1
SnA0500209B	Sne-ABir_002-Ex1-9B-lcwgs-1-1
SnA0500309C	Sne-ABir_003-Ex1-9C-lcwgs-1-1
SnA0500409D	Sne-ABir_004-Ex1-9D-lcwgs-1-1
SnA0500509E	Sne-ABir_005-Ex1-9E-lcwgs-1-1
SnA0500609F	Sne-ABir_006-Ex1-9F-lcwgs-1-1
SnA0500709G	Sne-ABir_007-Ex1-9G-lcwgs-1-1
SnA0500809H	Sne-ABir_008-Ex1-9H-lcwgs-1-1
SnA0500910A	Sne-ABir_009-Ex1-10A-lcwgs-1-1
SnA0501010B	Sne-ABir_010-Ex1-10B-lcwgs-1-1
SnA0501110C	Sne-ABir_011-Ex1-10C-lcwgs-1-1
SnA0501210D	Sne-ABir_012-Ex1-10D-lcwgs-1-1
SnA0501310E	Sne-ABir_013-Ex1-10E-lcwgs-1-1
SnA0501410F	Sne-ABir_014-Ex1-10F-lcwgs-1-1
SnA0501510G	Sne-ABir_015-Ex1-10G-lcwgs-1-1
SnA0501610H	Sne-ABir_016-Ex1-10H-lcwgs-1-1
SnA0501711A	Sne-ABir_017-Ex1-11A-lcwgs-1-1
SnA0501811B	Sne-ABir_018-Ex1-11B-lcwgs-1-1
SnA0501911C	Sne-ABir_019-Ex1-11C-lcwgs-1-1
SnA0502011D	Sne-ABir_020-Ex1-11D-lcwgs-1-1
SnA0502111E	Sne-ABir_021-Ex1-11E-lcwgs-1-1
SnA0502211F	Sne-ABir_022-Ex1-11F-lcwgs-1-1
SnA0502311G	Sne-ABir_023-Ex1-11G-lcwgs-1-1
SnA0502411H	Sne-ABir_024-Ex1-11H-lcwgs-1-1
SnA0502512A	Sne-ABir_025-Ex1-12A-lcwgs-1-1
SnA0502612B	Sne-ABir_026-Ex1-12B-lcwgs-1-1
SnA0502712C	Sne-ABir_027-Ex1-12C-lcwgs-1-1
SnA0502812D	Sne-ABir_028-Ex1-12D-lcwgs-1-1
SnC0301601A	Sne-CCab_016-Ex1-1A-lcwgs-1-1
