Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Cvi-APal_001-Ex1-1A-lcwgs-1-T.1	Cvi-APal_001-Ex1-1A-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	380645.0	0.0	150.0	54.0	87.07433782515733	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_001-Ex1-1A-lcwgs-1-T.2	Cvi-APal_001-Ex1-1A-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	380645.0	0.0	150.0	54.0	88.35289247093974	150.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_002-Ex1-1B-lcwgs-1-T.1	Cvi-APal_002-Ex1-1B-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1530751.0	0.0	150.0	48.0	85.48681692055096	150.0	pass	warn	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_002-Ex1-1B-lcwgs-1-T.2	Cvi-APal_002-Ex1-1B-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1530751.0	0.0	150.0	48.0	86.70689708999345	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_003-Ex1-1C-lcwgs-1-T.1	Cvi-APal_003-Ex1-1C-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1814474.0	0.0	150.0	45.0	82.76193374801176	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_003-Ex1-1C-lcwgs-1-T.2	Cvi-APal_003-Ex1-1C-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1814474.0	0.0	150.0	45.0	83.82313369862227	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_004-Ex1-1D-lcwgs-1-T.1	Cvi-APal_004-Ex1-1D-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3963706.0	0.0	150.0	42.0	87.72600293471758	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_004-Ex1-1D-lcwgs-1-T.2	Cvi-APal_004-Ex1-1D-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3963706.0	0.0	150.0	42.0	88.42434177170657	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_005-Ex1-1E-lcwgs-1-T.1	Cvi-APal_005-Ex1-1E-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2971178.0	0.0	150.0	43.0	84.46044280119483	150.0	pass	fail	warn	pass	warn	pass	pass	pass	pass	fail	fail
Cvi-APal_005-Ex1-1E-lcwgs-1-T.2	Cvi-APal_005-Ex1-1E-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2971178.0	0.0	150.0	43.0	85.0746226019091	150.0	pass	warn	fail	pass	fail	pass	pass	pass	pass	fail	fail
Cvi-APal_006-Ex1-1F-lcwgs-1-T.1	Cvi-APal_006-Ex1-1F-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	924447.0	0.0	150.0	48.0	87.95224522593014	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_006-Ex1-1F-lcwgs-1-T.2	Cvi-APal_006-Ex1-1F-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	924447.0	0.0	150.0	48.0	88.72710151314382	150.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_007-Ex1-1G-lcwgs-1-T.1	Cvi-APal_007-Ex1-1G-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	761191.0	0.0	150.0	49.0	89.33918320921481	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_007-Ex1-1G-lcwgs-1-T.2	Cvi-APal_007-Ex1-1G-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	761191.0	0.0	150.0	49.0	90.0204399456416	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_008-Ex1-1H-lcwgs-1-T.1	Cvi-APal_008-Ex1-1H-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	952967.0	0.0	150.0	51.0	82.51376615751212	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_008-Ex1-1H-lcwgs-1-T.2	Cvi-APal_008-Ex1-1H-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	952967.0	0.0	150.0	51.0	83.60006677241437	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_009-Ex1-2A-lcwgs-1-T.1	Cvi-APal_009-Ex1-2A-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	696885.0	0.0	150.0	53.0	85.60708573139979	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_009-Ex1-2A-lcwgs-1-T.2	Cvi-APal_009-Ex1-2A-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	696885.0	0.0	150.0	53.0	86.96906825405092	150.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_010-Ex1-2B-lcwgs-1-T.1	Cvi-APal_010-Ex1-2B-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1162083.0	0.0	150.0	51.0	85.4703728554062	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_010-Ex1-2B-lcwgs-1-T.2	Cvi-APal_010-Ex1-2B-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1162083.0	0.0	150.0	50.0	86.66488752237375	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_011-Ex1-2C-lcwgs-1-T.1	Cvi-APal_011-Ex1-2C-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	999542.0	0.0	150.0	56.0	82.36833906353928	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_011-Ex1-2C-lcwgs-1-T.2	Cvi-APal_011-Ex1-2C-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	999542.0	0.0	150.0	56.0	84.3281271382159	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_012-Ex1-2D-lcwgs-1-T.1	Cvi-APal_012-Ex1-2D-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1819998.0	0.0	150.0	51.0	83.3057485292978	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_012-Ex1-2D-lcwgs-1-T.2	Cvi-APal_012-Ex1-2D-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1819998.0	0.0	150.0	51.0	84.8321823027879	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_013-Ex1-2E-lcwgs-1-T.1	Cvi-APal_013-Ex1-2E-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2376609.0	0.0	150.0	48.0	85.13671046491969	150.0	pass	warn	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_013-Ex1-2E-lcwgs-1-T.2	Cvi-APal_013-Ex1-2E-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2376609.0	0.0	150.0	48.0	86.19366584085375	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_014-Ex1-2F-lcwgs-1-T.1	Cvi-APal_014-Ex1-2F-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6687403.0	0.0	150.0	43.0	85.06669903303545	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_014-Ex1-2F-lcwgs-1-T.2	Cvi-APal_014-Ex1-2F-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6687403.0	0.0	150.0	43.0	85.84857985175012	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_015-Ex1-2G-lcwgs-1-T.1	Cvi-APal_015-Ex1-2G-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1138471.0	0.0	150.0	49.0	77.11182793821811	150.0	pass	warn	warn	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_015-Ex1-2G-lcwgs-1-T.2	Cvi-APal_015-Ex1-2G-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1138471.0	0.0	150.0	49.0	78.26851045033354	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_016-Ex1-2H-lcwgs-1-T.1	Cvi-APal_016-Ex1-2H-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2484395.0	0.0	150.0	45.0	77.98505058185165	150.0	pass	warn	warn	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_016-Ex1-2H-lcwgs-1-T.2	Cvi-APal_016-Ex1-2H-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2484395.0	0.0	150.0	45.0	78.9985169818627	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_017-Ex2-4D-lcwgs-1-T.1	Cvi-APal_017-Ex2-4D-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1844505.0	0.0	150.0	49.0	85.35147493289466	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_017-Ex2-4D-lcwgs-1-T.2	Cvi-APal_017-Ex2-4D-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1844505.0	0.0	150.0	49.0	86.75414669836825	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_018-Ex1-3A-lcwgs-1-T.1	Cvi-APal_018-Ex1-3A-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1116954.0	0.0	150.0	47.0	81.45789694164782	150.0	pass	warn	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_018-Ex1-3A-lcwgs-1-T.2	Cvi-APal_018-Ex1-3A-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1116954.0	0.0	150.0	47.0	82.63485045804794	150.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_019-Ex1-3B-lcwgs-1-T.1	Cvi-APal_019-Ex1-3B-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2102853.0	0.0	150.0	47.0	84.22436740078015	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_019-Ex1-3B-lcwgs-1-T.2	Cvi-APal_019-Ex1-3B-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2102853.0	0.0	150.0	46.0	85.15889566035052	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_020-Ex1-3C-lcwgs-1-T.1	Cvi-APal_020-Ex1-3C-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1666448.0	0.0	150.0	49.0	81.2632567364124	150.0	pass	warn	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_020-Ex1-3C-lcwgs-1-T.2	Cvi-APal_020-Ex1-3C-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1666448.0	0.0	150.0	49.0	82.65233291581954	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_021-Ex1-3D-lcwgs-1-T.1	Cvi-APal_021-Ex1-3D-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1492893.0	0.0	150.0	52.0	86.45559364829714	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_021-Ex1-3D-lcwgs-1-T.2	Cvi-APal_021-Ex1-3D-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1492893.0	0.0	150.0	52.0	87.7179036724619	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_022-Ex1-3E-lcwgs-1-T.1	Cvi-APal_022-Ex1-3E-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1862953.0	0.0	150.0	49.0	78.87760863971283	150.0	pass	warn	warn	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_022-Ex1-3E-lcwgs-1-T.2	Cvi-APal_022-Ex1-3E-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1862953.0	0.0	150.0	49.0	80.32113183926988	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_023-Ex1-3F-lcwgs-1-T.1	Cvi-APal_023-Ex1-3F-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3378529.0	0.0	150.0	46.0	80.08790078038021	150.0	pass	warn	warn	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_023-Ex1-3F-lcwgs-1-T.2	Cvi-APal_023-Ex1-3F-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3378529.0	0.0	150.0	46.0	81.31608331042017	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_024-Ex1-3G-lcwgs-1-T.1	Cvi-APal_024-Ex1-3G-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3447293.0	0.0	150.0	44.0	84.92881124220555	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_024-Ex1-3G-lcwgs-1-T.2	Cvi-APal_024-Ex1-3G-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3447293.0	0.0	150.0	44.0	85.84740366692316	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_025-Ex1-3H-lcwgs-1-T.1	Cvi-APal_025-Ex1-3H-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	600481.0	0.0	150.0	53.0	87.31781304670352	150.0	pass	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_025-Ex1-3H-lcwgs-1-T.2	Cvi-APal_025-Ex1-3H-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	600481.0	0.0	150.0	53.0	88.45053654605276	150.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_026-Ex1-4A-lcwgs-1-T.1	Cvi-APal_026-Ex1-4A-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1382391.0	0.0	150.0	45.0	84.19787596184187	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_026-Ex1-4A-lcwgs-1-T.2	Cvi-APal_026-Ex1-4A-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1382391.0	0.0	150.0	45.0	85.15268292572034	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_027-Ex1-4B-lcwgs-1-T.1	Cvi-APal_027-Ex1-4B-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2304554.0	0.0	150.0	44.0	88.99635130405325	150.0	pass	warn	warn	pass	pass	fail	pass	pass	pass	fail	fail
Cvi-APal_027-Ex1-4B-lcwgs-1-T.2	Cvi-APal_027-Ex1-4B-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2304554.0	0.0	150.0	44.0	89.71510925349521	150.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_028-Ex1-4C-lcwgs-1-T.1	Cvi-APal_028-Ex1-4C-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3220412.0	0.0	150.0	44.0	85.42169768248793	150.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	fail	fail
Cvi-APal_028-Ex1-4C-lcwgs-1-T.2	Cvi-APal_028-Ex1-4C-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3220412.0	0.0	150.0	44.0	86.32461145125984	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	fail
Cvi-APal_029-Ex1-5H-lcwgs-1-T.1	Cvi-APal_029-Ex1-5H-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1205226.0	0.0	150.0	50.0	86.16664131886947	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_029-Ex1-5H-lcwgs-1-T.2	Cvi-APal_029-Ex1-5H-lcwgs-1-T.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1205226.0	0.0	150.0	50.0	87.57503411647247	150.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	fail	fail
Cvi-APal_030-Ex1-4E-lcwgs-1-T.1	Cvi-APal_030-Ex1-4E-lcwgs-1-T.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1074282.0	0.0	150.0	54.0	85.30795529112135	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	fail	fail
