Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
Sne-ABir_001-Ex1-9A-lcwgs-1-1.clmp.fp2_r1_screen	1044815.0	2702.0	2383.0	189.0	140.0	25.0	36.0	19.0	2.0	23102.0	240273.0
Sne-ABir_001-Ex1-9A-lcwgs-1-1.clmp.fp2_r2_screen	1041185.0	2759.0	2383.0	199.0	127.0	23.0	22.0	18.0	2.0	23017.0	243951.0
Sne-ABir_002-Ex1-9B-lcwgs-1-1.clmp.fp2_r1_screen	24471.0	98.0	30.0	3.0	0.0	0.0	0.0	0.0	0.0	1005.0	4881.0
Sne-ABir_002-Ex1-9B-lcwgs-1-1.clmp.fp2_r2_screen	24467.0	95.0	29.0	3.0	2.0	0.0	0.0	1.0	0.0	965.0	4926.0
Sne-ABir_003-Ex1-9C-lcwgs-1-1.clmp.fp2_r1_screen	127879.0	10130.0	5723.0	496.0	4.0	0.0	5.0	47.0	0.0	53722.0	533181.0
Sne-ABir_003-Ex1-9C-lcwgs-1-1.clmp.fp2_r2_screen	127297.0	9900.0	5700.0	487.0	7.0	3.0	8.0	52.0	2.0	52283.0	535448.0
Sne-ABir_004-Ex1-9D-lcwgs-1-1.clmp.fp2_r1_screen	128309.0	656.0	828.0	36.0	2.0	1.0	0.0	5.0	0.0	5760.0	37050.0
Sne-ABir_004-Ex1-9D-lcwgs-1-1.clmp.fp2_r2_screen	127693.0	651.0	853.0	50.0	3.0	0.0	0.0	4.0	0.0	5618.0	37775.0
Sne-ABir_005-Ex1-9E-lcwgs-1-1.clmp.fp2_r1_screen	11688.0	923.0	135.0	23.0	6.0	1.0	2.0	2.0	0.0	5606.0	33890.0
Sne-ABir_005-Ex1-9E-lcwgs-1-1.clmp.fp2_r2_screen	11655.0	902.0	131.0	22.0	7.0	2.0	0.0	5.0	0.0	5516.0	34036.0
Sne-ABir_006-Ex1-9F-lcwgs-1-1.clmp.fp2_r1_screen	6191.0	493.0	37.0	3.0	0.0	2.0	0.0	1.0	0.0	2717.0	23243.0
Sne-ABir_006-Ex1-9F-lcwgs-1-1.clmp.fp2_r2_screen	6125.0	480.0	38.0	5.0	0.0	0.0	0.0	4.0	0.0	2648.0	23387.0
Sne-ABir_007-Ex1-9G-lcwgs-1-1.clmp.fp2_r1_screen	32266.0	2502.0	238.0	58.0	1.0	0.0	1.0	20.0	0.0	13720.0	125560.0
Sne-ABir_007-Ex1-9G-lcwgs-1-1.clmp.fp2_r2_screen	32054.0	2497.0	248.0	57.0	1.0	0.0	0.0	21.0	0.0	13370.0	126118.0
Sne-ABir_008-Ex1-9H-lcwgs-1-1.clmp.fp2_r1_screen	44750.0	3684.0	321.0	39.0	0.0	1.0	0.0	15.0	0.0	20089.0	152497.0
Sne-ABir_008-Ex1-9H-lcwgs-1-1.clmp.fp2_r2_screen	44408.0	3663.0	316.0	44.0	1.0	1.0	0.0	18.0	9.0	19664.0	153272.0
Sne-ABir_009-Ex1-10A-lcwgs-1-1.clmp.fp2_r1_screen	74190.0	5812.0	1061.0	64.0	15.0	4.0	2.0	34.0	0.0	32339.0	305066.0
Sne-ABir_009-Ex1-10A-lcwgs-1-1.clmp.fp2_r2_screen	73179.0	5747.0	1079.0	66.0	20.0	3.0	3.0	31.0	1.0	31844.0	306614.0
Sne-ABir_010-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	56066.0	4073.0	1832.0	94.0	11.0	4.0	5.0	9.0	0.0	24668.0	204874.0
Sne-ABir_010-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	55733.0	4153.0	1805.0	108.0	9.0	2.0	1.0	16.0	1.0	24059.0	205749.0
Sne-ABir_011-Ex1-10C-lcwgs-1-1.clmp.fp2_r1_screen	4139.0	19897.0	2585.0	1803.0	1177.0	319.0	334.0	69.0	6.0	58825.0	1437449.0
Sne-ABir_011-Ex1-10C-lcwgs-1-1.clmp.fp2_r2_screen	4171.0	19729.0	2585.0	1787.0	1174.0	326.0	291.0	72.0	4.0	59168.0	1437296.0
Sne-ABir_012-Ex1-10D-lcwgs-1-1.clmp.fp2_r1_screen	17615.0	25928.0	2977.0	2065.0	1500.0	382.0	324.0	81.0	11.0	96251.0	1843848.0
Sne-ABir_012-Ex1-10D-lcwgs-1-1.clmp.fp2_r2_screen	17611.0	25914.0	3043.0	1998.0	1440.0	364.0	336.0	84.0	6.0	96139.0	1844047.0
Sne-ABir_013-Ex1-10E-lcwgs-1-1.clmp.fp2_r1_screen	11757.0	62577.0	9200.0	5875.0	4045.0	1103.0	1141.0	210.0	22.0	176996.0	4627001.0
Sne-ABir_013-Ex1-10E-lcwgs-1-1.clmp.fp2_r2_screen	11763.0	63085.0	9079.0	5671.0	3834.0	1128.0	1118.0	236.0	16.0	178956.0	4625041.0
Sne-ABir_014-Ex1-10F-lcwgs-1-1.clmp.fp2_r1_screen	5278.0	21366.0	2811.0	1961.0	1281.0	399.0	373.0	78.0	4.0	68302.0	1450776.0
Sne-ABir_014-Ex1-10F-lcwgs-1-1.clmp.fp2_r2_screen	5241.0	21960.0	2710.0	1861.0	1276.0	369.0	391.0	72.0	12.0	68737.0	1450000.0
Sne-ABir_015-Ex1-10G-lcwgs-1-1.clmp.fp2_r1_screen	5780.0	31478.0	4270.0	2737.0	1870.0	526.0	557.0	116.0	13.0	92376.0	2204608.0
Sne-ABir_015-Ex1-10G-lcwgs-1-1.clmp.fp2_r2_screen	5845.0	31809.0	4278.0	2749.0	1863.0	565.0	553.0	109.0	2.0	92887.0	2203671.0
Sne-ABir_017-Ex1-11A-lcwgs-1-1.clmp.fp2_r1_screen	5541.0	15460.0	2068.0	1176.0	890.0	273.0	262.0	47.0	1.0	55497.0	1224484.0
Sne-ABir_017-Ex1-11A-lcwgs-1-1.clmp.fp2_r2_screen	5469.0	15889.0	2106.0	1245.0	854.0	207.0	236.0	53.0	4.0	55413.0	1224223.0
Sne-ABir_018-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	12940.0	44645.0	5545.0	3543.0	2546.0	823.0	725.0	151.0	8.0	147258.0	2971639.0
Sne-ABir_018-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	12794.0	44915.0	5499.0	3490.0	2443.0	751.0	730.0	148.0	8.0	147406.0	2971639.0
Sne-ABir_019-Ex1-11C-lcwgs-1-1.clmp.fp2_r1_screen	11651.0	28713.0	4501.0	2315.0	1642.0	458.0	448.0	91.0	6.0	97804.0	2052503.0
Sne-ABir_019-Ex1-11C-lcwgs-1-1.clmp.fp2_r2_screen	11585.0	28823.0	4404.0	2380.0	1581.0	430.0	478.0	103.0	6.0	98279.0	2052063.0
Sne-ABir_020-Ex1-11D-lcwgs-1-1.clmp.fp2_r1_screen	2389.0	40987.0	4246.0	2929.0	1915.0	534.0	577.0	105.0	7.0	91142.0	2414004.0
Sne-ABir_020-Ex1-11D-lcwgs-1-1.clmp.fp2_r2_screen	2316.0	41103.0	4096.0	2855.0	1965.0	548.0	581.0	92.0	4.0	91782.0	2413493.0
Sne-ABir_021-Ex1-11E-lcwgs-1-1.clmp.fp2_r1_screen	14998.0	32500.0	4677.0	2781.0	1720.0	566.0	560.0	97.0	3.0	108329.0	2018137.0
Sne-ABir_021-Ex1-11E-lcwgs-1-1.clmp.fp2_r2_screen	15057.0	32875.0	4707.0	2600.0	1719.0	518.0	547.0	129.0	3.0	108731.0	2017482.0
Sne-ABir_022-Ex1-11F-lcwgs-1-1.clmp.fp2_r1_screen	7647.0	26222.0	3313.0	2277.0	1601.0	486.0	485.0	124.0	3.0	78893.0	1930658.0
Sne-ABir_022-Ex1-11F-lcwgs-1-1.clmp.fp2_r2_screen	7647.0	26356.0	3328.0	2199.0	1547.0	460.0	447.0	110.0	5.0	79363.0	1930247.0
Sne-ABir_023-Ex1-11G-lcwgs-1-1.clmp.fp2_r1_screen	11764.0	22078.0	2295.0	1587.0	1243.0	342.0	357.0	71.0	3.0	75517.0	1620530.0
Sne-ABir_023-Ex1-11G-lcwgs-1-1.clmp.fp2_r2_screen	11611.0	22008.0	2332.0	1576.0	1194.0	382.0	308.0	75.0	5.0	75766.0	1620530.0
Sne-ABir_024-Ex1-11H-lcwgs-1-1.clmp.fp2_r1_screen	3722.0	22202.0	2708.0	1761.0	1305.0	401.0	301.0	82.0	6.0	67912.0	1642653.0
Sne-ABir_024-Ex1-11H-lcwgs-1-1.clmp.fp2_r2_screen	3637.0	22479.0	2746.0	1865.0	1226.0	348.0	366.0	94.0	4.0	68158.0	1642130.0
Sne-ABir_025-Ex1-12A-lcwgs-1-1.clmp.fp2_r1_screen	9118.0	37999.0	4711.0	3175.0	2247.0	590.0	581.0	132.0	7.0	126013.0	2759162.0
Sne-ABir_025-Ex1-12A-lcwgs-1-1.clmp.fp2_r2_screen	8976.0	38299.0	4787.0	3283.0	2213.0	606.0	586.0	141.0	8.0	126557.0	2758279.0
Sne-ABir_026-Ex1-12B-lcwgs-1-1.clmp.fp2_r1_screen	5926.0	32437.0	4362.0	2706.0	1992.0	617.0	561.0	120.0	6.0	91433.0	2504361.0
Sne-ABir_026-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	5872.0	32688.0	4322.0	2791.0	1888.0	579.0	523.0	108.0	7.0	92175.0	2503568.0
Sne-ABir_027-Ex1-12C-lcwgs-1-1.clmp.fp2_r1_screen	26023.0	25377.0	6690.0	1970.0	1296.0	383.0	355.0	102.0	4.0	107288.0	1554701.0
Sne-ABir_027-Ex1-12C-lcwgs-1-1.clmp.fp2_r2_screen	25726.0	25522.0	6718.0	1979.0	1265.0	347.0	350.0	87.0	6.0	107316.0	1554873.0
Sne-ABir_028-Ex1-12D-lcwgs-1-1.clmp.fp2_r1_screen	45234.0	10045.0	5243.0	571.0	408.0	116.0	99.0	45.0	2.0	44639.0	603890.0
Sne-ABir_028-Ex1-12D-lcwgs-1-1.clmp.fp2_r2_screen	45165.0	9999.0	5222.0	489.0	355.0	106.0	108.0	42.0	4.0	44415.0	604387.0
Sne-CCab_016-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	981.0	18641.0	2229.0	1692.0	1254.0	328.0	245.0	85.0	0.0	66165.0	1535718.0
Sne-CCab_016-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	1019.0	18509.0	2046.0	1590.0	1185.0	268.0	280.0	82.0	1.0	65826.0	1536532.0
Sne-CCab_017-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	919.0	13488.0	1508.0	1178.0	821.0	197.0	225.0	43.0	0.0	49824.0	1130427.0
