Sample	Unique Reads	Duplicate Reads
Par-ARag_001-Ex1-6G-lcwgs-2-T.clmp.r1	2853219.0	235076.0
Par-ARag_001-Ex1-6G-lcwgs-2-T.clmp.r2	2848012.0	240283.0
Par-ARag_002-Ex1-6H-lcwgs-2-T.clmp.r1	3268713.0	129977.0
Par-ARag_002-Ex1-6H-lcwgs-2-T.clmp.r2	3267651.0	131039.0
Par-ARag_006-Ex1-7C-lcwgs-2-T.clmp.r1	2093976.0	118404.0
Par-ARag_006-Ex1-7C-lcwgs-2-T.clmp.r2	2087168.0	125212.0
Par-ARag_007-Ex1-7D-lcwgs-2-T.clmp.r1	3419657.0	171221.0
Par-ARag_007-Ex1-7D-lcwgs-2-T.clmp.r2	3412166.0	178712.0
Par-ARag_008-Ex1-7E-lcwgs-2-T.clmp.r1	1662056.0	86785.0
Par-ARag_008-Ex1-7E-lcwgs-2-T.clmp.r2	1658426.0	90415.0
Par-ARag_009-Ex1-7F-lcwgs-2-T.clmp.r1	1770764.0	146398.0
Par-ARag_009-Ex1-7F-lcwgs-2-T.clmp.r2	1769721.0	147441.0
Par-ARag_010-Ex1-7G-lcwgs-2-T.clmp.r1	2665672.0	146271.0
Par-ARag_010-Ex1-7G-lcwgs-2-T.clmp.r2	2660654.0	151289.0
Par-ARag_011-Ex1-7H-lcwgs-2-T.clmp.r1	3230522.0	209559.0
Par-ARag_011-Ex1-7H-lcwgs-2-T.clmp.r2	3225832.0	214249.0
Par-ARag_012-Ex1-8A-lcwgs-2-T.clmp.r1	2077822.0	105843.0
Par-ARag_012-Ex1-8A-lcwgs-2-T.clmp.r2	2075910.0	107755.0
Par-ARag_013-Ex1-8B-lcwgs-2-T.clmp.r1	1087679.0	59798.0
Par-ARag_013-Ex1-8B-lcwgs-2-T.clmp.r2	1088304.0	59173.0
Par-ARag_014-Ex1-8C-lcwgs-2-T.clmp.r1	1695231.0	102118.0
Par-ARag_014-Ex1-8C-lcwgs-2-T.clmp.r2	1693983.0	103366.0
