Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Sne-CTaw_036-Ex1-lcwgs.clmp.r1r2_fastp	10.029499999999999	0.922677	4340427249.0	0.384401	99.27382057749395	0.5505890102962435
Sne-CTaw_037-Ex1-lcwgs.clmp.r1r2_fastp	0.6826869999999999	0.916257	192452480.0	0.435632	99.022892371263	1.7382517260497272
Sne-CTaw_038-Ex1-lcwgs.clmp.r1r2_fastp	3.02173	0.919772	5151846803.0	0.389276	99.24968421545654	0.6802894337930688
Sne-CTaw_039-Ex1-lcwgs.clmp.r1r2_fastp	0.648865	0.914443	551353720.0	0.400429	99.04990604734436	1.685155561385843
Sne-CTaw_040-Ex1-lcwgs.clmp.r1r2_fastp	1.9610800000000002	0.924345	1230070127.0	0.387238	99.27022431775706	1.3067849638310107
Sne-CTaw_041-Ex1-lcwgs.clmp.r1r2_fastp	0.365594	0.920164	410125193.0	0.384497	99.25475188076031	1.6616322658611626
Sne-CTaw_043-Ex1-lcwgs.clmp.r1r2_fastp	3.88216	0.927294	6557520542.0	0.37405	99.3659088870687	0.7961823636641184
Sne-CTaw_044-Ex1-lcwgs.clmp.r1r2_fastp	3.44332	0.926297	7869712068.0	0.382851	99.28935590498264	0.8776417459467145
Sne-CTaw_047-Ex1-lcwgs.clmp.r1r2_fastp	3.97223	0.91973	2953059450.0	0.382096	99.26896325953187	0.585418281196449
Sne-CTaw_048-Ex1-lcwgs.clmp.r1r2_fastp	6.294859999999999	0.919823	2885328392.0	0.387712	99.24484116909996	0.6351532424647669
Sne-CTaw_049-Ex1-lcwgs.clmp.r1r2_fastp	2.48508	0.92454	9417486284.0	0.389233	99.25462946442902	0.5881714864026736
Sne-CTaw_050-Ex1-lcwgs.clmp.r1r2_fastp	2.8375500000000002	0.918616	5607294828.0	0.386055	99.2432202335668	1.0773239184222796
Sne-CTaw_051-Ex1-lcwgs.clmp.r1r2_fastp	1.2486000000000002	0.921433	792656757.0	0.387004	99.19370593857863	1.457176048336813
Sne-CTaw_052-Ex1-lcwgs.clmp.r1r2_fastp	2.8050200000000003	0.923126	4688136364.0	0.383702	99.27253423143922	1.279474963611156
Sne-CTaw_053-Ex1-lcwgs.clmp.r1r2_fastp	3.2240199999999994	0.925724	2062332133.0	0.375336	99.39594683504018	0.8609418674660365
Sne-CTaw_054-Ex1-lcwgs.clmp.r1r2_fastp	2.3644499999999997	0.9255	1889277975.0	0.378062	99.36516216356783	1.1813741883387603
Sne-CTaw_055-Ex1-lcwgs.clmp.r1r2_fastp	1.76925	0.923459	400928802.0	0.381781	99.3539529553746	1.0202167268549018
Sne-CTaw_056-Ex1-lcwgs.clmp.r1r2_fastp	3.8603400000000003	0.920879	4152717309.0	0.387075	99.25689405035986	1.1402065539658994
Sne-CTaw_057-Ex1-lcwgs.clmp.r1r2_fastp	1.9737999999999998	0.923768	1103914749.0	0.386476	99.26275131166442	0.9760572440600255
Sne-CTaw_058-Ex1-lcwgs.clmp.r1r2_fastp	1.33615	0.918778	368100211.0	0.390343	99.26088817445398	1.3811912850830368
Sne-CTaw_060-Ex1-lcwgs.clmp.r1r2_fastp	0.787355	0.917206	138491707.0	0.383204	99.06589354908276	1.4549868866828524
Sne-CTaw_062-Ex1-lcwgs.clmp.r1r2_fastp	4.11653	0.920973	14235380496.0	0.385535	99.21756110226588	0.6239844791666069
Sne-CTaw_063-Ex1-lcwgs.clmp.r1r2_fastp	1.15911	0.920192	576516364.0	0.392865	99.20351509252563	1.3765116938195312
Sne-CTaw_064-Ex1-lcwgs.clmp.r1r2_fastp	4.68103	0.91673	5168073084.0	0.385154	99.1742083559069	1.0268976261813552
Sne-CTaw_065-Ex1-lcwgs.clmp.r1r2_fastp	2.53887	0.922955	2252820843.0	0.384209	99.36825592355778	1.4059623505711727
Sne-CTaw_067-Ex1-lcwgs.clmp.r1r2_fastp	7.77509	0.924429	5942896874.0	0.368261	99.26514476665285	0.75920526252012
Sne-CTaw_071-Ex1-lcwgs.clmp.r1r2_fastp	5.29548	0.916944	2194417287.0	0.377424	99.21990593916658	0.5909523766116477
Sne-CTaw_072-Ex1-lcwgs.clmp.r1r2_fastp	4.2484	0.930367	6267347474.0	0.379563	99.35845280031988	0.878150249092455
Sne-CTaw_073-Ex1-lcwgs.clmp.r1r2_fastp	1.72867	0.915812	802928107.0	0.415127	99.1106393122001	1.3416065937352408
Sne-CTaw_074-Ex1-lcwgs.clmp.r1r2_fastp	2.47416	0.922464	2578119192.0	0.390585	99.25371229780126	0.6948553771776843
Sne-CTaw_075-Ex1-lcwgs.clmp.r1r2_fastp	1.00182	0.919551	316543505.0	0.397905	99.16253585207075	1.5824832869911125
Sne-CTaw_076-Ex1-lcwgs.clmp.r1r2_fastp	6.1907	0.916323	14912514298.0	0.380822	99.12041993072279	0.7673423401849748
Sne-CTaw_077-Ex1-lcwgs.clmp.r1r2_fastp	5.50123	0.925836	12516268637.0	0.373394	99.35674348988583	0.5240288760971614
Sne-CTaw_078-Ex1-lcwgs.clmp.r1r2_fastp	2.52489	0.927667	1546688496.0	0.378181	99.38823689405385	1.3046524412696185
Sne-CTaw_081-Ex1-lcwgs.clmp.r1r2_fastp	2.1403499999999998	0.923491	1072108509.0	0.383648	99.26745052633954	1.3637991102398246
Sne-CTaw_082-Ex1-lcwgs.clmp.r1r2_fastp	2.41304	0.92798	4919511615.0	0.409431	99.3519055420189	1.1327295158369877
Sne-CTaw_084-Ex1-lcwgs.clmp.r1r2_fastp	8.63073	0.918185	1407527437.0	0.376232	99.2181723067405	0.6566696458476119
Sne-CTaw_087-Ex1-lcwgs.clmp.r1r2_fastp	2.96501	0.920812	5225321546.0	0.390681	99.2803630635229	0.9217202418735551
Sne-CTaw_089-Ex1-lcwgs.clmp.r1r2_fastp	1.53062	0.91657	581182867.0	0.396245	99.05128258832652	1.3521999281556107
Sne-CTaw_093-Ex1-lcwgs.clmp.r1r2_fastp	2.39639	0.927951	2253379937.0	0.381863	99.32668521728556	1.0653703447743357
Sne-CTaw_094-Ex1-lcwgs.clmp.r1r2_fastp	3.91998	0.922967	4060300918.0	0.399458	99.25024108979491	0.9804635732423775
Sne-CTaw_095-Ex1-lcwgs.clmp.r1r2_fastp	2.69654	0.922819	3053046726.0	0.391682	99.29141682172899	0.7074826194040096
Sne-CTaw_096-Ex1-lcwgs.clmp.r1r2_fastp	2.6102	0.924275	227570507.0	0.39859	99.33505867473767	1.2219334824465498
