Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Cvi-APal_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	54835.0	4204.0	1526.0	175.0	29.0	6.0	7.0	83.0	0.0	25891.0	229640.0
Cvi-APal_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	54755.0	4286.0	1495.0	170.0	40.0	5.0	5.0	85.0	2.0	26261.0	229292.0
Cvi-APal_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	117768.0	15801.0	3386.0	804.0	269.0	135.0	103.0	237.0	4.0	94111.0	1011991.0
Cvi-APal_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	117994.0	15867.0	3420.0	815.0	292.0	142.0	82.0	238.0	6.0	94384.0	1011369.0
Cvi-APal_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	71222.0	13106.0	3336.0	911.0	396.0	157.0	95.0	132.0	4.0	66906.0	1268206.0
Cvi-APal_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	70768.0	12951.0	3313.0	888.0	380.0	116.0	116.0	128.0	3.0	67602.0	1268206.0
Cvi-APal_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	55827.0	26834.0	20788.0	2750.0	1909.0	493.0	537.0	197.0	4.0	99663.0	3036360.0
Cvi-APal_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	55670.0	26342.0	20784.0	2698.0	1914.0	480.0	568.0	203.0	4.0	100663.0	3036036.0
Cvi-APal_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	13431.0	17244.0	2020.0	1377.0	763.0	259.0	252.0	90.0	1.0	55056.0	2247817.0
Cvi-APal_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	13319.0	17267.0	2032.0	1337.0	765.0	246.0	257.0	69.0	1.0	54966.0	2248051.0
Cvi-APal_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r1_screen	78547.0	9021.0	3969.0	500.0	166.0	43.0	62.0	92.0	0.0	51530.0	625333.0
