Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Cvi-APal_001-Ex1-1A-lcwgs-1-T.clmp.r1r2_fastp	632792.0	0.0	0.0	11034.0	0.0
Cvi-APal_002-Ex1-1B-lcwgs-1-T.clmp.r1r2_fastp	2489218.0	0.0	0.0	33038.0	0.0
Cvi-APal_003-Ex1-1C-lcwgs-1-T.clmp.r1r2_fastp	2848942.0	0.0	0.0	31490.0	0.0
Cvi-APal_004-Ex1-1D-lcwgs-1-T.clmp.r1r2_fastp	6490724.0	0.0	0.0	56750.0	0.0
Cvi-APal_005-Ex1-1E-lcwgs-1-T.clmp.r1r2_fastp	4676620.0	0.0	0.0	37156.0	0.0
Cvi-APal_006-Ex1-1F-lcwgs-1-T.clmp.r1r2_fastp	1538526.0	0.0	0.0	19912.0	0.0
Cvi-APal_007-Ex1-1G-lcwgs-1-T.clmp.r1r2_fastp	1285434.0	0.0	0.0	19356.0	0.0
Cvi-APal_008-Ex1-1H-lcwgs-1-T.clmp.r1r2_fastp	1504366.0	0.0	0.0	22050.0	0.0
Cvi-APal_009-Ex1-2A-lcwgs-1-T.clmp.r1r2_fastp	1140534.0	0.0	0.0	19228.0	0.0
Cvi-APal_010-Ex1-2B-lcwgs-1-T.clmp.r1r2_fastp	1880758.0	0.0	0.0	29118.0	0.0
Cvi-APal_011-Ex1-2C-lcwgs-1-T.clmp.r1r2_fastp	1591810.0	0.0	0.0	30678.0	0.0
Cvi-APal_012-Ex1-2D-lcwgs-1-T.clmp.r1r2_fastp	2899348.0	0.0	0.0	44240.0	0.0
Cvi-APal_013-Ex1-2E-lcwgs-1-T.clmp.r1r2_fastp	3855576.0	0.0	0.0	44970.0	0.0
Cvi-APal_014-Ex1-2F-lcwgs-1-T.clmp.r1r2_fastp	10573532.0	0.0	0.0	87178.0	0.0
Cvi-APal_015-Ex1-2G-lcwgs-1-T.clmp.r1r2_fastp	1672590.0	0.0	0.0	22178.0	0.0
Cvi-APal_016-Ex1-2H-lcwgs-1-T.clmp.r1r2_fastp	3692068.0	0.0	0.0	38576.0	0.0
Cvi-APal_017-Ex2-4D-lcwgs-1-T.clmp.r1r2_fastp	3024260.0	0.0	0.0	41270.0	0.0
Cvi-APal_018-Ex1-3A-lcwgs-1-T.clmp.r1r2_fastp	1722912.0	0.0	0.0	21242.0	0.0
Cvi-APal_019-Ex1-3B-lcwgs-1-T.clmp.r1r2_fastp	3329086.0	0.0	0.0	38102.0	0.0
Cvi-APal_020-Ex1-3C-lcwgs-1-T.clmp.r1r2_fastp	2566880.0	0.0	0.0	35418.0	0.0
Cvi-APal_021-Ex1-3D-lcwgs-1-T.clmp.r1r2_fastp	2453946.0	0.0	0.0	35342.0	0.0
Cvi-APal_022-Ex1-3E-lcwgs-1-T.clmp.r1r2_fastp	2802768.0	0.0	0.0	36576.0	0.0
Cvi-APal_023-Ex1-3F-lcwgs-1-T.clmp.r1r2_fastp	5132242.0	0.0	0.0	56158.0	0.0
Cvi-APal_024-Ex1-3G-lcwgs-1-T.clmp.r1r2_fastp	5509252.0	0.0	0.0	54130.0	0.0
Cvi-APal_025-Ex1-3H-lcwgs-1-T.clmp.r1r2_fastp	993484.0	0.0	0.0	17460.0	0.0
Cvi-APal_026-Ex1-4A-lcwgs-1-T.clmp.r1r2_fastp	2203206.0	0.0	0.0	22662.0	0.0
Cvi-APal_027-Ex1-4B-lcwgs-1-T.clmp.r1r2_fastp	3855610.0	0.0	0.0	40044.0	0.0
Cvi-APal_028-Ex1-4C-lcwgs-1-T.clmp.r1r2_fastp	5197450.0	0.0	0.0	50492.0	0.0
Cvi-APal_029-Ex1-5H-lcwgs-1-T.clmp.r1r2_fastp	1979104.0	0.0	0.0	31536.0	0.0
Cvi-APal_030-Ex1-4E-lcwgs-1-T.clmp.r1r2_fastp	1775732.0	0.0	0.0	28794.0	0.0
