Module	Section	Sample Name	Source
Snippy	snippy	multiqc	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/fqscrn_mqc_data/multiqc.log
FastQ Screen	all_sections	Sde-ABol_029-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_029-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-ABol_017-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_017-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-ABol_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen.txt
FastQ Screen	all_sections	Sde-ABol_014-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_014-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-ABol_028-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_028-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-ABol_037-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_037-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-CMal_035-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-CMal_035-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-ABol_065-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-ABol_065-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen.txt
FastQ Screen	all_sections	Sde-CMal_063-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/spratelloides_delicatulus/1st_sequencing_run/fq_fp1_clmp_fp2_fqscrn/Sde-CMal_063-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen.txt
