Sample	Unique Reads	Duplicate Reads
Cha-APnd_001-Ex1-1A-lcwgs-1-1.clmp.r1	252484.0	17531.0
Cha-APnd_001-Ex1-1A-lcwgs-1-1.clmp.r2	256724.0	13291.0
Cha-APnd_002-Ex1-1B-lcwgs-1-1.clmp.r1	226901.0	13665.0
Cha-APnd_002-Ex1-1B-lcwgs-1-1.clmp.r2	230526.0	10040.0
Cha-APnd_003-Ex1-1C-lcwgs-1-1.clmp.r1	1832209.0	41641.0
Cha-APnd_003-Ex1-1C-lcwgs-1-1.clmp.r2	1840945.0	32905.0
Cha-APnd_004-Ex1-1D-lcwgs-1-1.clmp.r1	1490141.0	60163.0
Cha-APnd_004-Ex1-1D-lcwgs-1-1.clmp.r2	1504563.0	45741.0
Cha-APnd_005-Ex1-1E-lcwgs-1-1.clmp.r1	1705922.0	55296.0
Cha-APnd_005-Ex1-1E-lcwgs-1-1.clmp.r2	1718654.0	42564.0
Cha-APnd_006-Ex1-1F-lcwgs-1-1.clmp.r1	417811.0	31375.0
Cha-APnd_006-Ex1-1F-lcwgs-1-1.clmp.r2	424774.0	24412.0
Cha-APnd_007-Ex1-1G-lcwgs-1-1.clmp.r1	528757.0	12453.0
Cha-APnd_007-Ex1-1G-lcwgs-1-1.clmp.r2	531120.0	10090.0
Cha-APnd_008-Ex1-1H-lcwgs-1-1.clmp.r1	1905785.0	65237.0
Cha-APnd_008-Ex1-1H-lcwgs-1-1.clmp.r2	1919078.0	51944.0
Cha-APnd_009-Ex1-2A-lcwgs-1-1.clmp.r1	1399563.0	58806.0
Cha-APnd_009-Ex1-2A-lcwgs-1-1.clmp.r2	1411817.0	46552.0
Cha-APnd_010-Ex1-2B-lcwgs-1-1.clmp.r1	853527.0	27549.0
Cha-APnd_010-Ex1-2B-lcwgs-1-1.clmp.r2	860157.0	20919.0
Cha-APnd_011-Ex1-2C-lcwgs-1-1.clmp.r1	722053.0	39606.0
Cha-APnd_011-Ex1-2C-lcwgs-1-1.clmp.r2	730881.0	30778.0
Cha-APnd_012-Ex1-2D-lcwgs-1-1.clmp.r1	1346802.0	36219.0
Cha-APnd_012-Ex1-2D-lcwgs-1-1.clmp.r2	1356098.0	26923.0
Cha-APnd_013-Ex1-2E-lcwgs-1-1.clmp.r1	383589.0	6893.0
Cha-APnd_013-Ex1-2E-lcwgs-1-1.clmp.r2	384852.0	5630.0
Cha-APnd_014-Ex1-2F-lcwgs-1-1.clmp.r1	1636111.0	35828.0
Cha-APnd_014-Ex1-2F-lcwgs-1-1.clmp.r2	1642976.0	28963.0
Cha-APnd_015-Ex1-2G-lcwgs-1-1.clmp.r1	1081289.0	40821.0
Cha-APnd_015-Ex1-2G-lcwgs-1-1.clmp.r2	1089936.0	32174.0
Cha-APnd_016-Ex1-2H-lcwgs-1-1.clmp.r1	1513425.0	31246.0
Cha-APnd_016-Ex1-2H-lcwgs-1-1.clmp.r2	1519165.0	25506.0
Cha-APnd_017-Ex1-3A-lcwgs-1-1.clmp.r1	1115035.0	58792.0
Cha-APnd_017-Ex1-3A-lcwgs-1-1.clmp.r2	1125780.0	48047.0
Cha-APnd_018-Ex1-3B-lcwgs-1-1.clmp.r1	184498.0	8289.0
Cha-APnd_018-Ex1-3B-lcwgs-1-1.clmp.r2	186367.0	6420.0
Cha-APnd_019-Ex1-3C-lcwgs-1-1.clmp.r1	44455.0	689.0
Cha-APnd_019-Ex1-3C-lcwgs-1-1.clmp.r2	44659.0	485.0
Cha-APnd_020-Ex1-3D-lcwgs-1-1.clmp.r1	24686.0	470.0
Cha-APnd_020-Ex1-3D-lcwgs-1-1.clmp.r2	24815.0	341.0
Cha-APnd_021-Ex1-3E-lcwgs-1-1.clmp.r1	385380.0	9860.0
Cha-APnd_021-Ex1-3E-lcwgs-1-1.clmp.r2	387723.0	7517.0
Cha-APnd_022-Ex1-3F-lcwgs-1-1.clmp.r1	1332482.0	34813.0
Cha-APnd_022-Ex1-3F-lcwgs-1-1.clmp.r2	1339288.0	28007.0
Cha-APnd_023-Ex1-3G-lcwgs-1-1.clmp.r1	11460.0	105.0
Cha-APnd_023-Ex1-3G-lcwgs-1-1.clmp.r2	11492.0	73.0
Cha-APnd_024-Ex1-3H-lcwgs-1-1.clmp.r1	10355.0	43.0
Cha-APnd_024-Ex1-3H-lcwgs-1-1.clmp.r2	10378.0	20.0
Cha-APnd_025-Ex1-4A-lcwgs-1-1.clmp.r1	59420.0	2867.0
Cha-APnd_025-Ex1-4A-lcwgs-1-1.clmp.r2	60274.0	2013.0
Cha-APnd_026-Ex1-4B-lcwgs-1-1.clmp.r1	1531277.0	45355.0
Cha-APnd_026-Ex1-4B-lcwgs-1-1.clmp.r2	1539517.0	37115.0
Cha-APnd_027-Ex1-4C-lcwgs-1-1.clmp.r1	1366207.0	29603.0
Cha-APnd_027-Ex1-4C-lcwgs-1-1.clmp.r2	1371639.0	24171.0
Cha-APnd_028-Ex1-4D-lcwgs-1-1.clmp.r1	1827703.0	49770.0
Cha-APnd_028-Ex1-4D-lcwgs-1-1.clmp.r2	1838175.0	39298.0
Cha-APnd_029-Ex1-4E-lcwgs-1-1.clmp.r1	1321769.0	39162.0
Cha-APnd_029-Ex1-4E-lcwgs-1-1.clmp.r2	1328604.0	32327.0
Cha-APnd_030-Ex1-4F-lcwgs-1-1.clmp.r1	526639.0	19988.0
Cha-APnd_030-Ex1-4F-lcwgs-1-1.clmp.r2	531549.0	15078.0
Cha-APnd_031-Ex1-4G-lcwgs-1-1.clmp.r1	211198.0	11545.0
Cha-APnd_031-Ex1-4G-lcwgs-1-1.clmp.r2	213716.0	9027.0
Cha-APnd_032-Ex1-4H-lcwgs-1-1.clmp.r1	1594615.0	28463.0
Cha-APnd_032-Ex1-4H-lcwgs-1-1.clmp.r2	1599348.0	23730.0
Cha-APnd_033-Ex1-5A-lcwgs-1-1.clmp.r1	6538.0	36.0
Cha-APnd_033-Ex1-5A-lcwgs-1-1.clmp.r2	6550.0	24.0
Cha-APnd_034-Ex1-5B-lcwgs-1-1.clmp.r1	24788.0	184.0
Cha-APnd_034-Ex1-5B-lcwgs-1-1.clmp.r2	24815.0	157.0
Cha-APnd_035-Ex1-5C-lcwgs-1-1.clmp.r1	687075.0	7044.0
Cha-APnd_035-Ex1-5C-lcwgs-1-1.clmp.r2	687983.0	6136.0
Cha-APnd_036-Ex1-5D-lcwgs-1-1.clmp.r1	450941.0	8972.0
Cha-APnd_036-Ex1-5D-lcwgs-1-1.clmp.r2	452524.0	7389.0
Cha-APnd_037-Ex1-5E-lcwgs-1-1.clmp.r1	391078.0	7355.0
Cha-APnd_037-Ex1-5E-lcwgs-1-1.clmp.r2	392437.0	5996.0
Cha-APnd_038-Ex1-5F-lcwgs-1-1.clmp.r1	974136.0	16427.0
Cha-APnd_038-Ex1-5F-lcwgs-1-1.clmp.r2	976870.0	13693.0
Cha-APnd_039-Ex1-5G-lcwgs-1-1.clmp.r1	9928.0	128.0
Cha-APnd_039-Ex1-5G-lcwgs-1-1.clmp.r2	9970.0	86.0
Cha-APnd_040-Ex1-5H-lcwgs-1-1.clmp.r1	11680.0	113.0
Cha-APnd_040-Ex1-5H-lcwgs-1-1.clmp.r2	11706.0	87.0
Cha-CPnd_009-Ex1-8D-lcwgs-1-1.clmp.r1	126368.0	4100.0
Cha-CPnd_009-Ex1-8D-lcwgs-1-1.clmp.r2	127810.0	2658.0
Cha-CPnd_010-Ex1-7D-lcwgs-1-1.clmp.r1	1067315.0	36711.0
Cha-CPnd_010-Ex1-7D-lcwgs-1-1.clmp.r2	1064491.0	39535.0
Cha-CPnd_011-Ex1-7C-lcwgs-1-1.clmp.r1	69415.0	1247.0
Cha-CPnd_011-Ex1-7C-lcwgs-1-1.clmp.r2	69930.0	732.0
