Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Snippy_mqc-generalstats-snippy-VariantTotal
Hte-ABur_001-Ex1-1A-lcwgs-1-T.1	42.60025873221216	47.0	150.0	36.36363636363637	100490.0	
Hte-ABur_001-Ex1-1A-lcwgs-1-T.2	39.95621454871131	47.0	150.0	36.36363636363637	100490.0	
Hte-ABur_002-Ex1-1B-lcwgs-1-T.1	60.74004390090938	48.0	150.0	63.63636363636363	15945.0	
Hte-ABur_002-Ex1-1B-lcwgs-1-T.2	58.9401066164942	47.0	150.0	54.54545454545454	15945.0	
Hte-ABur_003-Ex1-1C-lcwgs-1-T.1	52.897335712527685	56.0	150.0	45.45454545454545	130016.0	
Hte-ABur_003-Ex1-1C-lcwgs-1-T.2	51.127553531873	56.0	150.0	45.45454545454545	130016.0	
Hte-ABur_004-Ex1-1D-lcwgs-1-T.1	33.282623328261295	45.0	150.0	36.36363636363637	2463472.0	
Hte-ABur_004-Ex1-1D-lcwgs-1-T.2	32.09179942343694	45.0	150.0	27.27272727272727	2463472.0	
Hte-ABur_005-Ex1-1E-lcwgs-1-T.1	35.73487031700289	47.0	150.0	54.54545454545454	9369.0	
Hte-ABur_005-Ex1-1E-lcwgs-1-T.2	33.79229373465684	47.0	150.0	54.54545454545454	9369.0	
Hte-ABur_006-Ex1-1F-lcwgs-1-T.1	26.42624286878565	46.0	150.0	45.45454545454545	4908.0	
Hte-ABur_006-Ex1-1F-lcwgs-1-T.2	25.162999185004082	46.0	150.0	45.45454545454545	4908.0	
Hte-ABur_007-Ex1-1G-lcwgs-1-T.1	91.83085501858736	51.0	150.0	45.45454545454545	301280.0	
Hte-ABur_007-Ex1-1G-lcwgs-1-T.2	89.93627190653213	51.0	150.0	45.45454545454545	301280.0	
Hte-ABur_008-Ex1-1H-lcwgs-1-T.1	34.97089639115251	48.0	150.0	36.36363636363637	4295.0	
Hte-ABur_008-Ex1-1H-lcwgs-1-T.2	32.898719441210716	49.0	150.0	45.45454545454545	4295.0	
Hte-ABur_009-Ex1-2A-lcwgs-1-T.1	21.94155958458019	47.0	150.0	36.36363636363637	11362.0	
Hte-ABur_009-Ex1-2A-lcwgs-1-T.2	20.612568209822214	47.0	150.0	27.27272727272727	11362.0	
Hte-ABur_010-Ex1-2B-lcwgs-1-T.1	29.003919448574138	46.0	150.0	45.45454545454545	7399.0	
Hte-ABur_010-Ex1-2B-lcwgs-1-T.2	28.39572915258819	46.0	150.0	45.45454545454545	7399.0	
Hte-ABur_011-Ex1-2C-lcwgs-1-T.1	18.737730658063924	44.0	150.0	27.27272727272727	177553.0	
Hte-ABur_011-Ex1-2C-lcwgs-1-T.2	17.225970413415112	44.0	150.0	27.27272727272727	177553.0	
Hte-ABur_012-Ex1-2D-lcwgs-1-T.1	28.436684728075463	48.0	150.0	36.36363636363637	14949.0	
Hte-ABur_012-Ex1-2D-lcwgs-1-T.2	27.399826075322764	48.0	150.0	45.45454545454545	14949.0	
Hte-ABur_013-Ex1-2E-lcwgs-1-T.1	22.851185958316123	45.0	150.0	18.181818181818183	519427.0	
Hte-ABur_013-Ex1-2E-lcwgs-1-T.2	21.26728857935022	45.0	150.0	18.181818181818183	519427.0	
Hte-ABur_014-Ex1-2F-lcwgs-1-T.1	21.19269384299021	45.0	150.0	45.45454545454545	8267.0	
Hte-ABur_014-Ex1-2F-lcwgs-1-T.2	19.87419862102334	45.0	150.0	45.45454545454545	8267.0	
Hte-ABur_015-Ex1-2G-lcwgs-1-T.1	21.535887335726983	46.0	150.0	18.181818181818183	28687.0	
Hte-ABur_015-Ex1-2G-lcwgs-1-T.2	20.486631575277997	46.0	150.0	18.181818181818183	28687.0	
Hte-ABur_016-Ex1-2H-lcwgs-1-T.1	15.958420695154004	41.0	150.0	18.181818181818183	33863.0	
Hte-ABur_016-Ex1-2H-lcwgs-1-T.2	14.794908897616864	41.0	150.0	18.181818181818183	33863.0	
Hte-ABur_017-Ex1-3A-lcwgs-1-T.1	45.4116555874014	46.0	150.0	36.36363636363637	1054991.0	
Hte-ABur_017-Ex1-3A-lcwgs-1-T.2	43.5227989680114	46.0	150.0	27.27272727272727	1054991.0	
Hte-ABur_018-Ex1-3B-lcwgs-1-T.1	59.00079112027426	52.0	150.0	54.54545454545454	41713.0	
Hte-ABur_018-Ex1-3B-lcwgs-1-T.2	57.5480066166423	52.0	150.0	54.54545454545454	41713.0	
Hte-ABur_019-Ex1-3C-lcwgs-1-T.1	66.56218611491119	47.0	150.0	54.54545454545454	649606.0	
Hte-ABur_019-Ex1-3C-lcwgs-1-T.2	63.995356385105204	47.0	150.0	54.54545454545454	649606.0	
Hte-ABur_020-Ex1-3D-lcwgs-1-T.1	73.29199781520562	50.0	150.0	54.54545454545454	756300.0	
Hte-ABur_020-Ex1-3D-lcwgs-1-T.2	70.77842113521709	50.0	150.0	54.54545454545454	756300.0	
Hte-ABur_021-Ex1-3E-lcwgs-1-T.1	63.509403859566724	47.0	150.0	54.54545454545454	716305.0	
Hte-ABur_021-Ex1-3E-lcwgs-1-T.2	61.97557254382326	47.0	150.0	54.54545454545454	716305.0	
Hte-ABur_022-Ex1-3F-lcwgs-1-T.1	66.28985389169517	48.0	150.0	54.54545454545454	147288.0	
Hte-ABur_022-Ex1-3F-lcwgs-1-T.2	63.959046222367064	47.0	150.0	54.54545454545454	147288.0	
Hte-ABur_023-Ex1-3G-lcwgs-1-T.1	68.42458108514944	48.0	150.0	54.54545454545454	446552.0	
Hte-ABur_023-Ex1-3G-lcwgs-1-T.2	66.92434480133726	47.0	150.0	54.54545454545454	446552.0	
Hte-ABur_024-Ex1-3H-lcwgs-1-T.1	30.554185166913342	46.0	150.0	45.45454545454545	6081.0	
Hte-ABur_024-Ex1-3H-lcwgs-1-T.2	29.20572274296991	46.0	150.0	45.45454545454545	6081.0	
Hte-ABur_025-Ex1-4A-lcwgs-1-T.1	22.14342001576044	45.0	150.0	45.45454545454545	8883.0	
Hte-ABur_025-Ex1-4A-lcwgs-1-T.2	20.589890802656768	45.0	150.0	45.45454545454545	8883.0	
Hte-ABur_026-Ex1-4B-lcwgs-1-T.1	84.12508375963107	49.0	150.0	54.54545454545454	1026966.0	
Hte-ABur_026-Ex1-4B-lcwgs-1-T.2	82.59935975495294	49.0	150.0	54.54545454545454	1026966.0	
Hte-ABur_027-Ex1-4C-lcwgs-1-T.1	58.95615496365041	47.0	150.0	54.54545454545454	383650.0	
Hte-ABur_027-Ex1-4C-lcwgs-1-T.2	56.563734717981355	46.0	150.0	54.54545454545454	383650.0	
Hte-ABur_028-Ex1-4D-lcwgs-1-T.1	58.818444564696826	50.0	150.0	54.54545454545454	409967.0	
Hte-ABur_028-Ex1-4D-lcwgs-1-T.2	56.94095412732938	50.0	150.0	54.54545454545454	409967.0	
Hte-ABur_029-Ex1-4E-lcwgs-1-T.1	71.17688260272539	47.0	150.0	54.54545454545454	372918.0	
Hte-ABur_029-Ex1-4E-lcwgs-1-T.2	65.21858955599825	47.0	150.0	54.54545454545454	372918.0	
Hte-ABur_030-Ex1-4F-lcwgs-1-T.1	66.87561730427339	50.0	150.0	54.54545454545454	75935.0	
Hte-ABur_030-Ex1-4F-lcwgs-1-T.2	65.21366958582999	50.0	150.0	54.54545454545454	75935.0	
Hte-ABur_031-Ex1-4G-lcwgs-1-T.1	93.12665473253504	50.0	150.0	45.45454545454545	531808.0	
Hte-ABur_031-Ex1-4G-lcwgs-1-T.2	91.46289638365727	49.0	150.0	45.45454545454545	531808.0	
Hte-ABur_032-Ex1-4H-lcwgs-1-T.1	85.6180430753018	47.0	150.0	54.54545454545454	212558.0	
Hte-ABur_032-Ex1-4H-lcwgs-1-T.2	82.95712229132755	47.0	150.0	54.54545454545454	212558.0	
Hte-ABur_034-Ex1-5B-lcwgs-1-T.1	33.2316715542522	48.0	150.0	36.36363636363637	25575.0	
Hte-ABur_034-Ex1-5B-lcwgs-1-T.2	30.740957966764412	48.0	150.0	36.36363636363637	25575.0	
Hte-ABur_035-Ex1-5C-lcwgs-1-T.1	21.51045603426556	56.0	150.0	27.27272727272727	79380.0	
Hte-ABur_035-Ex1-5C-lcwgs-1-T.2	19.822373393801968	56.0	150.0	27.27272727272727	79380.0	
Hte-ABur_036-Ex1-5D-lcwgs-1-T.1	38.53758828631578	45.0	150.0	18.181818181818183	165709.0	
