pos	3pG>A
1	0.0334941892007653
2	0.0705426356589147
3	0.0359579189611244
4	0.0286343612334802
5	0.0229107367831646
6	0.0202178078047797
7	0.0217187353410264
8	0.0175885005133699
9	0.0172512181203635
10	0.0180074378547661
11	0.0155912585298437
12	0.0138080469048732
13	0.0145385025786946
14	0.0125754980618408
15	0.013921629675755
16	0.0123221890006342
17	0.0114564070181769
18	0.0109964702688026
19	0.0111317254174397
20	0.0112585444310414
21	0.00988630746416214
22	0.00996752661013891
23	0.0105800802626779
24	0.0107289220426394
25	0.0089038295552628
