#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1
1	0.97827	0.02109	0.00000	0.00000	0.00000	0.00064
2	0.98147	0.01789	0.00000	0.00000	0.00000	0.00064
3	0.99233	0.00639	0.00000	0.00064	0.00000	0.00064
4	0.98530	0.01342	0.00000	0.00064	0.00000	0.00064
5	0.99233	0.00703	0.00000	0.00000	0.00000	0.00064
6	0.99297	0.00639	0.00000	0.00000	0.00000	0.00064
7	0.99042	0.00895	0.00000	0.00000	0.00000	0.00064
8	0.99105	0.00831	0.00000	0.00000	0.00000	0.00064
9	0.98722	0.01214	0.00000	0.00000	0.00000	0.00064
10	0.98658	0.01278	0.00000	0.00000	0.00000	0.00064
11	0.98978	0.00958	0.00000	0.00000	0.00000	0.00064
12	0.99169	0.00767	0.00000	0.00000	0.00000	0.00064
13	0.99042	0.00895	0.00064	0.00000	0.00000	0.00064
14	0.98978	0.00958	0.00000	0.00000	0.00000	0.00064
15	0.99105	0.00831	0.00000	0.00000	0.00000	0.00064
16	0.99297	0.00575	0.00000	0.00064	0.00000	0.00064
17	0.99297	0.00639	0.00000	0.00000	0.00000	0.00064
18	0.99105	0.00831	0.00000	0.00000	0.00000	0.00064
19	0.99233	0.00703	0.00000	0.00000	0.00000	0.00064
20	0.99297	0.00639	0.00000	0.00000	0.00000	0.00064
21	0.99042	0.00895	0.00000	0.00000	0.00000	0.00064
22	0.99617	0.00319	0.00000	0.00000	0.00000	0.00064
23	0.99744	0.00192	0.00000	0.00000	0.00000	0.00064
24	0.99169	0.00767	0.00000	0.00000	0.00000	0.00064
25	0.99489	0.00447	0.00000	0.00000	0.00000	0.00064
26	0.99425	0.00511	0.00000	0.00000	0.00000	0.00064
27	0.99361	0.00575	0.00000	0.00000	0.00000	0.00064
28	0.99233	0.00767	0.00000	0.00000	0.00000	0.00000
29	0.99361	0.00639	0.00000	0.00000	0.00000	0.00000
30	0.99744	0.00256	0.00000	0.00000	0.00000	0.00000
31	0.99489	0.00511	0.00000	0.00000	0.00000	0.00000
32	0.99808	0.00192	0.00000	0.00000	0.00000	0.00000
33	0.99425	0.00575	0.00000	0.00000	0.00000	0.00000
34	0.99233	0.00767	0.00000	0.00000	0.00000	0.00000
35	0.99680	0.00320	0.00000	0.00000	0.00000	0.00000
36	0.99359	0.00641	0.00000	0.00000	0.00000	0.00000
37	0.99743	0.00257	0.00000	0.00000	0.00000	0.00000
38	0.99356	0.00644	0.00000	0.00000	0.00000	0.00000
39	0.99485	0.00515	0.00000	0.00000	0.00000	0.00000
40	0.99033	0.00967	0.00000	0.00000	0.00000	0.00000
41	0.99612	0.00388	0.00000	0.00000	0.00000	0.00000
42	0.99482	0.00518	0.00000	0.00000	0.00000	0.00000
43	0.99675	0.00325	0.00000	0.00000	0.00000	0.00000
44	0.99674	0.00326	0.00000	0.00000	0.00000	0.00000
45	0.99345	0.00655	0.00000	0.00000	0.00000	0.00000
46	0.99474	0.00526	0.00000	0.00000	0.00000	0.00000
47	0.99538	0.00462	0.00000	0.00000	0.00000	0.00000
48	0.99471	0.00529	0.00000	0.00000	0.00000	0.00000
49	0.99734	0.00266	0.00000	0.00000	0.00000	0.00000
50	0.99398	0.00602	0.00000	0.00000	0.00000	0.00000
51	0.99060	0.00940	0.00000	0.00000	0.00000	0.00000
52	0.99257	0.00743	0.00000	0.00000	0.00000	0.00000
53	0.98910	0.01090	0.00000	0.00000	0.00000	0.00000
54	0.99386	0.00478	0.00000	0.00137	0.00000	0.00000
