pos	3pG>A
1	0.0262159934047815
2	0.0243695698241153
3	0.0178911305671869
4	0.0155691142436356
5	0.0107327141382869
6	0.018695652173913
7	0.019831223628692
8	0.0133416718782572
9	0.0187182095625636
10	0.015938864628821
11	0.0119952019192323
12	0.0165690038391594
13	0.0161918425906948
14	0.013658940397351
15	0.0159281192566878
16	0.0138859218115787
17	0.0140335955772911
18	0.0127127332376461
19	0.0120757859671039
20	0.0151358075886378
21	0.0130054866896972
22	0.0127641766059845
23	0.011999142918363
24	0.013383521539105
25	0.0154488517745303
