Sample	Unique Reads	Duplicate Reads
Dar-AJol_001-Ex1-1A-lcwgs-1-2.clmp.r1	614344.0	61299.0
Dar-AJol_001-Ex1-1A-lcwgs-1-2.clmp.r2	620818.0	54825.0
Dar-AJol_002-Ex1-1B-lcwgs-1-2.clmp.r1	28189545.0	677220.0
Dar-AJol_002-Ex1-1B-lcwgs-1-2.clmp.r2	28203610.0	663155.0
Dar-AJol_003-Ex1-1C-lcwgs-1-2.clmp.r1	40002340.0	660910.0
Dar-AJol_003-Ex1-1C-lcwgs-1-2.clmp.r2	40030232.0	633018.0
Dar-AJol_004-Ex1-1D-lcwgs-1-2.clmp.r1	23208074.0	580163.0
Dar-AJol_004-Ex1-1D-lcwgs-1-2.clmp.r2	23209986.0	578251.0
Dar-AJol_005-Ex1-1E-lcwgs-1-2.clmp.r1	10531704.0	3389424.0
Dar-AJol_005-Ex1-1E-lcwgs-1-2.clmp.r2	10733992.0	3187136.0
Dar-AJol_006-Ex1-1F-lcwgs-1-2.clmp.r1	1905459.0	16430.0
Dar-AJol_006-Ex1-1F-lcwgs-1-2.clmp.r2	1905031.0	16858.0
Dar-AJol_007-Ex1-1G-lcwgs-1-2.clmp.r1	460838.0	7117.0
Dar-AJol_007-Ex1-1G-lcwgs-1-2.clmp.r2	461693.0	6262.0
Dar-AJol_008-Ex1-1H-lcwgs-1-2.clmp.r1	1903563.0	46808.0
Dar-AJol_008-Ex1-1H-lcwgs-1-2.clmp.r2	1906083.0	44288.0
Dar-AJol_009-Ex1-2A-lcwgs-1-2.clmp.r1	7849770.0	103814.0
Dar-AJol_009-Ex1-2A-lcwgs-1-2.clmp.r2	7852421.0	101163.0
Dar-AJol_010-Ex1-2B-lcwgs-1-2.clmp.r1	41900783.0	505723.0
Dar-AJol_010-Ex1-2B-lcwgs-1-2.clmp.r2	41912184.0	494322.0
Dar-AJol_011-Ex1-2C-lcwgs-1-2.clmp.r1	23246662.0	358111.0
Dar-AJol_011-Ex1-2C-lcwgs-1-2.clmp.r2	23256828.0	347945.0
