Sample	Human	Protists_1k	Bacteria_24k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-ABas_001-Ex1-7A-lcwgs-1-T.clmp.fp2_r1_screen	48370.0	14265.0	43702.0	3687.0	1070.0	252.0	261.0	76.0	3.0	0.0	76916.0	1861418.0
Sfa-ABas_001-Ex1-7A-lcwgs-1-T.clmp.fp2_r2_screen	48236.0	14331.0	43628.0	3662.0	1106.0	230.0	261.0	86.0	6.0	0.0	76851.0	1861623.0
Sfa-ABas_002-Ex1-7D-lcwgs-1-T.clmp.fp2_r1_screen	15813.0	26003.0	23635.0	4215.0	2197.0	448.0	401.0	189.0	10.0	0.0	126113.0	3361333.0
Sfa-ABas_002-Ex1-7D-lcwgs-1-T.clmp.fp2_r2_screen	15726.0	26431.0	23771.0	4300.0	2128.0	435.0	417.0	203.0	14.0	0.0	125955.0	3360977.0
Sfa-ABas_003-Ex1-7G-lcwgs-1-T.clmp.fp2_r1_screen	13423.0	16796.0	18128.0	3015.0	1313.0	343.0	291.0	120.0	4.0	0.0	67344.0	2175350.0
Sfa-ABas_003-Ex1-7G-lcwgs-1-T.clmp.fp2_r2_screen	13283.0	16712.0	18194.0	3125.0	1185.0	325.0	264.0	120.0	6.0	0.0	67333.0	2175580.0
Sfa-ABas_004-Ex1-8B-lcwgs-1-T.clmp.fp2_r1_screen	2161.0	8711.0	1930.0	1056.0	703.0	165.0	170.0	45.0	9.0	0.0	32879.0	1172287.0
Sfa-ABas_004-Ex1-8B-lcwgs-1-T.clmp.fp2_r2_screen	2107.0	8595.0	1889.0	1061.0	630.0	182.0	157.0	48.0	5.0	0.0	33155.0	1172287.0
Sfa-ABas_005-Ex1-8E-lcwgs-1-T.clmp.fp2_r1_screen	5579.0	22259.0	3951.0	2474.0	1718.0	419.0	403.0	111.0	14.0	0.0	84617.0	2828561.0
Sfa-ABas_005-Ex1-8E-lcwgs-1-T.clmp.fp2_r2_screen	5455.0	22230.0	4007.0	2372.0	1662.0	388.0	394.0	116.0	15.0	0.0	84906.0	2828561.0
