# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	143	115
+	172	161
+	242	137
+	173	141
+	160	145
+	103	74
+	216	136
+	132	134
+	221	142
+	259	109
+	199	142
+	266	101
+	97	48
+	185	160
+	252	94
+	115	100
+	213	129
+	193	147
+	169	144
+	200	134
+	264	90
+	182	141
+	186	147
+	210	139
+	120	108
+	196	123
+	226	124
+	170	150
+	119	113
+	179	140
+	167	146
+	247	106
+	229	111
+	198	109
+	285	87
+	138	120
+	231	125
+	206	142
+	211	115
+	142	147
+	224	119
+	220	145
+	146	136
+	282	104
+	191	153
+	261	112
+	98	55
+	217	149
+	280	85
+	141	145
+	116	105
+	99	51
+	163	160
+	157	135
+	286	104
+	257	114
+	189	120
+	135	150
+	202	129
+	272	99
+	137	122
+	122	109
+	240	105
+	201	148
+	258	114
+	178	126
+	251	93
+	236	123
+	197	133
+	265	120
+	117	108
+	225	126
+	289	77
+	158	145
+	255	85
+	180	159
+	230	103
+	161	160
+	139	129
+	155	135
+	156	134
+	106	91
+	233	111
+	104	63
+	204	154
+	262	102
+	190	143
+	162	175
+	243	114
+	284	87
+	260	111
+	215	137
+	123	128
+	134	140
+	232	97
+	177	166
+	238	127
+	147	143
+	149	153
+	248	117
+	129	119
+	152	136
+	207	117
+	124	121
+	278	94
+	205	130
+	131	125
+	271	96
+	181	135
+	183	126
+	166	153
+	96	52
+	168	129
+	267	106
+	234	119
+	279	93
+	151	139
+	192	132
+	127	118
+	176	138
+	219	124
+	82	16
+	223	118
+	237	107
+	227	111
+	144	141
+	244	122
+	276	102
+	184	153
+	273	104
+	108	88
+	148	151
+	72	10
+	209	142
+	246	104
+	164	123
+	250	101
+	145	139
+	195	138
+	107	80
+	269	85
+	281	87
+	228	116
+	150	147
+	171	143
+	114	110
+	212	136
+	241	113
+	288	87
+	235	108
+	194	158
+	159	133
+	118	80
+	111	112
+	128	107
+	136	141
+	69	7
+	239	111
+	79	17
+	277	95
+	263	110
+	254	110
+	126	135
+	105	89
+	249	110
+	154	142
+	76	10
+	113	79
+	85	29
+	110	80
+	203	145
+	283	97
+	93	49
+	287	93
+	83	16
+	90	33
+	121	123
