Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Psq-AGal_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	2501.0	4566.0	1034.0	265.0	108.0	49.0	31.0	10.0	0.0	5866.0	353658.0
Psq-AGal_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	2504.0	4544.0	999.0	278.0	105.0	43.0	29.0	17.0	0.0	5947.0	353622.0
Psq-AGal_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	3880.0	6451.0	426.0	258.0	60.0	54.0	17.0	6.0	0.0	6548.0	309460.0
Psq-AGal_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	4127.0	6411.0	449.0	248.0	58.0	68.0	17.0	7.0	0.0	6446.0	309329.0
Psq-AGal_005-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	1098.0	3481.0	516.0	106.0	20.0	12.0	4.0	4.0	0.0	2516.0	90428.0
Psq-AGal_005-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	1119.0	3461.0	525.0	107.0	25.0	17.0	4.0	3.0	0.0	2545.0	90379.0
Psq-AGal_008-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	6578.0	7221.0	2535.0	426.0	109.0	126.0	47.0	13.0	1.0	10449.0	571716.0
Psq-AGal_008-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	6863.0	7113.0	2546.0	396.0	126.0	112.0	36.0	14.0	2.0	10536.0	571477.0
Psq-AGal_009-Ex1-9A-lcwgs-1-1.clmp.fp2_r1_screen	7530.0	15130.0	1103.0	515.0	216.0	143.0	71.0	27.0	0.0	15238.0	764297.0
Psq-AGal_009-Ex1-9A-lcwgs-1-1.clmp.fp2_r2_screen	7718.0	14986.0	1122.0	547.0	196.0	112.0	68.0	29.0	1.0	15194.0	764297.0
Psq-AGal_010-Ex1-10A-lcwgs-1-1.clmp.fp2_r1_screen	3709.0	6588.0	575.0	268.0	98.0	70.0	22.0	12.0	0.0	6193.0	351619.0
Psq-AGal_010-Ex1-10A-lcwgs-1-1.clmp.fp2_r2_screen	3922.0	6639.0	605.0	301.0	98.0	59.0	29.0	21.0	0.0	6083.0	351397.0
Psq-AGal_011-Ex1-11A-lcwgs-1-1.clmp.fp2_r1_screen	4308.0	6971.0	816.0	330.0	102.0	63.0	26.0	14.0	0.0	7485.0	439109.0
Psq-AGal_011-Ex1-11A-lcwgs-1-1.clmp.fp2_r2_screen	4373.0	6865.0	792.0	386.0	99.0	86.0	25.0	20.0	0.0	7606.0	438972.0
Psq-AGal_014-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	5243.0	4511.0	510.0	298.0	93.0	85.0	38.0	11.0	0.0	6932.0	436651.0
Psq-AGal_014-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	5464.0	4552.0	500.0	343.0	117.0	115.0	32.0	12.0	0.0	6904.0	436333.0
Psq-AGal_015-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	7681.0	8779.0	916.0	518.0	161.0	87.0	41.0	17.0	1.0	11050.0	626582.0
Psq-AGal_015-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	7802.0	8689.0	889.0	588.0	139.0	105.0	45.0	13.0	0.0	10915.0	626648.0
Psq-AGal_017-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	5969.0	6051.0	553.0	422.0	152.0	87.0	44.0	17.0	5.0	9905.0	565731.0
Psq-AGal_017-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	5938.0	6164.0	565.0	414.0	161.0	91.0	32.0	11.0	0.0	9711.0	565849.0
Psq-AGal_019-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	4678.0	3338.0	544.0	341.0	97.0	81.0	39.0	7.0	1.0	6437.0	454612.0
Psq-AGal_019-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	4937.0	3323.0	564.0	331.0	103.0	107.0	34.0	16.0	4.0	6379.0	454377.0
Psq-AGal_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	1145.0	3682.0	301.0	107.0	44.0	14.0	14.0	4.0	0.0	3396.0	174208.0
Psq-AGal_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	1173.0	3617.0	281.0	96.0	39.0	16.0	8.0	5.0	1.0	3380.0	174299.0
Psq-AGal_021-Ex1-9B-lcwgs-1-1.clmp.fp2_r1_screen	13468.0	9193.0	783.0	939.0	298.0	212.0	85.0	20.0	0.0	17932.0	1111091.0
Psq-AGal_021-Ex1-9B-lcwgs-1-1.clmp.fp2_r2_screen	13577.0	9119.0	773.0	1025.0	331.0	213.0	116.0	31.0	1.0	17859.0	1110976.0
Psq-AGal_022-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	5510.0	9291.0	1266.0	356.0	143.0	80.0	31.0	19.0	1.0	9946.0	551287.0
Psq-AGal_022-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	5621.0	9261.0	1301.0	390.0	141.0	74.0	44.0	23.0	0.0	9846.0	551229.0
Psq-AGal_023-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	8294.0	19947.0	3770.0	582.0	240.0	118.0	44.0	23.0	0.0	20110.0	874047.0
Psq-AGal_023-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	8403.0	19861.0	3802.0	623.0	224.0	109.0	58.0	28.0	1.0	19833.0	874233.0
Psq-AGal_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r1_screen	11695.0	14898.0	4640.0	767.0	283.0	166.0	71.0	26.0	3.0	21950.0	1172950.0
Psq-AGal_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	11957.0	14815.0	4672.0	830.0	317.0	181.0	82.0	23.0	1.0	21744.0	1172827.0
Psq-AGal_025-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	5263.0	4217.0	759.0	484.0	258.0	109.0	50.0	23.0	3.0	10146.0	807945.0
Psq-AGal_025-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	5327.0	4261.0	794.0	455.0	234.0	102.0	49.0	15.0	0.0	9992.0	808028.0
Psq-AGal_026-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	8839.0	4348.0	810.0	666.0	248.0	139.0	52.0	22.0	1.0	12816.0	912807.0
Psq-AGal_026-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	8997.0	4256.0	771.0	668.0	233.0	126.0	58.0	22.0	1.0	12809.0	912807.0
Psq-AGal_027-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	9655.0	13508.0	1400.0	975.0	425.0	173.0	91.0	44.0	0.0	24886.0	1449030.0
Psq-AGal_027-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	9827.0	13445.0	1427.0	969.0	391.0	171.0	87.0	41.0	5.0	24494.0	1449330.0
Psq-AGal_028-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	9651.0	7666.0	667.0	673.0	273.0	125.0	41.0	25.0	0.0	16140.0	1004871.0
Psq-AGal_028-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	9575.0	7503.0	679.0	675.0	284.0	135.0	70.0	27.0	2.0	15895.0	1005287.0
Psq-AGal_029-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	12289.0	10647.0	893.0	804.0	362.0	190.0	69.0	50.0	4.0	22692.0	1270661.0
Psq-AGal_029-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	12332.0	10659.0	894.0	841.0	365.0	206.0	73.0	36.0	5.0	22589.0	1270661.0
Psq-AGal_030-Ex1-6C-lcwgs-1-1.clmp.fp2_r1_screen	7593.0	14822.0	1101.0	694.0	364.0	121.0	71.0	25.0	2.0	21063.0	1347916.0
Psq-AGal_030-Ex1-6C-lcwgs-1-1.clmp.fp2_r2_screen	7757.0	14906.0	1094.0	712.0	342.0	118.0	70.0	29.0	6.0	20961.0	1347777.0
Psq-AGal_031-Ex1-7C-lcwgs-1-1.clmp.fp2_r1_screen	19791.0	12926.0	1454.0	1416.0	479.0	317.0	167.0	64.0	2.0	28247.0	1564846.0
Psq-AGal_031-Ex1-7C-lcwgs-1-1.clmp.fp2_r2_screen	20383.0	12811.0	1438.0	1493.0	467.0	311.0	144.0	48.0	6.0	27925.0	1564683.0
Psq-AGal_032-Ex1-8C-lcwgs-1-1.clmp.fp2_r1_screen	4498.0	1609.0	419.0	364.0	165.0	70.0	53.0	18.0	0.0	6802.0	637061.0
Psq-AGal_032-Ex1-8C-lcwgs-1-1.clmp.fp2_r2_screen	4627.0	1631.0	407.0	352.0	156.0	73.0	57.0	13.0	1.0	6746.0	636996.0
Psq-AGal_033-Ex1-9C-lcwgs-1-1.clmp.fp2_r1_screen	15927.0	6366.0	1037.0	1145.0	444.0	219.0	108.0	31.0	0.0	25941.0	1559396.0
Psq-AGal_033-Ex1-9C-lcwgs-1-1.clmp.fp2_r2_screen	16060.0	6348.0	1049.0	1135.0	467.0	209.0	104.0	35.0	3.0	25647.0	1559557.0
Psq-AGal_034-Ex1-10C-lcwgs-1-1.clmp.fp2_r1_screen	10778.0	11087.0	794.0	722.0	276.0	177.0	86.0	151.0	0.0	18211.0	1148757.0
Psq-AGal_034-Ex1-10C-lcwgs-1-1.clmp.fp2_r2_screen	10971.0	11008.0	815.0	718.0	286.0	170.0	72.0	150.0	2.0	17852.0	1148995.0
Psq-AGal_035-Ex1-11C-lcwgs-1-1.clmp.fp2_r1_screen	5686.0	10105.0	730.0	387.0	121.0	61.0	40.0	13.0	3.0	12038.0	461287.0
Psq-AGal_035-Ex1-11C-lcwgs-1-1.clmp.fp2_r2_screen	5782.0	9966.0	739.0	421.0	144.0	64.0	35.0	14.0	3.0	11917.0	461386.0
Psq-AGal_036-Ex1-12C-lcwgs-1-1.clmp.fp2_r1_screen	6247.0	6991.0	1323.0	541.0	370.0	75.0	64.0	30.0	2.0	17381.0	1194630.0
Psq-AGal_036-Ex1-12C-lcwgs-1-1.clmp.fp2_r2_screen	6451.0	6973.0	1303.0	569.0	420.0	115.0	54.0	21.0	1.0	17240.0	1194507.0
Psq-AGal_037-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	5142.0	4073.0	940.0	489.0	101.0	89.0	38.0	17.0	0.0	8048.0	447472.0
Psq-AGal_037-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	5218.0	4043.0	929.0	517.0	90.0	88.0	29.0	13.0	0.0	7963.0	447519.0
Psq-AGal_038-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	11308.0	5911.0	1264.0	977.0	625.0	190.0	111.0	40.0	0.0	24301.0	1891473.0
Psq-AGal_038-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	11531.0	5977.0	1320.0	1028.0	566.0	209.0	146.0	38.0	2.0	24103.0	1891280.0
Psq-AGal_039-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	15413.0	9238.0	1254.0	1135.0	471.0	248.0	135.0	44.0	0.0	25031.0	1547282.0
Psq-AGal_039-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	15605.0	9155.0	1232.0	1196.0	428.0	256.0	139.0	42.0	1.0	24915.0	1547282.0
Psq-AGal_040-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	13486.0	9014.0	2612.0	1071.0	442.0	165.0	98.0	42.0	0.0	23998.0	1501735.0
Psq-AGal_040-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	13805.0	8959.0	2702.0	1101.0	407.0	186.0	94.0	53.0	2.0	23929.0	1501425.0
Psq-AGal_041-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	12988.0	6156.0	894.0	980.0	420.0	194.0	102.0	33.0	7.0	22861.0	1414010.0
Psq-AGal_041-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	12863.0	6141.0	937.0	961.0	454.0	185.0	113.0	47.0	3.0	22785.0	1414156.0
Psq-AGal_042-Ex1-6D-lcwgs-1-1.clmp.fp2_r1_screen	16381.0	14736.0	1317.0	1015.0	440.0	259.0	102.0	39.0	10.0	26388.0	1756271.0
Psq-AGal_042-Ex1-6D-lcwgs-1-1.clmp.fp2_r2_screen	16773.0	14662.0	1334.0	1158.0	428.0	263.0	127.0	35.0	3.0	26267.0	1755908.0
Psq-AGal_043-Ex1-7D-lcwgs-1-1.clmp.fp2_r1_screen	8264.0	4424.0	488.0	521.0	248.0	93.0	51.0	24.0	0.0	13270.0	761742.0
Psq-AGal_043-Ex1-7D-lcwgs-1-1.clmp.fp2_r2_screen	8311.0	4349.0	538.0	578.0	276.0	117.0	45.0	16.0	1.0	13152.0	761742.0
Psq-AGal_044-Ex1-8D-lcwgs-1-1.clmp.fp2_r1_screen	7834.0	3435.0	538.0	609.0	213.0	107.0	47.0	19.0	1.0	12267.0	935434.0
Psq-AGal_044-Ex1-8D-lcwgs-1-1.clmp.fp2_r2_screen	7862.0	3427.0	529.0	571.0	219.0	129.0	55.0	14.0	1.0	12359.0	935338.0
Psq-AGal_045-Ex1-9D-lcwgs-1-1.clmp.fp2_r1_screen	7097.0	10879.0	1275.0	680.0	388.0	126.0	68.0	53.0	0.0	20653.0	1113365.0
Psq-AGal_045-Ex1-9D-lcwgs-1-1.clmp.fp2_r2_screen	7186.0	10779.0	1246.0	685.0	347.0	108.0	58.0	56.0	3.0	20405.0	1113711.0
Psq-AGal_046-Ex1-10D-lcwgs-1-1.clmp.fp2_r1_screen	8604.0	10559.0	1130.0	765.0	511.0	132.0	77.0	27.0	2.0	23614.0	1504778.0
Psq-AGal_046-Ex1-10D-lcwgs-1-1.clmp.fp2_r2_screen	8943.0	10485.0	1101.0	699.0	455.0	134.0	92.0	36.0	7.0	23314.0	1504933.0
Psq-AGal_047-Ex1-11D-lcwgs-1-1.clmp.fp2_r1_screen	6302.0	14406.0	1901.0	537.0	326.0	94.0	57.0	29.0	1.0	21987.0	1089667.0
