Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Coral	Bird	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Pli-AMvi_004-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	2427.0	1930.0	1538.0	189.0	98.0	80.0	20.0	14.0	0.0	0.0	36604.0	195036.0
Pli-AMvi_004-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	2389.0	1991.0	1535.0	185.0	90.0	81.0	25.0	15.0	1.0	0.0	36136.0	195488.0
Pli-AMvi_004-Ex1-1A-lcwgs-2-1.clmp.fp2_r1_screen	19621.0	1436.0	129.0	11.0	0.0	0.0	0.0	5.0	0.0	0.0	9274.0	42223.0
Pli-AMvi_004-Ex1-1A-lcwgs-2-1.clmp.fp2_r2_screen	19348.0	1367.0	117.0	9.0	0.0	1.0	0.0	7.0	1.0	0.0	8819.0	43030.0
Pli-AMvi_005-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	30.0	31.0	24.0	1.0	2.0	5.0	0.0	0.0	0.0	0.0	999.0	3327.0
Pli-AMvi_005-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	30.0	37.0	25.0	5.0	2.0	3.0	1.0	2.0	0.0	0.0	1024.0	3290.0
Pli-AMvi_005-Ex1-2A-lcwgs-2-1.clmp.fp2_r1_screen	58.0	7.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	80.0	522.0
Pli-AMvi_005-Ex1-2A-lcwgs-2-1.clmp.fp2_r2_screen	59.0	11.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	75.0	523.0
Pli-AMvi_006-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	10.0	24.0	4.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	769.0	3334.0
Pli-AMvi_006-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	8.0	27.0	6.0	8.0	1.0	2.0	0.0	4.0	0.0	0.0	795.0	3296.0
Pli-AMvi_006-Ex1-3A-lcwgs-2-1.clmp.fp2_r1_screen	14.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	374.0
Pli-AMvi_006-Ex1-3A-lcwgs-2-1.clmp.fp2_r2_screen	14.0	7.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	66.0	376.0
Pli-AMvi_007-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	428.0	847.0	278.0	80.0	30.0	44.0	20.0	3.0	0.0	0.0	9309.0	82829.0
Pli-AMvi_007-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	412.0	780.0	277.0	82.0	24.0	57.0	13.0	3.0	0.0	0.0	9326.0	82894.0
Pli-AMvi_007-Ex1-4A-lcwgs-2-1.clmp.fp2_r1_screen	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	373.0
Pli-AMvi_007-Ex1-4A-lcwgs-2-1.clmp.fp2_r2_screen	12.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	68.0	368.0
