Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Pli-AMvi_004-Ex1-1A-lcwgs-X-1.clmp.fp2_r1_screen	310618	36373.0	11.71	28.0	0.01	0.0	0.0	254.0	0.08	3533.0	1.14	61028.0	19.64	48966.0	15.76	29235.0	9.41	35082.0	11.299999999999999	29749.0	9.58	30759.0	9.89	31792.0	10.24	237250	76.38
Pli-AMvi_004-Ex1-1A-lcwgs-X-1.clmp.fp2_r2_screen	310618	35904.0	11.56	33.0	0.01	0.0	0.0	194.0	0.06	3791.0	1.22	59505.0	19.16	48086.0	15.469999999999999	28525.0	9.190000000000001	34640.0	11.15	29076.0	9.36	30073.0	9.69	31254.0	10.069999999999999	238492	76.78
Pli-AMvi_005-Ex1-2A-lcwgs-X-1.clmp.fp2_r1_screen	5086	1038.0	20.4	2.0	0.04	0.0	0.0	2.0	0.04	447.0	8.79	994.0	19.540000000000003	1107.0	21.770000000000003	888.0	17.46	1016.0	19.98	906.0	17.810000000000002	939.0	18.46	943.0	18.54	3846	75.62
Pli-AMvi_005-Ex1-2A-lcwgs-X-1.clmp.fp2_r2_screen	5086	1052.0	20.680000000000003	2.0	0.04	0.0	0.0	6.0	0.12	499.0	9.809999999999999	1045.0	20.540000000000003	1136.0	22.330000000000002	942.0	18.52	1043.0	20.51	935.0	18.380000000000003	965.0	18.97	970.0	19.069999999999997	3810	74.93
Pli-AMvi_006-Ex1-3A-lcwgs-X-1.clmp.fp2_r1_screen	4612	816.0	17.69	0.0	0.0	0.0	0.0	3.0	0.06	431.0	9.34	718.0	15.57	860.0	18.650000000000002	698.0	15.139999999999999	803.0	17.41	699.0	15.16	752.0	16.31	750.0	16.26	3707	80.38
Pli-AMvi_006-Ex1-3A-lcwgs-X-1.clmp.fp2_r2_screen	4612	827.0	17.94	0.0	0.0	0.0	0.0	7.0	0.15	469.0	10.17	765.0	16.59	885.0	19.200000000000003	758.0	16.44	833.0	18.06	744.0	16.13	772.0	16.74	775.0	16.8	3674	79.68
Pli-AMvi_007-Ex1-4A-lcwgs-X-1.clmp.fp2_r1_screen	94310	9045.0	9.59	0.0	0.0	0.0	0.0	20.0	0.02	2186.0	2.32	7637.0	8.09	10103.0	10.709999999999999	6986.0	7.4	8825.0	9.35	7463.0	7.91	7889.0	8.370000000000001	7688.0	8.15	83190	88.21
Pli-AMvi_007-Ex1-4A-lcwgs-X-1.clmp.fp2_r2_screen	94310	9065.0	9.61	3.0	0.0	0.0	0.0	24.0	0.03	2244.0	2.37	7597.0	8.06	10028.0	10.64	6960.0	7.38	8786.0	9.32	7390.0	7.83	7856.0	8.33	7685.0	8.15	83238	88.26
Pli-AMvi_008-Ex1-1B-lcwgs-X-1.clmp.fp2_r1_screen	290376	24275.0	8.35	18.0	0.01	0.0	0.0	298.0	0.1	5150.0	1.77	24814.0	8.55	29796.0	10.25	16047.0	5.5200000000000005	22765.0	7.85	17614.0	6.07	19325.0	6.66	18397.0	6.33	251465	86.6
Pli-AMvi_008-Ex1-1B-lcwgs-X-1.clmp.fp2_r2_screen	290376	24295.0	8.370000000000001	16.0	0.0	0.0	0.0	296.0	0.1	5393.0	1.85	24644.0	8.49	29872.0	10.29	15993.0	5.51	22837.0	7.87	17657.0	6.08	19408.0	6.6899999999999995	18505.0	6.37	251436	86.59
Pli-AMvi_009-Ex1-2B-lcwgs-X-1.clmp.fp2_r1_screen	5749	1165.0	20.259999999999998	0.0	0.0	0.0	0.0	2.0	0.03	505.0	8.78	1105.0	19.22	1218.0	21.189999999999998	1002.0	17.44	1117.0	19.42	1009.0	17.55	1045.0	18.17	1042.0	18.13	4384	76.27
Pli-AMvi_009-Ex1-2B-lcwgs-X-1.clmp.fp2_r2_screen	5749	1224.0	21.28	1.0	0.02	0.0	0.0	7.0	0.12	564.0	9.81	1169.0	20.33	1279.0	22.24	1067.0	18.560000000000002	1187.0	20.65	1065.0	18.52	1104.0	19.21	1108.0	19.28	4333	75.37
Pli-AMvi_010-Ex1-7A-lcwgs-X-1.clmp.fp2_r1_screen	1018305	49576.0	4.87	121.0	0.01	0.0	0.0	204.0	0.02	8539.0	0.8300000000000001	133158.0	13.080000000000002	93496.0	9.18	28543.0	2.79	45350.0	4.45	32926.0	3.2399999999999998	38070.0	3.74	33986.0	3.33	844073	82.89
Pli-AMvi_010-Ex1-7A-lcwgs-X-1.clmp.fp2_r2_screen	1018305	49564.0	4.87	123.0	0.01	0.0	0.0	178.0	0.02	8437.0	0.8200000000000001	130525.0	12.82	91925.0	9.03	28223.0	2.77	45215.0	4.44	32788.0	3.22	37698.0	3.69	33929.0	3.33	846618	83.14
