Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Sfu-ABai_005-Ex1-1A-lcwgs-1-1.clmp.r1										0.6146122513023506	0.20972759280066736	0.7914275370167765	0.327113289834278	0.1938524110902048	0.050153831537230666	0.0																																																																																																																																							
Sfu-ABai_005-Ex1-1A-lcwgs-1-1.clmp.r2										0.6231502358357908	0.22327797824034673	0.7482302150062449	0.2565331200200655	0.09790755868555694	0.03360887461388191	0.0																																																																																																																																							
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.clmp.r1										0.33155393483525214	0.135940209409571	0.4063390027499512	0.09205299573386544	0.051845316771471306	0.043246137421047375	0.0																																																																																																																																							
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.clmp.r2										0.3592032521745506	0.150399011592277	0.3830145572870077	0.03759200555358009	0.042993288146072776	0.030837810458159497	0.0																																																																																																																																							
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.clmp.r1										0.3590013229097059	0.16256713784655583	0.45690722763129926	0.10817831773033562	0.04846763864694148	0.03353513993563335	0.0																																																																																																																																							
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.clmp.r2										0.3662709523819653	0.16062913153263336	0.4006183136783111	0.07343145723138073	0.055102349617712314	0.0	0.0																																																																																																																																							
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.clmp.r1										0.31763862102707013	0.13799045410099806	0.35085360960872747	0.05157813912451841	0.06719265018992118	0.0	0.04823803991224599																																																																																																																																							
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.clmp.r2										0.3068740043905957	0.13095762627620244	0.3468160600023552	0.044186184460147104	0.05539002074949799	0.03744428470748001	0.0																																																																																																																																							
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.clmp.r1										0.314375827886589	0.1335553297135628	0.4238452155016368	0.07971918358392835	0.032795170789230665	0.0	0.0																																																																																																																																							
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.clmp.r2										0.30818443374838717	0.12910859839010858	0.36782363680068564	0.047188018329540775	0.009165967447930055	0.0	0.0																																																																																																																																							
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.clmp.r1										0.2655482997256791	0.1187487456699987	0.3966130820166093	0.04788418806871911	0.030109784282877423	0.0	0.0																																																																																																																																							
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.clmp.r2										0.29403462482637305	0.16005928248159512	0.31896498010335494	0.05065647785299478	0.009421882291481075	0.0	0.0																																																																																																																																							
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.clmp.r1										0.6357477663126995	0.18577438238635136	0.572058709798241	0.11490115570589557	0.02942862374227458	0.0	0.0																																																																																																																																							
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.clmp.r2										0.6822704541275381	0.20580186525793295	0.5768620439759364	0.07727857562291966	0.010908385170448415	0.0	0.0																																																																																																																																							
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.clmp.r1										0.3296269701345733	0.12662556846401798	0.415572958928609	0.14484361212428773	0.07201780185558647	0.0	0.0																																																																																																																																							
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.clmp.r2										0.3452523431221923	0.13654464089316987	0.45237504130802425	0.11135667791280365	0.02529562695086566	0.0	0.0																																																																																																																																							
