Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	220952.0	226379.0	32829.0	20758.0	19843.0	3932.0	3008.0	764.0	107.0	1032373.0	20802157.0
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	220935.0	224626.0	32733.0	20420.0	19169.0	4062.0	2925.0	732.0	40.0	1026358.0	20811102.0
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	165134.0	198781.0	29376.0	15831.0	11878.0	2676.0	2168.0	549.0	30.0	688132.0	16520801.0
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	165076.0	197952.0	29123.0	15433.0	11391.0	2574.0	2116.0	521.0	27.0	683288.0	16527855.0
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	209855.0	245390.0	67783.0	19995.0	16524.0	4126.0	2886.0	856.0	44.0	1059763.0	19505522.0
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	210522.0	244748.0	67453.0	19590.0	16210.0	4055.0	2915.0	851.0	39.0	1050272.0	19516089.0
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	125775.0	110860.0	28062.0	13054.0	8078.0	1819.0	1760.0	384.0	18.0	445937.0	14688716.0
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	126045.0	110396.0	27984.0	12641.0	8019.0	1824.0	1623.0	413.0	19.0	443698.0	14691801.0
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	146616.0	134430.0	21279.0	14380.0	8652.0	2232.0	2045.0	451.0	8.0	512399.0	15516565.0
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	146655.0	132678.0	20914.0	14164.0	8710.0	2131.0	2039.0	449.0	20.0	509824.0	15521473.0
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	102592.0	57754.0	15937.0	10309.0	6311.0	1354.0	1329.0	297.0	8.0	367994.0	12369239.0
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	102326.0	57697.0	15583.0	10272.0	6384.0	1406.0	1237.0	304.0	16.0	368660.0	12369239.0
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	165278.0	77744.0	30475.0	17882.0	10452.0	2733.0	2566.0	581.0	63.0	674394.0	16940589.0
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	164924.0	76953.0	30219.0	17829.0	10050.0	2641.0	2506.0	512.0	35.0	672914.0	16944174.0
