#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3320726	3274911	98.63	2438	0.07	824	0.02	3221	0.10	39332	1.18
Ecoli	3320726	3320717	100.00	0	0.00	0	0.00	2	0.00	7	0.00
PhiX	3320726	3320726	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3320726	3320721	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Vectors	3320726	3318837	99.95	2	0.00	0	0.00	141	0.00	1746	0.05
Bacteria_24k	3320726	3287099	98.99	1380	0.04	2870	0.09	2379	0.07	26998	0.81
Protists_1k	3320726	3253018	97.95	5149	0.16	10636	0.32	2503	0.08	49420	1.49
Viruses	3320726	3297187	99.29	87	0.00	41	0.00	3821	0.12	19590	0.59
Fungi_RefSeq_release	3320726	3276190	98.66	1106	0.03	846	0.03	4079	0.12	38505	1.16
Coral	3320726	3295688	99.26	161	0.00	71	0.00	2394	0.07	22412	0.67
Bird	3320726	3286925	98.98	1063	0.03	272	0.01	5587	0.17	26879	0.81
Plant	3320726	3298978	99.35	140	0.00	39	0.00	2872	0.09	18697	0.56

%Hit_no_genomes: 97.56
