Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GotPopAL11_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL11_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	661047.0	0.0	150.0	43.0	92.92992975553426	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL11_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL11_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	661047.0	0.0	150.0	43.0	93.62123170328229	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL12_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL12_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1100656.0	0.0	150.0	43.0	92.84442964629072	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL12_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL12_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1100656.0	0.0	150.0	43.0	93.57558380356139	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL13_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL13_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2207466.0	0.0	150.0	43.0	92.87761164158867	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL13_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL13_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2207466.0	0.0	150.0	43.0	93.58355953046441	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL14_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL14_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	950052.0	0.0	150.0	43.0	92.69085185534861	150.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
GotPopAL14_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL14_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	950052.0	0.0	150.0	43.0	93.41519414170023	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL15_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL15_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1251084.0	0.0	150.0	43.0	92.78892453078772	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL15_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL15_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1251084.0	0.0	150.0	43.0	93.39557064050896	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL16_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL16_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1072940.0	0.0	150.0	42.0	93.43311711028372	150.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
GotPopAL16_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL16_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1072940.0	0.0	150.0	42.0	94.12830391445213	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL17_CKDL230010745-1A_HJJCCCCX2_L2_1	GotPopAL17_CKDL230010745-1A_HJJCCCCX2_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1871571.0	0.0	150.0	43.0	92.80168916306269	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
GotPopAL17_CKDL230010745-1A_HJJCCCCX2_L2_2	GotPopAL17_CKDL230010745-1A_HJJCCCCX2_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1871571.0	0.0	150.0	43.0	93.62721706762403	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	fail
