Sequence_Name	Extraction_ID
PbA0900112E	Pbb-AGal_001-Ex1-12E-lcwgs-1-1
PbA0900212F	Pbb-AGal_002-Ex1-12F-lcwgs-1-1
PbA0900312G	Pbb-AGal_003-Ex1-12G-lcwgs-1-1
PbA0900412H	Pbb-AGal_004-Ex1-12H-lcwgs-1-1
PbA0900501A	Pbb-AGal_005-Ex1-1A-lcwgs-1-1
PbA0900601B	Pbb-AGal_006-Ex1-1B-lcwgs-1-1
PbA0900701C	Pbb-AGal_007-Ex1-1C-lcwgs-1-1
PbA0900801D	Pbb-AGal_008-Ex1-1D-lcwgs-1-1
PbA0900901E	Pbb-AGal_009-Ex1-1E-lcwgs-1-1
PbA0901001F	Pbb-AGal_010-Ex1-1F-lcwgs-1-1
PbA0901101G	Pbb-AGal_011-Ex1-1G-lcwgs-1-1
PbA0901201H	Pbb-AGal_012-Ex1-1H-lcwgs-1-1
PbA0901302A	Pbb-AGal_013-Ex1-2A-lcwgs-1-1
PbA0901402B	Pbb-AGal_014-Ex1-2B-lcwgs-1-1
PbA0901502C	Pbb-AGal_015-Ex1-2C-lcwgs-1-1
PbA0901602D	Pbb-AGal_016-Ex1-2D-lcwgs-1-1
PbA0901702E	Pbb-AGal_017-Ex1-2E-lcwgs-1-1
PbA0901802F	Pbb-AGal_018-Ex1-2F-lcwgs-1-1
PbA0901902G	Pbb-AGal_019-Ex1-2G-lcwgs-1-1
PbA0902002H	Pbb-AGal_020-Ex1-2H-lcwgs-1-1
PbA0902103A	Pbb-AGal_021-Ex1-3A-lcwgs-1-1
PbA0902203B	Pbb-AGal_022-Ex1-3B-lcwgs-1-1
PbA0902303C	Pbb-AGal_023-Ex1-3C-lcwgs-1-1
PbA0902403D	Pbb-AGal_024-Ex1-3D-lcwgs-1-1
PbA0902503E	Pbb-AGal_025-Ex1-3E-lcwgs-1-1
PbA0902603F	Pbb-AGal_026-Ex1-3F-lcwgs-1-1
PbA0902703G	Pbb-AGal_027-Ex1-3G-lcwgs-1-1
PbA0902803H	Pbb-AGal_028-Ex1-3H-lcwgs-1-1
PbA0902904A	Pbb-AGal_029-Ex1-4A-lcwgs-1-1
PbA0903004B	Pbb-AGal_030-Ex1-4B-lcwgs-1-1
PbA0903104C	Pbb-AGal_031-Ex1-4C-lcwgs-1-1
PbA0903204D	Pbb-AGal_032-Ex1-4D-lcwgs-1-1
PbA0903304E	Pbb-AGal_033-Ex1-4E-lcwgs-1-1
PbA0903404F	Pbb-AGal_034-Ex1-4F-lcwgs-1-1
PbA0903504G	Pbb-AGal_035-Ex1-4G-lcwgs-1-1
PbA0903604H	Pbb-AGal_036-Ex1-4H-lcwgs-1-1
PbC0700105A	Pbb-CGal_001-Ex1-5A-lcwgs-1-1
PbC0700205B	Pbb-CGal_002-Ex1-5B-lcwgs-1-1
PbC0700305C	Pbb-CGal_003-Ex1-5C-lcwgs-1-1
PbC0700405D	Pbb-CGal_004-Ex1-5D-lcwgs-1-1
PbC0700505E	Pbb-CGal_005-Ex1-5E-lcwgs-1-1
PbC0700605F	Pbb-CGal_006-Ex1-5F-lcwgs-1-1
PbC0700705G	Pbb-CGal_007-Ex1-5G-lcwgs-1-1
PbC0700805H	Pbb-CGal_008-Ex1-5H-lcwgs-4-1
PbC1100906A	Pbb-CVer_009-Ex1-6A-lcwgs-1-1
PbC1101006B	Pbb-CVer_010-Ex1-6B-lcwgs-1-1
PbC1101106C	Pbb-CVer_011-Ex1-6C-lcwgs-1-1
PbC1101206D	Pbb-CVer_012-Ex1-6D-lcwgs-1-1
PbC1101306E	Pbb-CVer_013-Ex1-6E-lcwgs-1-1
PbC1101406F	Pbb-CVer_014-Ex1-6F-lcwgs-1-1
PbC1101506G	Pbb-CVer_015-Ex1-6G-lcwgs-1-1
PbC1101606H	Pbb-CVer_016-Ex1-6H-lcwgs-1-1
PbC1101707A	Pbb-CVer_017-Ex1-7A-lcwgs-1-1
PbC1101807B	Pbb-CVer_018-Ex1-7B-lcwgs-1-1
PbC1101907C	Pbb-CVer_019-Ex1-7C-lcwgs-1-1
PbC1102007D	Pbb-CVer_020-Ex1-7D-lcwgs-1-1
PbC1102107E	Pbb-CVer_021-Ex1-7E-lcwgs-1-1
PbC1102207F	Pbb-CVer_022-Ex1-7F-lcwgs-1-1
PbC1102307G	Pbb-CVer_023-Ex1-7G-lcwgs-1-1
PbC1102407H	Pbb-CVer_024-Ex1-7H-lcwgs-1-1
PbC1102508A	Pbb-CVer_025-Ex1-8A-lcwgs-1-1
