Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Sde-ABol_013-Ex1-1B-lcwgs-1-1.clmp.r1r2_fastp	1566480.0	0.0	0.0	9226.0	0.0
Sde-ABol_014-Ex1-2B-lcwgs-1-1.clmp.r1r2_fastp	8006.0	0.0	0.0	100.0	0.0
Sde-ABol_015-Ex1-3B-lcwgs-1-1.clmp.r1r2_fastp	480836.0	0.0	0.0	4118.0	0.0
Sde-ABol_016-Ex1-4B-lcwgs-1-1.clmp.r1r2_fastp	703224.0	0.0	0.0	54602.0	0.0
Sde-ABol_017-Ex1-5B-lcwgs-1-1.clmp.r1r2_fastp	650596.0	0.0	0.0	47854.0	0.0
Sde-ABol_018-Ex1-6B-lcwgs-1-1.clmp.r1r2_fastp	104428.0	0.0	0.0	1216.0	0.0
Sde-ABol_019-Ex1-7B-lcwgs-1-1.clmp.r1r2_fastp	56682.0	0.0	0.0	5132.0	0.0
Sde-ABol_020-Ex1-8B-lcwgs-1-1.clmp.r1r2_fastp	3805638.0	0.0	0.0	23310.0	0.0
Sde-ABol_021-Ex1-9B-lcwgs-1-1.clmp.r1r2_fastp	3580.0	0.0	0.0	94.0	0.0
Sde-ABol_022-Ex1-10B-lcwgs-1-1.clmp.r1r2_fastp	56276.0	0.0	0.0	442.0	0.0
Sde-ABol_023-Ex1-11B-lcwgs-1-1.clmp.r1r2_fastp	138510.0	0.0	0.0	4870.0	0.0
Sde-ABol_024-Ex1-12B-lcwgs-1-1.clmp.r1r2_fastp	4028.0	0.0	0.0	166.0	0.0
Sde-ABol_026-Ex1-2C-lcwgs-1-1.clmp.r1r2_fastp	442246.0	0.0	0.0	2674.0	0.0
Sde-ABol_027-Ex1-3C-lcwgs-1-1.clmp.r1r2_fastp	582902.0	0.0	0.0	12478.0	0.0
Sde-ABol_028-Ex1-4C-lcwgs-1-1.clmp.r1r2_fastp	2127284.0	0.0	0.0	12534.0	0.0
Sde-ABol_029-Ex1-5C-lcwgs-1-1.clmp.r1r2_fastp	8088.0	0.0	0.0	284.0	0.0
Sde-ABol_030-Ex1-6C-lcwgs-1-1.clmp.r1r2_fastp	1950924.0	0.0	0.0	15396.0	0.0
Sde-ABol_031-Ex1-7C-lcwgs-1-1.clmp.r1r2_fastp	232502.0	0.0	0.0	8650.0	0.0
Sde-ABol_032-Ex1-8C-lcwgs-1-1.clmp.r1r2_fastp	380078.0	0.0	0.0	3672.0	0.0
Sde-ABol_033-Ex1-9C-lcwgs-1-1.clmp.r1r2_fastp	19121546.0	0.0	0.0	124750.0	0.0
Sde-ABol_034-Ex1-10C-lcwgs-1-1.clmp.r1r2_fastp	6372.0	0.0	0.0	232.0	0.0
