Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Sfu-ABai_005-Ex1-1A-lcwgs-1-1.1										3.862461659985002	1.1436945084243542	2.666822934146924	1.8023204217538304	4.00713778897412	0.6376815071351664	0.6410831771051191																																																																																																																																							
Sfu-ABai_005-Ex1-1A-lcwgs-1-1.2										3.77544255517463	1.1283500647384497	2.595583029307302	1.6924772028540531	3.4540704205380983	0.5087720351700246	0.1706265240852664																																																																																																																																							
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.1										2.9610056327562346	0.8698043659029797	1.9916661878473179	1.2350523607593158	2.797157660689646	0.5108457224540632	0.3198517813668343																																																																																																																																							
Sfu-ABai_006-Ex1-1B-lcwgs-1-1.2										2.8398692344301413	0.8415698994860344	1.9512682951011389	1.154703745970933	2.4804645955202607	0.45023454815645353	0.1680155274886965																																																																																																																																							
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.1										3.6488332376481707	1.1278889760991542	2.400493967030212	1.5106523745145528	3.527605771034032	0.7204339891272794	0.23908177056139227																																																																																																																																							
Sfu-ABai_007-Ex1-1C-lcwgs-1-1.2										3.5671536763568166	1.078715600163961	2.3096240939785986	1.4812456611497185	3.105340680925665	0.5370943094349001	0.1707582168484601																																																																																																																																							
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.1										2.7972714024778744	0.8301865494872054	1.7273922562016863	1.210684527761796	2.5491365638045274	0.44310588981757504	0.2059781942939853																																																																																																																																							
Sfu-ABai_008-Ex1-1D-lcwgs-1-1.2										2.6467501966433984	0.7989923608782621	1.822891125316536	1.1481655870117686	2.1788288047232203	0.5074308688577934	0.08071148444335224																																																																																																																																							
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.1										2.216628419067984	0.7373946126253639	1.8428008533461733	1.2772605721768249	1.861961059297712	0.061986364455387175	0.06646599919597404																																																																																																																																							
Sfu-ABai_009-Ex1-1E-lcwgs-1-1.2										2.175431499273127	0.6795509849465228	1.8508164451196323	1.1552964431990016	1.5828522857346399	0.02860949666056341	0.08501269852304215																																																																																																																																							
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.1										2.263428281859634	0.6342586108112871	1.7787225849732013	1.1434230995228538	1.955735472138831	0.03504371645427209	0.07020017671585264																																																																																																																																							
Sfu-ABai_010-Ex1-1F-lcwgs-1-1.2										2.1345895435208906	0.6567327601762755	1.6533185661479044	1.0713038197372309	1.647562284872913	0.028658110033772395	0.08046202536984678																																																																																																																																							
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.1										3.088640488233355	0.9353462835374206	2.4053324956421553	1.5966868728509491	2.889871988774588	0.13510407058173518	0.0																																																																																																																																							
Sfu-ABai_011-Ex1-1G-lcwgs-1-1.2										2.992170332267885	0.9319003676064582	2.29739341550208	1.4908918070872417	2.491516616608371	0.09930503110883843	0.1025086127322372																																																																																																																																							
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.1										3.4861800247309125	1.1784453039230975	2.4155941729639263	1.3873116253129332	3.5898978230999754	0.6260755476829616	0.04571756016086376																																																																																																																																							
Sfu-ABai_012-Ex1-1H-lcwgs-1-1.2										3.5120665397770345	1.127349675346782	2.3152267130905617	1.3457505785433064	3.2834496116993286	0.4838789839843635	0.13047003132602666																																																																																																																																							
