# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	110	430
+	130	289
+	81	563
+	142	215
+	124	341
+	141	221
+	127	304
+	61	245
+	70	474
+	48	119
+	131	266
+	84	565
+	118	383
+	178	56
+	90	566
+	119	406
+	102	502
+	120	376
+	89	591
+	77	548
+	198	42
+	56	154
+	174	76
+	73	574
+	165	103
+	158	127
+	112	449
+	154	151
+	128	311
+	75	546
+	63	342
+	156	137
+	138	247
+	91	548
+	88	545
+	96	535
+	46	97
+	94	532
+	99	539
+	114	443
+	93	604
+	148	182
+	76	572
+	66	353
+	250	8
+	188	61
+	125	322
+	123	330
+	104	467
+	92	559
+	72	544
+	52	153
+	67	425
+	83	587
+	60	230
+	182	58
+	49	132
+	103	484
+	78	601
+	146	178
+	121	389
+	64	325
+	113	425
+	106	506
+	172	97
+	166	83
+	170	93
+	68	445
+	79	580
+	69	495
+	161	114
+	97	577
+	100	556
+	111	431
+	144	215
+	101	485
+	184	68
+	136	240
+	82	560
+	98	589
+	58	205
+	108	484
+	105	517
+	74	578
+	129	292
+	126	340
+	80	576
+	139	239
+	87	563
+	147	169
+	47	117
+	57	175
+	202	31
+	137	260
+	39	57
+	54	148
+	222	16
+	162	115
+	51	134
+	109	444
+	53	152
+	132	271
+	62	255
+	55	160
+	122	363
+	85	594
+	115	402
+	214	24
+	33	31
+	95	589
+	71	549
+	65	400
+	175	82
+	168	112
+	229	14
+	151	151
+	152	143
+	135	257
+	153	161
+	159	125
+	140	230
+	179	78
+	116	399
+	207	30
+	177	77
+	30	17
+	59	194
+	157	139
+	224	16
+	86	594
+	149	199
+	196	44
+	193	46
+	189	48
+	133	241
+	107	484
+	50	117
+	150	160
+	164	90
+	231	16
+	134	266
+	201	39
+	228	17
+	27	4
+	163	129
+	44	96
+	34	32
+	256	5
+	43	73
+	248	8
+	160	130
+	183	53
+	223	18
+	169	85
+	145	214
+	143	199
+	117	358
+	200	42
+	38	47
+	155	152
+	209	29
+	37	36
+	171	106
+	187	62
+	216	19
+	176	91
+	29	9
+	199	42
+	235	6
+	206	20
+	230	11
+	42	88
+	41	71
+	180	68
+	181	50
+	251	8
+	204	34
+	210	17
+	167	96
+	220	16
+	185	51
+	190	33
+	173	99
+	195	40
+	36	58
+	45	98
+	186	41
+	241	6
+	258	6
+	253	7
+	208	27
+	234	12
+	213	17
+	40	73
+	35	28
+	191	42
+	226	20
+	218	13
+	203	28
+	32	18
+	242	5
+	221	10
+	215	15
+	217	16
+	249	5
+	197	36
+	192	41
+	246	11
+	205	31
+	244	8
+	247	7
+	237	11
+	212	16
+	232	12
+	259	6
+	194	30
+	31	24
+	225	17
+	240	11
+	252	3
+	238	8
+	211	23
+	233	12
+	254	4
+	257	5
+	227	10
+	245	9
+	28	7
+	239	8
+	255	7
+	243	6
+	219	12
+	236	5
+	26	5
-	57	188
-	87	593
-	67	406
-	95	541
-	162	118
-	74	495
-	72	561
-	211	19
-	76	612
-	65	399
-	38	44
-	90	583
-	113	461
-	115	459
-	149	184
-	97	555
-	101	567
-	68	448
-	93	548
-	61	265
-	39	79
-	110	460
-	107	502
-	88	574
-	94	567
-	143	183
-	165	84
-	64	336
-	213	25
-	128	296
-	122	338
-	96	544
-	98	593
-	159	143
-	132	282
-	216	18
-	91	582
-	42	86
-	248	11
-	139	218
-	73	546
-	126	349
-	75	575
-	104	518
-	77	609
-	173	79
-	103	481
-	79	615
-	160	122
-	120	385
-	86	653
-	114	396
-	99	583
-	92	600
-	119	386
-	176	70
-	102	518
-	142	203
-	71	520
-	174	75
-	84	575
-	69	463
-	58	217
-	153	141
-	100	567
-	80	612
-	118	391
-	117	456
-	116	421
-	124	310
-	43	85
-	66	382
-	179	75
-	83	599
-	60	249
-	70	473
-	150	182
-	166	101
-	37	45
-	45	103
-	138	228
-	152	163
-	106	487
-	155	145
-	85	608
-	63	300
-	141	201
-	112	435
-	146	177
-	31	16
-	131	284
-	81	618
-	170	89
-	151	162
-	145	225
-	121	385
-	108	453
-	178	89
-	164	107
-	188	61
-	111	414
-	140	231
-	158	125
-	50	126
-	218	24
-	89	579
-	169	111
-	175	70
-	133	280
-	51	130
-	130	320
-	210	22
-	147	171
-	194	51
-	183	70
-	78	632
-	157	151
-	136	276
-	156	142
-	82	586
-	125	330
-	105	494
-	250	4
-	59	233
-	56	157
-	177	76
-	198	39
-	109	484
-	62	304
-	129	293
-	54	147
-	221	13
-	137	225
-	232	12
-	134	280
-	187	65
-	40	68
-	186	59
-	55	161
-	181	61
-	123	341
-	208	22
-	127	319
-	161	133
-	144	224
-	135	291
-	253	8
-	171	103
-	185	66
-	53	149
-	240	11
-	236	16
-	154	139
-	212	23
-	30	24
-	189	48
-	49	116
-	202	33
-	258	6
-	172	76
-	163	132
-	180	63
-	52	122
-	184	53
-	168	105
-	199	39
-	167	82
-	47	97
-	231	10
-	206	19
-	192	71
-	33	23
-	205	40
-	217	23
-	191	48
-	182	65
-	148	174
-	48	107
-	44	89
-	223	16
-	193	47
-	247	13
-	228	14
-	252	8
-	195	41
-	219	13
-	190	52
-	227	13
-	41	64
-	225	14
-	222	16
-	207	28
-	234	14
-	242	6
-	197	35
-	46	97
-	201	35
-	200	32
-	241	7
-	224	24
-	35	30
-	249	6
-	209	22
-	32	18
-	36	43
-	214	15
-	196	37
-	34	39
-	254	4
-	229	7
-	28	9
-	204	26
-	251	7
-	238	8
-	215	23
-	245	8
-	230	14
-	220	15
-	233	9
-	203	25
-	226	10
-	29	7
-	239	9
-	235	13
-	244	11
-	237	10
-	259	4
-	255	4
-	243	6
-	246	3
-	25	6
-	256	5
-	257	2
-	27	3
-	26	1
