pos	3pG>A
1	0.0359496704613541
2	0.0316045380875203
3	0.0288392213410238
4	0.0135849056603774
5	0.0135440180586907
6	0.0235580828594639
7	0.0150375939849624
8	0.0141176470588235
9	0.00911854103343465
10	0.0173010380622837
11	0.01427498121713
12	0.0144048521607278
13	0.0161166538756715
14	0.0153727901614143
15	0.00913937547600914
16	0.0157109190887667
17	0.0191717791411043
18	0.014308426073132
19	0.0184
20	0.0134069400630915
21	0.0144706778370145
22	0.0197316495659037
23	0.0110847189231987
24	0.017774343122102
25	0.0142292490118577
