Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	918134	71119.0	7.74	0.0	0.0	0.0	0.0	3.0	0.0	8742.0	0.9600000000000001	34284.0	3.74	87169.0	9.49	37766.0	4.11	65762.0	7.16	40417.0	4.3999999999999995	50881.0	5.54	50155.0	5.470000000000001	823566	89.7
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	918134	71758.0	7.82	0.0	0.0	0.0	0.0	0.0	0.0	9049.0	0.99	34732.0	3.78	87692.0	9.55	38173.0	4.16	65873.0	7.17	40943.0	4.46	51323.0	5.58	50449.0	5.5	823015	89.64
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	4126674	318014.0	7.72	3.0	0.0	0.0	0.0	5.0	0.0	41795.0	1.01	152285.0	3.6799999999999997	389412.0	9.43	168872.0	4.09	294517.0	7.14	182959.0	4.43	229200.0	5.55	226142.0	5.49	3704102	89.76
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	4126674	320103.0	7.76	1.0	0.0	0.0	0.0	0.0	0.0	42329.0	1.03	153026.0	3.71	392585.0	9.51	169264.0	4.11	296386.0	7.18	183890.0	4.46	230258.0	5.569999999999999	227576.0	5.5200000000000005	3701213	89.69
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	8697768	659723.0	7.59	18.0	0.0	0.0	0.0	2.0	0.0	79252.0	0.91	316734.0	3.65	808608.0	9.29	353215.0	4.06	608818.0	7.01	368973.0	4.24	466058.0	5.359999999999999	463536.0	5.34	7821032	89.92
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	8697768	664206.0	7.65	10.0	0.0	0.0	0.0	0.0	0.0	79851.0	0.91	319331.0	3.6799999999999997	813933.0	9.36	355649.0	4.09	612949.0	7.05	371592.0	4.27	469879.0	5.41	467009.0	5.38	7816684	89.87
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	4990298	379434.0	7.6	2.0	0.0	0.0	0.0	2.0	0.0	46273.0	0.93	179477.0	3.59	467044.0	9.35	201328.0	4.03	349963.0	7.0	215038.0	4.32	269102.0	5.390000000000001	266373.0	5.33	4483283	89.84
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	4990298	380933.0	7.63	3.0	0.0	0.0	0.0	1.0	0.0	46534.0	0.9400000000000001	181106.0	3.63	469247.0	9.4	201861.0	4.05	351351.0	7.03	217138.0	4.3500000000000005	270613.0	5.42	267794.0	5.37	4481287	89.8
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	3218315	236586.0	7.34	2.0	0.0	0.0	0.0	3.0	0.0	30020.0	0.9400000000000001	112606.0	3.5	290877.0	9.040000000000001	123760.0	3.85	218698.0	6.79	135687.0	4.22	170076.0	5.28	166871.0	5.1899999999999995	2901310	90.15
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r2_screen	3218315	236183.0	7.34	0.0	0.0	0.0	0.0	0.0	0.0	29972.0	0.93	112347.0	3.49	291270.0	9.040000000000001	123334.0	3.83	218586.0	6.79	135610.0	4.22	169456.0	5.26	166455.0	5.17	2901632	90.16
GotPopAL16_CKDL230018273-1A_H5YMHDSX7_L3_clmp.fp2_r1_screen	6809679	524920.0	7.71	1.0	0.0	0.0	0.0	5.0	0.0	64679.0	0.9500000000000001	252925.0	3.71	639960.0	9.39	281228.0	4.13	482305.0	7.08	294347.0	4.32	373200.0	5.49	369048.0	5.42	6115772	89.81
